Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.58252
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.58065
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.58257
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.58934
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.61064
Secondary	PRR	Card	0	XGBClassifier	CDDD	Balanced Accuracy	0.57619
Secondary	PRR	Card	3	XGBClassifier	CDDD	Balanced Accuracy	0.58996
Secondary	PRR	Card	4	XGBClassifier	CDDD	Balanced Accuracy	0.57659
Secondary	PRR	Card	1	XGBClassifier	CDDD	Balanced Accuracy	0.5794
Secondary	PRR	Card	2	XGBClassifier	CDDD	Balanced Accuracy	0.59475
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.57343
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.59665
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.56804
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.58864
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.58006
Secondary	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.57028
Secondary	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.57741
Secondary	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.56957
Secondary	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.58928
Secondary	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.60947
Secondary	PRR	Card	0	XGBClassifier	CDDD	GeomRS	0.56331
Secondary	PRR	Card	3	XGBClassifier	CDDD	GeomRS	0.58423
Secondary	PRR	Card	4	XGBClassifier	CDDD	GeomRS	0.55978
Secondary	PRR	Card	1	XGBClassifier	CDDD	GeomRS	0.57935
Secondary	PRR	Card	2	XGBClassifier	CDDD	GeomRS	0.58916
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.56708
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.59377
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.54868
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.58821
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.57457
Secondary	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.5583
Secondary	PRR	Cred	3	XGBClassifier	CDDD	HarmRS	0.57419
Secondary	PRR	Cred	4	XGBClassifier	CDDD	HarmRS	0.55685
Secondary	PRR	Cred	1	XGBClassifier	CDDD	HarmRS	0.58922
Secondary	PRR	Cred	2	XGBClassifier	CDDD	HarmRS	0.6083
Secondary	PRR	Card	0	XGBClassifier	CDDD	HarmRS	0.55071
Secondary	PRR	Card	3	XGBClassifier	CDDD	HarmRS	0.57855
Secondary	PRR	Card	4	XGBClassifier	CDDD	HarmRS	0.54345
Secondary	PRR	Card	1	XGBClassifier	CDDD	HarmRS	0.57929
Secondary	PRR	Card	2	XGBClassifier	CDDD	HarmRS	0.58362
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	HarmRS	0.5608
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	HarmRS	0.59091
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	HarmRS	0.52998
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	HarmRS	0.58779
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	HarmRS	0.56914
Secondary	PRR	Cred	0	XGBClassifier	CDDD	F1 Score	0.6897
Secondary	PRR	Cred	3	XGBClassifier	CDDD	F1 Score	0.67073
Secondary	PRR	Cred	4	XGBClassifier	CDDD	F1 Score	0.69536
Secondary	PRR	Cred	1	XGBClassifier	CDDD	F1 Score	0.65576
Secondary	PRR	Cred	2	XGBClassifier	CDDD	F1 Score	0.70135
Secondary	PRR	Card	0	XGBClassifier	CDDD	F1 Score	0.68533
Secondary	PRR	Card	3	XGBClassifier	CDDD	F1 Score	0.68903
Secondary	PRR	Card	4	XGBClassifier	CDDD	F1 Score	0.6972
Secondary	PRR	Card	1	XGBClassifier	CDDD	F1 Score	0.64691
Secondary	PRR	Card	2	XGBClassifier	CDDD	F1 Score	0.70996
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	F1 Score	0.66667
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	F1 Score	0.68367
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	F1 Score	0.69386
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	F1 Score	0.67273
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	F1 Score	0.69648
Secondary	PRR	Cred	0	XGBClassifier	CDDD	ROC AUC	0.6436
Secondary	PRR	Cred	3	XGBClassifier	CDDD	ROC AUC	0.60087
Secondary	PRR	Cred	4	XGBClassifier	CDDD	ROC AUC	0.63127
Secondary	PRR	Cred	1	XGBClassifier	CDDD	ROC AUC	0.63164
Secondary	PRR	Cred	2	XGBClassifier	CDDD	ROC AUC	0.64544
Secondary	PRR	Card	0	XGBClassifier	CDDD	ROC AUC	0.63077
Secondary	PRR	Card	3	XGBClassifier	CDDD	ROC AUC	0.61678
Secondary	PRR	Card	4	XGBClassifier	CDDD	ROC AUC	0.6295
Secondary	PRR	Card	1	XGBClassifier	CDDD	ROC AUC	0.61848
Secondary	PRR	Card	2	XGBClassifier	CDDD	ROC AUC	0.64618
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	ROC AUC	0.63289
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	ROC AUC	0.62789
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	ROC AUC	0.61682
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	ROC AUC	0.63468
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	ROC AUC	0.62532
Secondary	PRR	Cred	0	XGBClassifier	CDDD	MCC	0.16692
Secondary	PRR	Cred	3	XGBClassifier	CDDD	MCC	0.15719
Secondary	PRR	Cred	4	XGBClassifier	CDDD	MCC	0.16681
Secondary	PRR	Cred	1	XGBClassifier	CDDD	MCC	0.16708
Secondary	PRR	Cred	2	XGBClassifier	CDDD	MCC	0.2089
Secondary	PRR	Card	0	XGBClassifier	CDDD	MCC	0.15421
Secondary	PRR	Card	3	XGBClassifier	CDDD	MCC	0.17698
Secondary	PRR	Card	4	XGBClassifier	CDDD	MCC	0.1562
Secondary	PRR	Card	1	XGBClassifier	CDDD	MCC	0.14845
Secondary	PRR	Card	2	XGBClassifier	CDDD	MCC	0.18165
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	MCC	0.14585
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	MCC	0.1885
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	MCC	0.13944
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	MCC	0.16656
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	MCC	0.15298
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Accuracy	0.6104
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Accuracy	0.59761
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Accuracy	0.61339
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Accuracy	0.58627
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Accuracy	0.62426
Secondary	PRR	Card	0	XGBClassifier	CDDD	Accuracy	0.60464
Secondary	PRR	Card	3	XGBClassifier	CDDD	Accuracy	0.61269
Secondary	PRR	Card	4	XGBClassifier	CDDD	Accuracy	0.61139
Secondary	PRR	Card	1	XGBClassifier	CDDD	Accuracy	0.5766
Secondary	PRR	Card	2	XGBClassifier	CDDD	Accuracy	0.62412
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Accuracy	0.59342
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Accuracy	0.61286
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Accuracy	0.60506
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Accuracy	0.59662
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Accuracy	0.60879
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Recall	0.7013
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Recall	0.64187
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Recall	0.70497
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Recall	0.58073
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Recall	0.6484
Secondary	PRR	Card	0	XGBClassifier	CDDD	Recall	0.69737
Secondary	PRR	Card	3	XGBClassifier	CDDD	Recall	0.67201
Secondary	PRR	Card	4	XGBClassifier	CDDD	Recall	0.71482
Secondary	PRR	Card	1	XGBClassifier	CDDD	Recall	0.57157
Secondary	PRR	Card	2	XGBClassifier	CDDD	Recall	0.67613
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Recall	0.65856
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Recall	0.65517
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Recall	0.71508
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Recall	0.61098
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Recall	0.65966
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Specificity	0.46373
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Specificity	0.51942
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Specificity	0.46017
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Specificity	0.59796
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Specificity	0.57288
Secondary	PRR	Card	0	XGBClassifier	CDDD	Specificity	0.45501
Secondary	PRR	Card	3	XGBClassifier	CDDD	Specificity	0.50791
Secondary	PRR	Card	4	XGBClassifier	CDDD	Specificity	0.43836
Secondary	PRR	Card	1	XGBClassifier	CDDD	Specificity	0.58722
Secondary	PRR	Card	2	XGBClassifier	CDDD	Specificity	0.51338
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Specificity	0.48831
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Specificity	0.53813
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Specificity	0.42101
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Specificity	0.56629
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Specificity	0.50046
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Precision	0.67847
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Precision	0.70232
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Precision	0.686
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Precision	0.75305
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Precision	0.76372
Secondary	PRR	Card	0	XGBClassifier	CDDD	Precision	0.67371
Secondary	PRR	Card	3	XGBClassifier	CDDD	Precision	0.70694
Secondary	PRR	Card	4	XGBClassifier	CDDD	Precision	0.68043
Secondary	PRR	Card	1	XGBClassifier	CDDD	Precision	0.74511
Secondary	PRR	Card	2	XGBClassifier	CDDD	Precision	0.74737
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Precision	0.67497
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Precision	0.71475
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Precision	0.67385
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Precision	0.74836
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Precision	0.73765
