Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	XGBClassifier	Morgan	Balanced Accuracy	0.59904
Secondary	PRR	Cred	1	XGBClassifier	Morgan	Balanced Accuracy	0.59997
Secondary	PRR	Cred	2	XGBClassifier	Morgan	Balanced Accuracy	0.62426
Secondary	PRR	Cred	3	XGBClassifier	Morgan	Balanced Accuracy	0.60142
Secondary	PRR	Cred	4	XGBClassifier	Morgan	Balanced Accuracy	0.57715
Secondary	PRR	Card	0	XGBClassifier	Morgan	Balanced Accuracy	0.58562
Secondary	PRR	Card	1	XGBClassifier	Morgan	Balanced Accuracy	0.59268
Secondary	PRR	Card	2	XGBClassifier	Morgan	Balanced Accuracy	0.62094
Secondary	PRR	Card	3	XGBClassifier	Morgan	Balanced Accuracy	0.61574
Secondary	PRR	Card	4	XGBClassifier	Morgan	Balanced Accuracy	0.58859
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.59071
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.58875
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.62082
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.59848
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.61667
Secondary	PRR	Cred	0	XGBClassifier	Morgan	GeomRS	0.59304
Secondary	PRR	Cred	1	XGBClassifier	Morgan	GeomRS	0.59923
Secondary	PRR	Cred	2	XGBClassifier	Morgan	GeomRS	0.62243
Secondary	PRR	Cred	3	XGBClassifier	Morgan	GeomRS	0.60139
Secondary	PRR	Cred	4	XGBClassifier	Morgan	GeomRS	0.57206
Secondary	PRR	Card	0	XGBClassifier	Morgan	GeomRS	0.57338
Secondary	PRR	Card	1	XGBClassifier	Morgan	GeomRS	0.59264
Secondary	PRR	Card	2	XGBClassifier	Morgan	GeomRS	0.62093
Secondary	PRR	Card	3	XGBClassifier	Morgan	GeomRS	0.61571
Secondary	PRR	Card	4	XGBClassifier	Morgan	GeomRS	0.57802
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	GeomRS	0.57993
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	GeomRS	0.58875
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	GeomRS	0.62052
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	GeomRS	0.59466
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	GeomRS	0.61384
Secondary	PRR	Cred	0	XGBClassifier	Morgan	HarmRS	0.5871
Secondary	PRR	Cred	1	XGBClassifier	Morgan	HarmRS	0.5985
Secondary	PRR	Cred	2	XGBClassifier	Morgan	HarmRS	0.6206
Secondary	PRR	Cred	3	XGBClassifier	Morgan	HarmRS	0.60136
Secondary	PRR	Cred	4	XGBClassifier	Morgan	HarmRS	0.56701
Secondary	PRR	Card	0	XGBClassifier	Morgan	HarmRS	0.5614
Secondary	PRR	Card	1	XGBClassifier	Morgan	HarmRS	0.59261
Secondary	PRR	Card	2	XGBClassifier	Morgan	HarmRS	0.62093
Secondary	PRR	Card	3	XGBClassifier	Morgan	HarmRS	0.61569
Secondary	PRR	Card	4	XGBClassifier	Morgan	HarmRS	0.56763
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	HarmRS	0.56936
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	HarmRS	0.58875
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	HarmRS	0.62022
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	HarmRS	0.59086
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	HarmRS	0.61102
Secondary	PRR	Cred	0	XGBClassifier	Morgan	F1 Score	0.68895
Secondary	PRR	Cred	1	XGBClassifier	Morgan	F1 Score	0.65336
Secondary	PRR	Cred	2	XGBClassifier	Morgan	F1 Score	0.66625
Secondary	PRR	Cred	3	XGBClassifier	Morgan	F1 Score	0.65501
Secondary	PRR	Cred	4	XGBClassifier	Morgan	F1 Score	0.66966
Secondary	PRR	Card	0	XGBClassifier	Morgan	F1 Score	0.69249
Secondary	PRR	Card	1	XGBClassifier	Morgan	F1 Score	0.66018
Secondary	PRR	Card	2	XGBClassifier	Morgan	F1 Score	0.68911
Secondary	PRR	Card	3	XGBClassifier	Morgan	F1 Score	0.66895
Secondary	PRR	Card	4	XGBClassifier	Morgan	F1 Score	0.69549
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	F1 Score	0.6939
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	F1 Score	0.65953
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	F1 Score	0.70065
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	F1 Score	0.68963
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	F1 Score	0.69656
Secondary	PRR	Cred	0	XGBClassifier	Morgan	ROC AUC	0.63445
Secondary	PRR	Cred	1	XGBClassifier	Morgan	ROC AUC	0.63621
Secondary	PRR	Cred	2	XGBClassifier	Morgan	ROC AUC	0.65961
Secondary	PRR	Cred	3	XGBClassifier	Morgan	ROC AUC	0.62261
Secondary	PRR	Cred	4	XGBClassifier	Morgan	ROC AUC	0.62998
Secondary	PRR	Card	0	XGBClassifier	Morgan	ROC AUC	0.63016
Secondary	PRR	Card	1	XGBClassifier	Morgan	ROC AUC	0.62388
Secondary	PRR	Card	2	XGBClassifier	Morgan	ROC AUC	0.65828
Secondary	PRR	Card	3	XGBClassifier	Morgan	ROC AUC	0.63641
Secondary	PRR	Card	4	XGBClassifier	Morgan	ROC AUC	0.63588
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	ROC AUC	0.64513
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	ROC AUC	0.62165
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	ROC AUC	0.65427
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	ROC AUC	0.62608
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	ROC AUC	0.65078
Secondary	PRR	Cred	0	XGBClassifier	Morgan	MCC	0.19719
Secondary	PRR	Cred	1	XGBClassifier	Morgan	MCC	0.18676
Secondary	PRR	Cred	2	XGBClassifier	Morgan	MCC	0.23178
Secondary	PRR	Cred	3	XGBClassifier	Morgan	MCC	0.19509
Secondary	PRR	Cred	4	XGBClassifier	Morgan	MCC	0.15215
Secondary	PRR	Card	0	XGBClassifier	Morgan	MCC	0.17332
Secondary	PRR	Card	1	XGBClassifier	Morgan	MCC	0.17338
Secondary	PRR	Card	2	XGBClassifier	Morgan	MCC	0.22635
Secondary	PRR	Card	3	XGBClassifier	Morgan	MCC	0.22273
Secondary	PRR	Card	4	XGBClassifier	Morgan	MCC	0.17792
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	MCC	0.183
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	MCC	0.1661
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	MCC	0.22717
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	MCC	0.19276
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	MCC	0.22944
Secondary	PRR	Cred	0	XGBClassifier	Morgan	Accuracy	0.6189
Secondary	PRR	Cred	1	XGBClassifier	Morgan	Accuracy	0.58937
Secondary	PRR	Cred	2	XGBClassifier	Morgan	Accuracy	0.60702
Secondary	PRR	Cred	3	XGBClassifier	Morgan	Accuracy	0.59969
Secondary	PRR	Cred	4	XGBClassifier	Morgan	Accuracy	0.5964
Secondary	PRR	Card	0	XGBClassifier	Morgan	Accuracy	0.61359
Secondary	PRR	Card	1	XGBClassifier	Morgan	Accuracy	0.59041
Secondary	PRR	Card	2	XGBClassifier	Morgan	Accuracy	0.62014
Secondary	PRR	Card	3	XGBClassifier	Morgan	Accuracy	0.61425
Secondary	PRR	Card	4	XGBClassifier	Morgan	Accuracy	0.61655
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	Accuracy	0.61708
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	Accuracy	0.58834
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	Accuracy	0.6278
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	Accuracy	0.6172
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	Accuracy	0.63154
Secondary	PRR	Cred	0	XGBClassifier	Morgan	Recall	0.68362
Secondary	PRR	Cred	1	XGBClassifier	Morgan	Recall	0.5703
Secondary	PRR	Cred	2	XGBClassifier	Morgan	Recall	0.57647
Secondary	PRR	Cred	3	XGBClassifier	Morgan	Recall	0.59517
Secondary	PRR	Cred	4	XGBClassifier	Morgan	Recall	0.65363
Secondary	PRR	Card	0	XGBClassifier	Morgan	Recall	0.70474
Secondary	PRR	Card	1	XGBClassifier	Morgan	Recall	0.58632
Secondary	PRR	Card	2	XGBClassifier	Morgan	Recall	0.61872
Secondary	PRR	Card	3	XGBClassifier	Morgan	Recall	0.61037
Secondary	PRR	Card	4	XGBClassifier	Morgan	Recall	0.69965
Secondary	PRR	Cvas	0	XGBClassifier	Morgan	Recall	0.70302
Secondary	PRR	Cvas	1	XGBClassifier	Morgan	Recall	0.58759
Secondary	PRR	Cvas	2	XGBClassifier	Morgan	Recall	0.64016
Secondary	PRR	Cvas	3	XGBClassifier	Morgan	Recall	0.66603
Secondary	PRR	Cvas	4	XGBClassifier	Morgan	Recall	0.67571
Secondary	PRR	Cred	0	XGBClassifier	Morgan	Specificity	0.51447
Secondary	PRR	Cred	1	XGBClassifier	Morgan	Specificity	0.62963
