Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	ROR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.5595
Secondary	ROR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.5376
Secondary	ROR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.50479
Secondary	ROR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.54308
Secondary	ROR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.53284
Secondary	ROR	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.57987
Secondary	ROR	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.53946
Secondary	ROR	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.51819
Secondary	ROR	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.54482
Secondary	ROR	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.529
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.55741
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.53046
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.48843
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.54684
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.51468
Secondary	ROR	Cred	0	LogisticRegression	MACCS	GeomRS	0.54858
Secondary	ROR	Cred	1	LogisticRegression	MACCS	GeomRS	0.51075
Secondary	ROR	Cred	2	LogisticRegression	MACCS	GeomRS	0.44105
Secondary	ROR	Cred	3	LogisticRegression	MACCS	GeomRS	0.51377
Secondary	ROR	Cred	4	LogisticRegression	MACCS	GeomRS	0.49039
Secondary	ROR	Card	0	LogisticRegression	MACCS	GeomRS	0.56594
Secondary	ROR	Card	1	LogisticRegression	MACCS	GeomRS	0.50214
Secondary	ROR	Card	2	LogisticRegression	MACCS	GeomRS	0.44543
Secondary	ROR	Card	3	LogisticRegression	MACCS	GeomRS	0.51207
Secondary	ROR	Card	4	LogisticRegression	MACCS	GeomRS	0.49725
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	GeomRS	0.53223
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	GeomRS	0.47826
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	GeomRS	0.40438
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	GeomRS	0.48245
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	GeomRS	0.442
Secondary	ROR	Cred	0	LogisticRegression	MACCS	HarmRS	0.53786
Secondary	ROR	Cred	1	LogisticRegression	MACCS	HarmRS	0.48525
Secondary	ROR	Cred	2	LogisticRegression	MACCS	HarmRS	0.38536
Secondary	ROR	Cred	3	LogisticRegression	MACCS	HarmRS	0.48604
Secondary	ROR	Cred	4	LogisticRegression	MACCS	HarmRS	0.45133
Secondary	ROR	Card	0	LogisticRegression	MACCS	HarmRS	0.55234
Secondary	ROR	Card	1	LogisticRegression	MACCS	HarmRS	0.4674
Secondary	ROR	Card	2	LogisticRegression	MACCS	HarmRS	0.38288
Secondary	ROR	Card	3	LogisticRegression	MACCS	HarmRS	0.48129
Secondary	ROR	Card	4	LogisticRegression	MACCS	HarmRS	0.4674
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	HarmRS	0.50819
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	HarmRS	0.4312
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	HarmRS	0.33479
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	HarmRS	0.42565
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	HarmRS	0.37958
Secondary	ROR	Cred	0	LogisticRegression	MACCS	F1 Score	0.52116
Secondary	ROR	Cred	1	LogisticRegression	MACCS	F1 Score	0.47546
Secondary	ROR	Cred	2	LogisticRegression	MACCS	F1 Score	0.36669
Secondary	ROR	Cred	3	LogisticRegression	MACCS	F1 Score	0.46677
Secondary	ROR	Cred	4	LogisticRegression	MACCS	F1 Score	0.42448
Secondary	ROR	Card	0	LogisticRegression	MACCS	F1 Score	0.53407
Secondary	ROR	Card	1	LogisticRegression	MACCS	F1 Score	0.45385
Secondary	ROR	Card	2	LogisticRegression	MACCS	F1 Score	0.36514
Secondary	ROR	Card	3	LogisticRegression	MACCS	F1 Score	0.46118
Secondary	ROR	Card	4	LogisticRegression	MACCS	F1 Score	0.44175
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	F1 Score	0.48289
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	F1 Score	0.41448
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	F1 Score	0.31501
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	F1 Score	0.40398
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	F1 Score	0.35204
Secondary	ROR	Cred	0	LogisticRegression	MACCS	ROC AUC	0.58441
Secondary	ROR	Cred	1	LogisticRegression	MACCS	ROC AUC	0.55553
Secondary	ROR	Cred	2	LogisticRegression	MACCS	ROC AUC	0.50406
Secondary	ROR	Cred	3	LogisticRegression	MACCS	ROC AUC	0.56166
Secondary	ROR	Cred	4	LogisticRegression	MACCS	ROC AUC	0.56677
Secondary	ROR	Card	0	LogisticRegression	MACCS	ROC AUC	0.58638
Secondary	ROR	Card	1	LogisticRegression	MACCS	ROC AUC	0.55478
Secondary	ROR	Card	2	LogisticRegression	MACCS	ROC AUC	0.51078
Secondary	ROR	Card	3	LogisticRegression	MACCS	ROC AUC	0.55833
Secondary	ROR	Card	4	LogisticRegression	MACCS	ROC AUC	0.55142
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	ROC AUC	0.58561
