Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.54876
Mono	PRR	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.60785
Mono	PRR	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.54455
Mono	PRR	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.55666
Mono	PRR	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.62471
Mono	ROR	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.55079
Mono	ROR	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.59366
Mono	ROR	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.51848
Mono	ROR	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.57964
Mono	ROR	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.63016
Mono	IC	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.53558
Mono	IC	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.58978
Mono	IC	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.49743
Mono	IC	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.54913
Mono	IC	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.58221
Mono	PRR	Card	1	XGBClassifier	ECFP	GeomRS	0.52018
Mono	PRR	Card	4	XGBClassifier	ECFP	GeomRS	0.60669
Mono	PRR	Card	3	XGBClassifier	ECFP	GeomRS	0.52383
Mono	PRR	Card	0	XGBClassifier	ECFP	GeomRS	0.55665
Mono	PRR	Card	2	XGBClassifier	ECFP	GeomRS	0.62434
Mono	ROR	Card	1	XGBClassifier	ECFP	GeomRS	0.5161
Mono	ROR	Card	4	XGBClassifier	ECFP	GeomRS	0.59309
Mono	ROR	Card	3	XGBClassifier	ECFP	GeomRS	0.51137
Mono	ROR	Card	0	XGBClassifier	ECFP	GeomRS	0.57744
Mono	ROR	Card	2	XGBClassifier	ECFP	GeomRS	0.63009
Mono	IC	Card	1	XGBClassifier	ECFP	GeomRS	0.53533
Mono	IC	Card	4	XGBClassifier	ECFP	GeomRS	0.57415
Mono	IC	Card	3	XGBClassifier	ECFP	GeomRS	0.4932
Mono	IC	Card	0	XGBClassifier	ECFP	GeomRS	0.51536
Mono	IC	Card	2	XGBClassifier	ECFP	GeomRS	0.52499
Mono	PRR	Card	1	XGBClassifier	ECFP	HarmRS	0.49308
