Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.53869
Mono	PRR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.53578
Mono	PRR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.49244
Mono	PRR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.55691
Mono	PRR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.49477
Mono	ROR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.55081
Mono	ROR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.55909
Mono	ROR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.50394
Mono	ROR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.56258
Mono	ROR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.51247
Mono	IC	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.49393
Mono	IC	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.50968
Mono	IC	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.5056
Mono	IC	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.53903
Mono	IC	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.50623
Mono	PRR	Cred	1	LogisticRegression	MACCS	GeomRS	0.51117
Mono	PRR	Cred	4	LogisticRegression	MACCS	GeomRS	0.51093
Mono	PRR	Cred	3	LogisticRegression	MACCS	GeomRS	0.49168
Mono	PRR	Cred	2	LogisticRegression	MACCS	GeomRS	0.55467
Mono	PRR	Cred	0	LogisticRegression	MACCS	GeomRS	0.49363
Mono	ROR	Cred	1	LogisticRegression	MACCS	GeomRS	0.51938
Mono	ROR	Cred	4	LogisticRegression	MACCS	GeomRS	0.52596
Mono	ROR	Cred	3	LogisticRegression	MACCS	GeomRS	0.50259
Mono	ROR	Cred	2	LogisticRegression	MACCS	GeomRS	0.56258
Mono	ROR	Cred	0	LogisticRegression	MACCS	GeomRS	0.5066
Mono	IC	Cred	1	LogisticRegression	MACCS	GeomRS	0.4649
Mono	IC	Cred	4	LogisticRegression	MACCS	GeomRS	0.492
Mono	IC	Cred	3	LogisticRegression	MACCS	GeomRS	0.47355
Mono	IC	Cred	2	LogisticRegression	MACCS	GeomRS	0.47115
Mono	IC	Cred	0	LogisticRegression	MACCS	GeomRS	0.46055
Mono	PRR	Cred	1	LogisticRegression	MACCS	HarmRS	0.48505
Mono	PRR	Cred	4	LogisticRegression	MACCS	HarmRS	0.48724
Mono	PRR	Cred	3	LogisticRegression	MACCS	HarmRS	0.49091
Mono	PRR	Cred	2	LogisticRegression	MACCS	HarmRS	0.55245
Mono	PRR	Cred	0	LogisticRegression	MACCS	HarmRS	0.4925
Mono	ROR	Cred	1	LogisticRegression	MACCS	HarmRS	0.48973
Mono	ROR	Cred	4	LogisticRegression	MACCS	HarmRS	0.4948
Mono	ROR	Cred	3	LogisticRegression	MACCS	HarmRS	0.50125
Mono	ROR	Cred	2	LogisticRegression	MACCS	HarmRS	0.56258
Mono	ROR	Cred	0	LogisticRegression	MACCS	HarmRS	0.5008
Mono	IC	Cred	1	LogisticRegression	MACCS	HarmRS	0.43757
Mono	IC	Cred	4	LogisticRegression	MACCS	HarmRS	0.47494
Mono	IC	Cred	3	LogisticRegression	MACCS	HarmRS	0.44354
Mono	IC	Cred	2	LogisticRegression	MACCS	HarmRS	0.41183
Mono	IC	Cred	0	LogisticRegression	MACCS	HarmRS	0.419
Mono	PRR	Cred	1	LogisticRegression	MACCS	F1 Score	0.46299
Mono	PRR	Cred	4	LogisticRegression	MACCS	F1 Score	0.46915
Mono	PRR	Cred	3	LogisticRegression	MACCS	F1 Score	0.5081
Mono	PRR	Cred	2	LogisticRegression	MACCS	F1 Score	0.61329
Mono	PRR	Cred	0	LogisticRegression	MACCS	F1 Score	0.507
Mono	ROR	Cred	1	LogisticRegression	MACCS	F1 Score	0.4675
Mono	ROR	Cred	4	LogisticRegression	MACCS	F1 Score	0.47564
Mono	ROR	Cred	3	LogisticRegression	MACCS	F1 Score	0.51429
Mono	ROR	Cred	2	LogisticRegression	MACCS	F1 Score	0.59404
Mono	ROR	Cred	0	LogisticRegression	MACCS	F1 Score	0.49827
Mono	IC	Cred	1	LogisticRegression	MACCS	F1 Score	0.60673
