Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.55736
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.60409
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.5729
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.55929
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.59748
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.57836
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.6037
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.57802
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.57375
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.61578
Mono	IC	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.54044
Mono	IC	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.59133
Mono	IC	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.53949
Mono	IC	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.56381
Mono	IC	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.59876
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.53395
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.60358
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.57239
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.55868
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.5783
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.57463
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.60181
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.578
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.57364
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.60519
Mono	IC	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.53994
Mono	IC	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.58187
Mono	IC	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.5317
Mono	IC	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.55864
Mono	IC	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.58541
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.51152
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.60307
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.57188
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.55806
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.55973
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.57092
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.59992
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.57799
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.57353
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.59479
Mono	IC	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.53943
Mono	IC	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.57255
Mono	IC	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.52403
Mono	IC	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.55352
Mono	IC	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.57236
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.4923
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.64924
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.59149
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.60356
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.69077
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.57405
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.61382
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.61094
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.61018
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.69304
Mono	IC	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.58274
Mono	IC	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.67203
Mono	IC	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.61519
Mono	IC	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.63082
Mono	IC	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.6828
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.58462
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.64295
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.59596
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.58497
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.66116
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.59194
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.64261
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.60724
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.61036
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.67331
Mono	IC	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.56201
Mono	IC	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.6341
Mono	IC	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.56346
Mono	IC	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.59505
Mono	IC	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.66992
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	MCC	0.11941
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	MCC	0.20637
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	MCC	0.14452
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	MCC	0.11774
Mono	PRR	Cred	2	RandomForestClassifier	CDDD	MCC	0.20431
Mono	ROR	Cred	1	RandomForestClassifier	CDDD	MCC	0.15634
Mono	ROR	Cred	4	RandomForestClassifier	CDDD	MCC	0.20534
Mono	ROR	Cred	3	RandomForestClassifier	CDDD	MCC	0.15467
Mono	ROR	Cred	0	RandomForestClassifier	CDDD	MCC	0.14624
Mono	ROR	Cred	2	RandomForestClassifier	CDDD	MCC	0.23744
Mono	IC	Cred	1	RandomForestClassifier	CDDD	MCC	0.08033
Mono	IC	Cred	4	RandomForestClassifier	CDDD	MCC	0.18587
Mono	IC	Cred	3	RandomForestClassifier	CDDD	MCC	0.07976
Mono	IC	Cred	0	RandomForestClassifier	CDDD	MCC	0.12829
Mono	IC	Cred	2	RandomForestClassifier	CDDD	MCC	0.20366
Mono	PRR	Cred	1	RandomForestClassifier	CDDD	Accuracy	0.53647
Mono	PRR	Cred	4	RandomForestClassifier	CDDD	Accuracy	0.6079
Mono	PRR	Cred	3	RandomForestClassifier	CDDD	Accuracy	0.56962
Mono	PRR	Cred	0	RandomForestClassifier	CDDD	Accuracy	0.56287
