Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.56946
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.54336
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.56611
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.52612
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59346
Mono	ROR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.56995
Mono	ROR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.5811
Mono	ROR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.56311
Mono	ROR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.56765
Mono	ROR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59089
Mono	IC	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.5751
Mono	IC	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.5612
Mono	IC	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.56261
Mono	IC	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.5169
Mono	IC	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.55873
Mono	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.45663
Mono	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.52399
Mono	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.51054
Mono	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.49071
Mono	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.56525
Mono	ROR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.46682
Mono	ROR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.55572
Mono	ROR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.52192
Mono	ROR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.55913
Mono	ROR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.58216
Mono	IC	Cred	1	RandomForestClassifier	Klek	GeomRS	0.56581
Mono	IC	Cred	4	RandomForestClassifier	Klek	GeomRS	0.55088
Mono	IC	Cred	3	RandomForestClassifier	Klek	GeomRS	0.56002
Mono	IC	Cred	0	RandomForestClassifier	Klek	GeomRS	0.48361
Mono	IC	Cred	2	RandomForestClassifier	Klek	GeomRS	0.50531
Mono	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.36616
Mono	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.5053
Mono	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.46042
Mono	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.45768
Mono	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.53837
Mono	ROR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.38235
Mono	ROR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.53145
Mono	ROR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.48374
Mono	ROR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.55075
Mono	ROR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.57355
Mono	IC	Cred	1	RandomForestClassifier	Klek	HarmRS	0.55667
Mono	IC	Cred	4	RandomForestClassifier	Klek	HarmRS	0.54075
Mono	IC	Cred	3	RandomForestClassifier	Klek	HarmRS	0.55745
Mono	IC	Cred	0	RandomForestClassifier	Klek	HarmRS	0.45246
Mono	IC	Cred	2	RandomForestClassifier	Klek	HarmRS	0.45701
Mono	PRR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.353
Mono	PRR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.4906
Mono	PRR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.43874
