Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.56479
Mono	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.6098
Mono	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.58006
Mono	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.58054
Mono	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.56872
Mono	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.5653
Mono	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.61018
Mono	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.5916
Mono	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.6047
Mono	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.58742
Mono	IC	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.51196
Mono	IC	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.56672
Mono	IC	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.51524
Mono	IC	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.5522
Mono	IC	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.54212
Mono	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.5635
Mono	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.60852
Mono	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.57873
Mono	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.5673
Mono	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.56863
Mono	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.55758
Mono	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.59805
Mono	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.58617
Mono	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.59703
Mono	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.58519
Mono	IC	Cred	1	XGBClassifier	CDDD	GeomRS	0.49847
Mono	IC	Cred	4	XGBClassifier	CDDD	GeomRS	0.54216
Mono	IC	Cred	3	XGBClassifier	CDDD	GeomRS	0.50643
Mono	IC	Cred	2	XGBClassifier	CDDD	GeomRS	0.45306
Mono	IC	Cred	0	XGBClassifier	CDDD	GeomRS	0.50886
Mono	PRR	Cred	1	XGBClassifier	CDDD	HarmRS	0.5622
Mono	PRR	Cred	4	XGBClassifier	CDDD	HarmRS	0.60725
Mono	PRR	Cred	3	XGBClassifier	CDDD	HarmRS	0.5774
Mono	PRR	Cred	2	XGBClassifier	CDDD	HarmRS	0.55436
Mono	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.56855
Mono	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.54996
Mono	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.58617
Mono	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.58079
Mono	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.58946
Mono	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.58298
Mono	IC	Cred	1	XGBClassifier	CDDD	HarmRS	0.48534
Mono	IC	Cred	4	XGBClassifier	CDDD	HarmRS	0.51865
Mono	IC	Cred	3	XGBClassifier	CDDD	HarmRS	0.49776
Mono	IC	Cred	2	XGBClassifier	CDDD	HarmRS	0.37173
Mono	IC	Cred	0	XGBClassifier	CDDD	HarmRS	0.47763
