Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56484
Mono	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56008
Mono	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5405
Mono	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.59306
Mono	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54002
Mono	ROR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.58044
Mono	ROR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.57109
Mono	ROR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55755
Mono	ROR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.59519
Mono	ROR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56213
Mono	IC	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56881
Mono	IC	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51382
Mono	IC	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5389
Mono	IC	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.58935
Mono	IC	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50888
Mono	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.55939
Mono	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.55801
Mono	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.53865
Mono	PRR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.59224
Mono	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.53991
Mono	ROR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.56884
Mono	ROR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.56883
Mono	ROR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.55734
Mono	ROR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.59336
Mono	ROR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.56129
Mono	IC	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.55584
Mono	IC	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.48676
Mono	IC	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.51979
Mono	IC	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.53412
Mono	IC	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.44396
Mono	PRR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.55399
Mono	PRR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.55595
Mono	PRR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.5368
Mono	PRR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.59142
Mono	PRR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.5398
Mono	ROR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.55747
Mono	ROR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.56657
Mono	ROR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.55713
Mono	ROR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.59153
Mono	ROR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.56046
Mono	IC	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.54317
Mono	IC	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.46113
