Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.52786
Mono	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.56305
Mono	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.4893
Mono	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.50714
Mono	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.51918
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.55179
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.54199
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.50567
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.52092
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.54728
Mono	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.53729
Mono	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.56522
Mono	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.49071
Mono	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.50768
Mono	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.54595
Mono	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.52741
Mono	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.56046
Mono	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.48136
Mono	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.50364
Mono	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.50648
Mono	ROR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.54414
Mono	ROR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.54049
Mono	ROR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.48916
