Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.5035
Mono	PRR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.5559
Mono	PRR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.52037
Mono	PRR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.49016
Mono	PRR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.58203
Mono	ROR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.49234
Mono	ROR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.56958
Mono	ROR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.53622
Mono	ROR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.49526
Mono	ROR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.58737
Mono	IC	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.4775
Mono	IC	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.54552
Mono	IC	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.50075
Mono	IC	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.48852
Mono	IC	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.57564
Mono	PRR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.48993
Mono	PRR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.55528
Mono	PRR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.51535
Mono	PRR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.48814
Mono	PRR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.58065
Mono	ROR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.4793
Mono	ROR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.56472
Mono	ROR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.52357
Mono	ROR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.49525
Mono	ROR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.58302
Mono	IC	Cvas	1	LogisticRegression	RDKit	GeomRS	0.46602
Mono	IC	Cvas	4	LogisticRegression	RDKit	GeomRS	0.52569
Mono	IC	Cvas	3	LogisticRegression	RDKit	GeomRS	0.4931
Mono	IC	Cvas	0	LogisticRegression	RDKit	GeomRS	0.44393
Mono	IC	Cvas	2	LogisticRegression	RDKit	GeomRS	0.5575
Mono	PRR	Cvas	1	LogisticRegression	RDKit	HarmRS	0.47674
Mono	PRR	Cvas	4	LogisticRegression	RDKit	HarmRS	0.55466
Mono	PRR	Cvas	3	LogisticRegression	RDKit	HarmRS	0.51037
Mono	PRR	Cvas	0	LogisticRegression	RDKit	HarmRS	0.48614
Mono	PRR	Cvas	2	LogisticRegression	RDKit	HarmRS	0.57926
Mono	ROR	Cvas	1	LogisticRegression	RDKit	HarmRS	0.4666
Mono	ROR	Cvas	4	LogisticRegression	RDKit	HarmRS	0.5599
Mono	ROR	Cvas	3	LogisticRegression	RDKit	HarmRS	0.51123
Mono	ROR	Cvas	0	LogisticRegression	RDKit	HarmRS	0.49525
Mono	ROR	Cvas	2	LogisticRegression	RDKit	HarmRS	0.5787
Mono	IC	Cvas	1	LogisticRegression	RDKit	HarmRS	0.45482
Mono	IC	Cvas	4	LogisticRegression	RDKit	HarmRS	0.50658
Mono	IC	Cvas	3	LogisticRegression	RDKit	HarmRS	0.48557
Mono	IC	Cvas	0	LogisticRegression	RDKit	HarmRS	0.4034
Mono	IC	Cvas	2	LogisticRegression	RDKit	HarmRS	0.53993
Mono	PRR	Cvas	1	LogisticRegression	RDKit	F1 Score	0.4748
Mono	PRR	Cvas	4	LogisticRegression	RDKit	F1 Score	0.57491
Mono	PRR	Cvas	3	LogisticRegression	RDKit	F1 Score	0.50945
Mono	PRR	Cvas	0	LogisticRegression	RDKit	F1 Score	0.55608
Mono	PRR	Cvas	2	LogisticRegression	RDKit	F1 Score	0.59736
