Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.52478
Mono	PRR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.5928
Mono	PRR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.56438
Mono	PRR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.54184
Mono	PRR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.56778
Mono	ROR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.52843
Mono	ROR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.54615
Mono	ROR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.58107
Mono	ROR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.53343
Mono	ROR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.58926
Mono	IC	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.50957
Mono	IC	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.55857
Mono	IC	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.53831
Mono	IC	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.53008
Mono	IC	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.55645
Mono	PRR	Cvas	1	XGBClassifier	Klek	GeomRS	0.50549
Mono	PRR	Cvas	4	XGBClassifier	Klek	GeomRS	0.58295
Mono	PRR	Cvas	3	XGBClassifier	Klek	GeomRS	0.56168
Mono	PRR	Cvas	0	XGBClassifier	Klek	GeomRS	0.53895
Mono	PRR	Cvas	2	XGBClassifier	Klek	GeomRS	0.55643
Mono	ROR	Cvas	1	XGBClassifier	Klek	GeomRS	0.4852
Mono	ROR	Cvas	4	XGBClassifier	Klek	GeomRS	0.5446
Mono	ROR	Cvas	3	XGBClassifier	Klek	GeomRS	0.57923
Mono	ROR	Cvas	0	XGBClassifier	Klek	GeomRS	0.53292
Mono	ROR	Cvas	2	XGBClassifier	Klek	GeomRS	0.58626
Mono	IC	Cvas	1	XGBClassifier	Klek	GeomRS	0.50848
Mono	IC	Cvas	4	XGBClassifier	Klek	GeomRS	0.52404
Mono	IC	Cvas	3	XGBClassifier	Klek	GeomRS	0.50758
Mono	IC	Cvas	0	XGBClassifier	Klek	GeomRS	0.48821
Mono	IC	Cvas	2	XGBClassifier	Klek	GeomRS	0.47439
Mono	PRR	Cvas	1	XGBClassifier	Klek	HarmRS	0.48692
