Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.53963
Primary	PRR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.56512
Primary	PRR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53143
Primary	PRR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.55085
Primary	PRR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.61827
Primary	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.5163
Primary	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.54408
Primary	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53512
Primary	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.53526
Primary	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59523
Primary	IC	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.5348
Primary	IC	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.51216
Primary	IC	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53571
Primary	IC	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.56268
Primary	IC	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.55003
Primary	PRR	Card	1	RandomForestClassifier	Klek	GeomRS	0.52062
Primary	PRR	Card	3	RandomForestClassifier	Klek	GeomRS	0.56488
Primary	PRR	Card	0	RandomForestClassifier	Klek	GeomRS	0.53091
Primary	PRR	Card	4	RandomForestClassifier	Klek	GeomRS	0.54967
Primary	PRR	Card	2	RandomForestClassifier	Klek	GeomRS	0.61304
Primary	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.4663
Primary	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.48335
Primary	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.52441
Primary	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.53016
Primary	ROR	Card	2	RandomForestClassifier	Klek	GeomRS	0.57403
Primary	IC	Card	1	RandomForestClassifier	Klek	GeomRS	0.52629
Primary	IC	Card	3	RandomForestClassifier	Klek	GeomRS	0.42531
Primary	IC	Card	0	RandomForestClassifier	Klek	GeomRS	0.46276
Primary	IC	Card	4	RandomForestClassifier	Klek	GeomRS	0.50246
Primary	IC	Card	2	RandomForestClassifier	Klek	GeomRS	0.45173
Primary	PRR	Card	1	RandomForestClassifier	Klek	HarmRS	0.50228
Primary	PRR	Card	3	RandomForestClassifier	Klek	HarmRS	0.56464
Primary	PRR	Card	0	RandomForestClassifier	Klek	HarmRS	0.53039
Primary	PRR	Card	4	RandomForestClassifier	Klek	HarmRS	0.54848
Primary	PRR	Card	2	RandomForestClassifier	Klek	HarmRS	0.60785
Primary	ROR	Card	1	RandomForestClassifier	Klek	HarmRS	0.42114
Primary	ROR	Card	3	RandomForestClassifier	Klek	HarmRS	0.4294
Primary	ROR	Card	0	RandomForestClassifier	Klek	HarmRS	0.51391
Primary	ROR	Card	4	RandomForestClassifier	Klek	HarmRS	0.52512
Primary	ROR	Card	2	RandomForestClassifier	Klek	HarmRS	0.55359
Primary	IC	Card	1	RandomForestClassifier	Klek	HarmRS	0.51792
Primary	IC	Card	3	RandomForestClassifier	Klek	HarmRS	0.35319
Primary	IC	Card	0	RandomForestClassifier	Klek	HarmRS	0.39975
Primary	IC	Card	4	RandomForestClassifier	Klek	HarmRS	0.44869
Primary	IC	Card	2	RandomForestClassifier	Klek	HarmRS	0.371
Primary	PRR	Card	1	RandomForestClassifier	Klek	F1 Score	0.48954
Primary	PRR	Card	3	RandomForestClassifier	Klek	F1 Score	0.6043
Primary	PRR	Card	0	RandomForestClassifier	Klek	F1 Score	0.57966
Primary	PRR	Card	4	RandomForestClassifier	Klek	F1 Score	0.59119
Primary	PRR	Card	2	RandomForestClassifier	Klek	F1 Score	0.61562
Primary	ROR	Card	1	RandomForestClassifier	Klek	F1 Score	0.39777
Primary	ROR	Card	3	RandomForestClassifier	Klek	F1 Score	0.40562
Primary	ROR	Card	0	RandomForestClassifier	Klek	F1 Score	0.50699
Primary	ROR	Card	4	RandomForestClassifier	Klek	F1 Score	0.51776
Primary	ROR	Card	2	RandomForestClassifier	Klek	F1 Score	0.54386
Primary	IC	Card	1	RandomForestClassifier	Klek	F1 Score	0.62075
Primary	IC	Card	3	RandomForestClassifier	Klek	F1 Score	0.66862
Primary	IC	Card	0	RandomForestClassifier	Klek	F1 Score	0.68779
Primary	IC	Card	4	RandomForestClassifier	Klek	F1 Score	0.68465
Primary	IC	Card	2	RandomForestClassifier	Klek	F1 Score	0.72122
Primary	PRR	Card	1	RandomForestClassifier	Klek	ROC AUC	0.55022
Primary	PRR	Card	3	RandomForestClassifier	Klek	ROC AUC	0.57961
Primary	PRR	Card	0	RandomForestClassifier	Klek	ROC AUC	0.5709
Primary	PRR	Card	4	RandomForestClassifier	Klek	ROC AUC	0.5745
Primary	PRR	Card	2	RandomForestClassifier	Klek	ROC AUC	0.64766
Primary	ROR	Card	1	RandomForestClassifier	Klek	ROC AUC	0.5305
Primary	ROR	Card	3	RandomForestClassifier	Klek	ROC AUC	0.5665
Primary	ROR	Card	0	RandomForestClassifier	Klek	ROC AUC	0.55883
Primary	ROR	Card	4	RandomForestClassifier	Klek	ROC AUC	0.557
Primary	ROR	Card	2	RandomForestClassifier	Klek	ROC AUC	0.61821
Primary	IC	Card	1	RandomForestClassifier	Klek	ROC AUC	0.56604
Primary	IC	Card	3	RandomForestClassifier	Klek	ROC AUC	0.54721
Primary	IC	Card	0	RandomForestClassifier	Klek	ROC AUC	0.55963
Primary	IC	Card	4	RandomForestClassifier	Klek	ROC AUC	0.60414
Primary	IC	Card	2	RandomForestClassifier	Klek	ROC AUC	0.63985
Primary	PRR	Card	1	RandomForestClassifier	Klek	MCC	0.08117
Primary	PRR	Card	3	RandomForestClassifier	Klek	MCC	0.1292
Primary	PRR	Card	0	RandomForestClassifier	Klek	MCC	0.06221
Primary	PRR	Card	4	RandomForestClassifier	Klek	MCC	0.10156
Primary	PRR	Card	2	RandomForestClassifier	Klek	MCC	0.23436
Primary	ROR	Card	1	RandomForestClassifier	Klek	MCC	0.03575
Primary	ROR	Card	3	RandomForestClassifier	Klek	MCC	0.10004
Primary	ROR	Card	0	RandomForestClassifier	Klek	MCC	0.07085
Primary	ROR	Card	4	RandomForestClassifier	Klek	MCC	0.07088
Primary	ROR	Card	2	RandomForestClassifier	Klek	MCC	0.19522
Primary	IC	Card	1	RandomForestClassifier	Klek	MCC	0.07005
Primary	IC	Card	3	RandomForestClassifier	Klek	MCC	0.02942
Primary	IC	Card	0	RandomForestClassifier	Klek	MCC	0.08453
Primary	IC	Card	4	RandomForestClassifier	Klek	MCC	0.14592
Primary	IC	Card	2	RandomForestClassifier	Klek	MCC	0.12888
Primary	PRR	Card	1	RandomForestClassifier	Klek	Accuracy	0.51584
Primary	PRR	Card	3	RandomForestClassifier	Klek	Accuracy	0.56736
Primary	PRR	Card	0	RandomForestClassifier	Klek	Accuracy	0.53509
Primary	PRR	Card	4	RandomForestClassifier	Klek	Accuracy	0.55439
Primary	PRR	Card	2	RandomForestClassifier	Klek	Accuracy	0.60389
Primary	ROR	Card	1	RandomForestClassifier	Klek	Accuracy	0.47915
Primary	ROR	Card	3	RandomForestClassifier	Klek	Accuracy	0.5101
Primary	ROR	Card	0	RandomForestClassifier	Klek	Accuracy	0.51859
Primary	ROR	Card	4	RandomForestClassifier	Klek	Accuracy	0.52806
Primary	ROR	Card	2	RandomForestClassifier	Klek	Accuracy	0.56701
Primary	IC	Card	1	RandomForestClassifier	Klek	Accuracy	0.55072
Primary	IC	Card	3	RandomForestClassifier	Klek	Accuracy	0.55098
Primary	IC	Card	0	RandomForestClassifier	Klek	Accuracy	0.57758
Primary	IC	Card	4	RandomForestClassifier	Klek	Accuracy	0.58744
Primary	IC	Card	2	RandomForestClassifier	Klek	Accuracy	0.60626
Primary	PRR	Card	1	RandomForestClassifier	Klek	Recall	0.39766
Primary	PRR	Card	3	RandomForestClassifier	Klek	Recall	0.58159
Primary	PRR	Card	0	RandomForestClassifier	Klek	Recall	0.55501
Primary	PRR	Card	4	RandomForestClassifier	Klek	Recall	0.58702
Primary	PRR	Card	2	RandomForestClassifier	Klek	Recall	0.538
Primary	ROR	Card	1	RandomForestClassifier	Klek	Recall	0.29464
Primary	ROR	Card	3	RandomForestClassifier	Klek	Recall	0.29429
Primary	ROR	Card	0	RandomForestClassifier	Klek	Recall	0.42857
Primary	ROR	Card	4	RandomForestClassifier	Klek	Recall	0.46159
Primary	ROR	Card	2	RandomForestClassifier	Klek	Recall	0.43779
Primary	IC	Card	1	RandomForestClassifier	Klek	Recall	0.62981
Primary	IC	Card	3	RandomForestClassifier	Klek	Recall	0.79749
Primary	IC	Card	0	RandomForestClassifier	Klek	Recall	0.80558
Primary	IC	Card	4	RandomForestClassifier	Klek	Recall	0.81593
Primary	IC	Card	2	RandomForestClassifier	Klek	Recall	0.86382
Primary	PRR	Card	1	RandomForestClassifier	Klek	Specificity	0.6816
Primary	PRR	Card	3	RandomForestClassifier	Klek	Specificity	0.54866
Primary	PRR	Card	0	RandomForestClassifier	Klek	Specificity	0.50786
Primary	PRR	Card	4	RandomForestClassifier	Klek	Specificity	0.51469
Primary	PRR	Card	2	RandomForestClassifier	Klek	Specificity	0.69855
Primary	ROR	Card	1	RandomForestClassifier	Klek	Specificity	0.73796
Primary	ROR	Card	3	RandomForestClassifier	Klek	Specificity	0.79387
Primary	ROR	Card	0	RandomForestClassifier	Klek	Specificity	0.64167
Primary	ROR	Card	4	RandomForestClassifier	Klek	Specificity	0.60893
Primary	ROR	Card	2	RandomForestClassifier	Klek	Specificity	0.75266
Primary	IC	Card	1	RandomForestClassifier	Klek	Specificity	0.43979
Primary	IC	Card	3	RandomForestClassifier	Klek	Specificity	0.22682
Primary	IC	Card	0	RandomForestClassifier	Klek	Specificity	0.26583
Primary	IC	Card	4	RandomForestClassifier	Klek	Specificity	0.30942
Primary	IC	Card	2	RandomForestClassifier	Klek	Specificity	0.23623
Primary	PRR	Card	1	RandomForestClassifier	Klek	Precision	0.63661
Primary	PRR	Card	3	RandomForestClassifier	Klek	Precision	0.62886
Primary	PRR	Card	0	RandomForestClassifier	Klek	Precision	0.6066
Primary	PRR	Card	4	RandomForestClassifier	Klek	Precision	0.59542
Primary	PRR	Card	2	RandomForestClassifier	Klek	Precision	0.71942
Primary	ROR	Card	1	RandomForestClassifier	Klek	Precision	0.61198
Primary	ROR	Card	3	RandomForestClassifier	Klek	Precision	0.65245
Primary	ROR	Card	0	RandomForestClassifier	Klek	Precision	0.62054
Primary	ROR	Card	4	RandomForestClassifier	Klek	Precision	0.58951
Primary	ROR	Card	2	RandomForestClassifier	Klek	Precision	0.71775
Primary	IC	Card	1	RandomForestClassifier	Klek	Precision	0.61195
Primary	IC	Card	3	RandomForestClassifier	Klek	Precision	0.5756
Primary	IC	Card	0	RandomForestClassifier	Klek	Precision	0.60005
Primary	IC	Card	4	RandomForestClassifier	Klek	Precision	0.58976
Primary	IC	Card	2	RandomForestClassifier	Klek	Precision	0.61904
Primary	PRR	Card	1	RandomForestClassifier	Klek	PRC AUC	0.65351
Primary	PRR	Card	3	RandomForestClassifier	Klek	PRC AUC	0.65052
Primary	PRR	Card	0	RandomForestClassifier	Klek	PRC AUC	0.66688
Primary	PRR	Card	4	RandomForestClassifier	Klek	PRC AUC	0.62185
Primary	PRR	Card	2	RandomForestClassifier	Klek	PRC AUC	0.73418
Primary	ROR	Card	1	RandomForestClassifier	Klek	PRC AUC	0.61375
Primary	ROR	Card	3	RandomForestClassifier	Klek	PRC AUC	0.63743
Primary	ROR	Card	0	RandomForestClassifier	Klek	PRC AUC	0.63349
Primary	ROR	Card	4	RandomForestClassifier	Klek	PRC AUC	0.60539
Primary	ROR	Card	2	RandomForestClassifier	Klek	PRC AUC	0.72192
Primary	IC	Card	1	RandomForestClassifier	Klek	PRC AUC	0.63471
Primary	IC	Card	3	RandomForestClassifier	Klek	PRC AUC	0.61949
Primary	IC	Card	0	RandomForestClassifier	Klek	PRC AUC	0.62837
Primary	IC	Card	4	RandomForestClassifier	Klek	PRC AUC	0.63968
Primary	IC	Card	2	RandomForestClassifier	Klek	PRC AUC	0.73403
Primary	PRR	Card	1	RandomForestClassifier	Klek	Brier	0.25171
Primary	PRR	Card	3	RandomForestClassifier	Klek	Brier	0.24493
Primary	PRR	Card	0	RandomForestClassifier	Klek	Brier	0.24388
Primary	PRR	Card	4	RandomForestClassifier	Klek	Brier	0.25065
Primary	PRR	Card	2	RandomForestClassifier	Klek	Brier	0.2331
Primary	ROR	Card	1	RandomForestClassifier	Klek	Brier	0.27329
Primary	ROR	Card	3	RandomForestClassifier	Klek	Brier	0.26295
Primary	ROR	Card	0	RandomForestClassifier	Klek	Brier	0.26024
Primary	ROR	Card	4	RandomForestClassifier	Klek	Brier	0.26012
Primary	ROR	Card	2	RandomForestClassifier	Klek	Brier	0.24599
Primary	IC	Card	1	RandomForestClassifier	Klek	Brier	0.24757
Primary	IC	Card	3	RandomForestClassifier	Klek	Brier	0.25308
Primary	IC	Card	0	RandomForestClassifier	Klek	Brier	0.24658
Primary	IC	Card	4	RandomForestClassifier	Klek	Brier	0.24787
Primary	IC	Card	2	RandomForestClassifier	Klek	Brier	0.23
Primary	PRR	Card	1	RandomForestClassifier	Klek	ECE	0.10665
Primary	PRR	Card	3	RandomForestClassifier	Klek	ECE	0.05927
Primary	PRR	Card	0	RandomForestClassifier	Klek	ECE	0.0689
Primary	PRR	Card	4	RandomForestClassifier	Klek	ECE	0.07282
Primary	PRR	Card	2	RandomForestClassifier	Klek	ECE	0.08516
Primary	ROR	Card	1	RandomForestClassifier	Klek	ECE	0.15213
Primary	ROR	Card	3	RandomForestClassifier	Klek	ECE	0.13689
Primary	ROR	Card	0	RandomForestClassifier	Klek	ECE	0.12507
Primary	ROR	Card	4	RandomForestClassifier	Klek	ECE	0.11332
Primary	ROR	Card	2	RandomForestClassifier	Klek	ECE	0.1255
Primary	IC	Card	1	RandomForestClassifier	Klek	ECE	0.06983
Primary	IC	Card	3	RandomForestClassifier	Klek	ECE	0.08048
Primary	IC	Card	0	RandomForestClassifier	Klek	ECE	0.04931
Primary	IC	Card	4	RandomForestClassifier	Klek	ECE	0.07304
Primary	IC	Card	2	RandomForestClassifier	Klek	ECE	0.05081
