Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.52127
Primary	PRR	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.56158
Primary	PRR	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.59095
Primary	PRR	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.57968
Primary	PRR	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.52379
Primary	ROR	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.53045
Primary	ROR	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.60244
Primary	ROR	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.56959
Primary	ROR	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.601
Primary	ROR	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.52748
Primary	IC	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.51635
Primary	IC	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.54994
Primary	IC	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.55844
Primary	IC	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.56501
Primary	IC	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.47471
Primary	PRR	Card	1	XGBClassifier	ECFP	GeomRS	0.51239
Primary	PRR	Card	0	XGBClassifier	ECFP	GeomRS	0.5588
Primary	PRR	Card	4	XGBClassifier	ECFP	GeomRS	0.59065
Primary	PRR	Card	2	XGBClassifier	ECFP	GeomRS	0.57476
Primary	PRR	Card	3	XGBClassifier	ECFP	GeomRS	0.51379
Primary	ROR	Card	1	XGBClassifier	ECFP	GeomRS	0.48694
Primary	ROR	Card	0	XGBClassifier	ECFP	GeomRS	0.60117
Primary	ROR	Card	4	XGBClassifier	ECFP	GeomRS	0.56756
Primary	ROR	Card	2	XGBClassifier	ECFP	GeomRS	0.59979
Primary	ROR	Card	3	XGBClassifier	ECFP	GeomRS	0.50858
Primary	IC	Card	1	XGBClassifier	ECFP	GeomRS	0.49297
Primary	IC	Card	0	XGBClassifier	ECFP	GeomRS	0.52471
Primary	IC	Card	4	XGBClassifier	ECFP	GeomRS	0.51803
Primary	IC	Card	2	XGBClassifier	ECFP	GeomRS	0.50499
Primary	IC	Card	3	XGBClassifier	ECFP	GeomRS	0.47184
Primary	PRR	Card	1	XGBClassifier	ECFP	HarmRS	0.50367
Primary	PRR	Card	0	XGBClassifier	ECFP	HarmRS	0.55603
Primary	PRR	Card	4	XGBClassifier	ECFP	HarmRS	0.59036
Primary	PRR	Card	2	XGBClassifier	ECFP	HarmRS	0.56989
Primary	PRR	Card	3	XGBClassifier	ECFP	HarmRS	0.50397
Primary	ROR	Card	1	XGBClassifier	ECFP	HarmRS	0.447
Primary	ROR	Card	0	XGBClassifier	ECFP	HarmRS	0.59989
Primary	ROR	Card	4	XGBClassifier	ECFP	HarmRS	0.56553
Primary	ROR	Card	2	XGBClassifier	ECFP	HarmRS	0.59859
Primary	ROR	Card	3	XGBClassifier	ECFP	HarmRS	0.49035
Primary	IC	Card	1	XGBClassifier	ECFP	HarmRS	0.47064
Primary	IC	Card	0	XGBClassifier	ECFP	HarmRS	0.50063
Primary	IC	Card	4	XGBClassifier	ECFP	HarmRS	0.48054
Primary	IC	Card	2	XGBClassifier	ECFP	HarmRS	0.45135
Primary	IC	Card	3	XGBClassifier	ECFP	HarmRS	0.46899
Primary	PRR	Card	1	XGBClassifier	ECFP	F1 Score	0.50101
Primary	PRR	Card	0	XGBClassifier	ECFP	F1 Score	0.56649
Primary	PRR	Card	4	XGBClassifier	ECFP	F1 Score	0.62168
Primary	PRR	Card	2	XGBClassifier	ECFP	F1 Score	0.65501
Primary	PRR	Card	3	XGBClassifier	ECFP	F1 Score	0.49445
Primary	ROR	Card	1	XGBClassifier	ECFP	F1 Score	0.42538
Primary	ROR	Card	0	XGBClassifier	ECFP	F1 Score	0.61713
Primary	ROR	Card	4	XGBClassifier	ECFP	F1 Score	0.56816
Primary	ROR	Card	2	XGBClassifier	ECFP	F1 Score	0.62057
Primary	ROR	Card	3	XGBClassifier	ECFP	F1 Score	0.47247
Primary	IC	Card	1	XGBClassifier	ECFP	F1 Score	0.63078
Primary	IC	Card	0	XGBClassifier	ECFP	F1 Score	0.66039
Primary	IC	Card	4	XGBClassifier	ECFP	F1 Score	0.66658
Primary	IC	Card	2	XGBClassifier	ECFP	F1 Score	0.71242
Primary	IC	Card	3	XGBClassifier	ECFP	F1 Score	0.53594
Primary	PRR	Card	1	XGBClassifier	ECFP	ROC AUC	0.52399
Primary	PRR	Card	0	XGBClassifier	ECFP	ROC AUC	0.57424
Primary	PRR	Card	4	XGBClassifier	ECFP	ROC AUC	0.61265
Primary	PRR	Card	2	XGBClassifier	ECFP	ROC AUC	0.61669
Primary	PRR	Card	3	XGBClassifier	ECFP	ROC AUC	0.51662
Primary	ROR	Card	1	XGBClassifier	ECFP	ROC AUC	0.53485
Primary	ROR	Card	0	XGBClassifier	ECFP	ROC AUC	0.63363
Primary	ROR	Card	4	XGBClassifier	ECFP	ROC AUC	0.6068
Primary	ROR	Card	2	XGBClassifier	ECFP	ROC AUC	0.63478
Primary	ROR	Card	3	XGBClassifier	ECFP	ROC AUC	0.53366
Primary	IC	Card	1	XGBClassifier	ECFP	ROC AUC	0.53039
Primary	IC	Card	0	XGBClassifier	ECFP	ROC AUC	0.57609
Primary	IC	Card	4	XGBClassifier	ECFP	ROC AUC	0.62009
Primary	IC	Card	2	XGBClassifier	ECFP	ROC AUC	0.61792
Primary	IC	Card	3	XGBClassifier	ECFP	ROC AUC	0.48826
Primary	PRR	Card	1	XGBClassifier	ECFP	MCC	0.04266
Primary	PRR	Card	0	XGBClassifier	ECFP	MCC	0.1222
Primary	PRR	Card	4	XGBClassifier	ECFP	MCC	0.1813
Primary	PRR	Card	2	XGBClassifier	ECFP	MCC	0.15936
Primary	PRR	Card	3	XGBClassifier	ECFP	MCC	0.04808
Primary	ROR	Card	1	XGBClassifier	ECFP	MCC	0.06585
Primary	ROR	Card	0	XGBClassifier	ECFP	MCC	0.20263
Primary	ROR	Card	4	XGBClassifier	ECFP	MCC	0.13899
Primary	ROR	Card	2	XGBClassifier	ECFP	MCC	0.1989
Primary	ROR	Card	3	XGBClassifier	ECFP	MCC	0.05659
Primary	IC	Card	1	XGBClassifier	ECFP	MCC	0.03394
Primary	IC	Card	0	XGBClassifier	ECFP	MCC	0.10512
Primary	IC	Card	4	XGBClassifier	ECFP	MCC	0.12874
Primary	IC	Card	2	XGBClassifier	ECFP	MCC	0.15086
Primary	IC	Card	3	XGBClassifier	ECFP	MCC	-0.05036
Primary	PRR	Card	1	XGBClassifier	ECFP	Accuracy	0.50521
Primary	PRR	Card	0	XGBClassifier	ECFP	Accuracy	0.55292
Primary	PRR	Card	4	XGBClassifier	ECFP	Accuracy	0.59277
Primary	PRR	Card	2	XGBClassifier	ECFP	Accuracy	0.59318
Primary	PRR	Card	3	XGBClassifier	ECFP	Accuracy	0.50993
Primary	ROR	Card	1	XGBClassifier	ECFP	Accuracy	0.49519
Primary	ROR	Card	0	XGBClassifier	ECFP	Accuracy	0.59636
Primary	ROR	Card	4	XGBClassifier	ECFP	Accuracy	0.56489
Primary	ROR	Card	2	XGBClassifier	ECFP	Accuracy	0.59417
Primary	ROR	Card	3	XGBClassifier	ECFP	Accuracy	0.50844
Primary	IC	Card	1	XGBClassifier	ECFP	Accuracy	0.5421
