Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.54354
Primary	PRR	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.54558
Primary	PRR	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.57962
Primary	PRR	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.60362
Primary	PRR	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.52874
Primary	ROR	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.54968
Primary	ROR	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.53838
Primary	ROR	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.58104
Primary	ROR	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.58203
Primary	ROR	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.55029
Primary	IC	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.52916
Primary	IC	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.52273
Primary	IC	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.5383
Primary	IC	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.57329
Primary	IC	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.52136
Primary	PRR	Card	0	XGBClassifier	RDKit	GeomRS	0.54264
Primary	PRR	Card	1	XGBClassifier	RDKit	GeomRS	0.54403
Primary	PRR	Card	4	XGBClassifier	RDKit	GeomRS	0.57954
Primary	PRR	Card	2	XGBClassifier	RDKit	GeomRS	0.59887
Primary	PRR	Card	3	XGBClassifier	RDKit	GeomRS	0.52874
Primary	ROR	Card	0	XGBClassifier	RDKit	GeomRS	0.54461
Primary	ROR	Card	1	XGBClassifier	RDKit	GeomRS	0.52993
Primary	ROR	Card	4	XGBClassifier	RDKit	GeomRS	0.577
Primary	ROR	Card	2	XGBClassifier	RDKit	GeomRS	0.58094
Primary	ROR	Card	3	XGBClassifier	RDKit	GeomRS	0.54577
Primary	IC	Card	0	XGBClassifier	RDKit	GeomRS	0.49848
Primary	IC	Card	1	XGBClassifier	RDKit	GeomRS	0.50602
Primary	IC	Card	4	XGBClassifier	RDKit	GeomRS	0.48167
Primary	IC	Card	2	XGBClassifier	RDKit	GeomRS	0.52198
Primary	IC	Card	3	XGBClassifier	RDKit	GeomRS	0.48119
Primary	PRR	Card	0	XGBClassifier	RDKit	HarmRS	0.54175
Primary	PRR	Card	1	XGBClassifier	RDKit	HarmRS	0.54249
Primary	PRR	Card	4	XGBClassifier	RDKit	HarmRS	0.57945
Primary	PRR	Card	2	XGBClassifier	RDKit	HarmRS	0.59415
Primary	PRR	Card	3	XGBClassifier	RDKit	HarmRS	0.52874
Primary	ROR	Card	0	XGBClassifier	RDKit	HarmRS	0.53959
Primary	ROR	Card	1	XGBClassifier	RDKit	HarmRS	0.5216
Primary	ROR	Card	4	XGBClassifier	RDKit	HarmRS	0.573
