Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5455
Primary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51893
Primary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49633
Primary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51143
Primary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54407
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56635
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53181
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51374
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50703
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53384
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54156
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52578
Primary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53531
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51854
Primary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50427
Primary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.54528
Primary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.51334
Primary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.49391
Primary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.50876
Primary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.53575
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.56278
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.52522
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.50948
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.50246
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.52917
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.48451
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.46633
