Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.57487
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.54566
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.52992
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.5696
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53586
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.54281
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.54604
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.52745
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.54921
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.51796
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.53913
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.51799
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.51919
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.52917
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53117
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.57075
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.54315
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.52595
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.56745
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.53522
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.51909
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.50468
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.52581
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.53002
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.51144
Secondary	IC	Cred	1	RandomForestClassifier	Klek	GeomRS	0.47745
Secondary	IC	Cred	3	RandomForestClassifier	Klek	GeomRS	0.39149
Secondary	IC	Cred	4	RandomForestClassifier	Klek	GeomRS	0.37028
Secondary	IC	Cred	2	RandomForestClassifier	Klek	GeomRS	0.37896
Secondary	IC	Cred	0	RandomForestClassifier	Klek	GeomRS	0.36537
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.56665
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.54065
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.52201
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.56531
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.53458
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.49642
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.46646
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.52417
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.5115
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.50499
Secondary	IC	Cred	1	RandomForestClassifier	Klek	HarmRS	0.42282
Secondary	IC	Cred	3	RandomForestClassifier	Klek	HarmRS	0.29588
Secondary	IC	Cred	4	RandomForestClassifier	Klek	HarmRS	0.26409
Secondary	IC	Cred	2	RandomForestClassifier	Klek	HarmRS	0.27139
Secondary	IC	Cred	0	RandomForestClassifier	Klek	HarmRS	0.25132
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.58661
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.54838
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.58485
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	F1 Score	0.59459
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	F1 Score	0.6007
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.48996
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.44289
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.52822
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	F1 Score	0.50976
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	F1 Score	0.51649
Secondary	IC	Cred	1	RandomForestClassifier	Klek	F1 Score	0.70887
Secondary	IC	Cred	3	RandomForestClassifier	Klek	F1 Score	0.69064
Secondary	IC	Cred	4	RandomForestClassifier	Klek	F1 Score	0.68555
Secondary	IC	Cred	2	RandomForestClassifier	Klek	F1 Score	0.74731
Secondary	IC	Cred	0	RandomForestClassifier	Klek	F1 Score	0.74664
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.58165
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.55773
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.57178
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.6034
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.56446
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.56465
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.55502
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.55664
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.58034
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.53514
Secondary	IC	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.58061
Secondary	IC	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.56164
Secondary	IC	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.58377
Secondary	IC	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.60135
Secondary	IC	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.59131
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	MCC	0.14621
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	MCC	0.09086
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	MCC	0.0601
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	MCC	0.13512
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	MCC	0.07003
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	MCC	0.0871
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	MCC	0.09975
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	MCC	0.0548
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	MCC	0.09883
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	MCC	0.03543
Secondary	IC	Cred	1	RandomForestClassifier	Klek	MCC	0.08895
Secondary	IC	Cred	3	RandomForestClassifier	Klek	MCC	0.04881
Secondary	IC	Cred	4	RandomForestClassifier	Klek	MCC	0.05602
Secondary	IC	Cred	2	RandomForestClassifier	Klek	MCC	0.08591
Secondary	IC	Cred	0	RandomForestClassifier	Klek	MCC	0.09804
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Accuracy	0.55853
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Accuracy	0.53857
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Accuracy	0.5363
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Accuracy	0.55733
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Accuracy	0.54179
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Accuracy	0.50509
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Accuracy	0.51777
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Accuracy	0.52335
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Accuracy	0.5135
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Accuracy	0.4994
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Accuracy	0.59865
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Accuracy	0.56398
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Accuracy	0.55504
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Accuracy	0.62081
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Accuracy	0.61848
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Recall	0.50614
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Recall	0.49339
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Recall	0.59468
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Recall	0.52016
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Recall	0.56204
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Recall	0.38412
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Recall	0.33758
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Recall	0.48583
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Recall	0.4053
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Recall	0.436
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Recall	0.78953
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Recall	0.85718
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Recall	0.88312
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Recall	0.8985
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Recall	0.91671
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Specificity	0.64361
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Specificity	0.59793
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Specificity	0.46516
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Specificity	0.61903
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Specificity	0.50968
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Specificity	0.7015
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Specificity	0.75449
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Specificity	0.56907
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Specificity	0.69312
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Specificity	0.59992
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Specificity	0.28872
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Specificity	0.1788
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Specificity	0.15526
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Specificity	0.15983
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Specificity	0.14562
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Precision	0.69751
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Precision	0.61717
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Precision	0.57535
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Precision	0.69387
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Precision	0.64508
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Precision	0.67631
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Precision	0.64368
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Precision	0.57873
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Precision	0.68676
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Precision	0.63343
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Precision	0.64315
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Precision	0.57829
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Precision	0.56022
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Precision	0.63968
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Precision	0.6298
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	PRC AUC	0.69144
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	PRC AUC	0.62579
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	PRC AUC	0.62632
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	PRC AUC	0.70598
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	PRC AUC	0.67545
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	PRC AUC	0.68373
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	PRC AUC	0.62333
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	PRC AUC	0.61063
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	PRC AUC	0.69437
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	PRC AUC	0.63954
Secondary	IC	Cred	1	RandomForestClassifier	Klek	PRC AUC	0.69241
Secondary	IC	Cred	3	RandomForestClassifier	Klek	PRC AUC	0.62774
