Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.54343
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53642
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.54402
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.54819
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.57848
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.5263
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.5207
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.53766
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.54938
Secondary	ROR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.55785
Secondary	IC	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.52962
Secondary	IC	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53094
Secondary	IC	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.53247
Secondary	IC	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.52397
Secondary	IC	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.54206
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.54323
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.53619
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.53836
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.54686
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.57065
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.52311
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.51569
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.52067
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.54075
Secondary	ROR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.55079
Secondary	IC	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.48967
Secondary	IC	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.47662
Secondary	IC	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.43576
Secondary	IC	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.40484
Secondary	IC	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.46665
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.54303
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.53595
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.53277
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.54553
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.56293
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.51993
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.51073
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.50421
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.53225
