Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.5417
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.52579
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.55947
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.56484
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.55738
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.53601
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.5262
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.54311
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.54007
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.53667
Secondary	IC	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.52456
Secondary	IC	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.52394
Secondary	IC	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.55355
Secondary	IC	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.53112
Secondary	IC	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.54026
Secondary	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.54067
Secondary	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.52539
Secondary	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.54645
Secondary	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.5643
Secondary	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.54528
Secondary	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.52672
Secondary	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.52614
Secondary	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.54307
Secondary	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.52788
Secondary	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.52631
Secondary	IC	Cred	1	XGBClassifier	CDDD	GeomRS	0.47755
Secondary	IC	Cred	3	XGBClassifier	CDDD	GeomRS	0.47749
Secondary	IC	Cred	4	XGBClassifier	CDDD	GeomRS	0.49385
Secondary	IC	Cred	0	XGBClassifier	CDDD	GeomRS	0.4678
Secondary	IC	Cred	2	XGBClassifier	CDDD	GeomRS	0.44885
Secondary	PRR	Cred	1	XGBClassifier	CDDD	HarmRS	0.53963
Secondary	PRR	Cred	3	XGBClassifier	CDDD	HarmRS	0.525
Secondary	PRR	Cred	4	XGBClassifier	CDDD	HarmRS	0.53374
Secondary	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.56377
Secondary	PRR	Cred	2	XGBClassifier	CDDD	HarmRS	0.53345
Secondary	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.5176
Secondary	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.52608
Secondary	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.54303
Secondary	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.51597
Secondary	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.51615
Secondary	IC	Cred	1	XGBClassifier	CDDD	HarmRS	0.43476
Secondary	IC	Cred	3	XGBClassifier	CDDD	HarmRS	0.43515
Secondary	IC	Cred	4	XGBClassifier	CDDD	HarmRS	0.44058
Secondary	IC	Cred	0	XGBClassifier	CDDD	HarmRS	0.41204
Secondary	IC	Cred	2	XGBClassifier	CDDD	HarmRS	0.3729
Secondary	PRR	Cred	1	XGBClassifier	CDDD	F1 Score	0.57431
Secondary	PRR	Cred	3	XGBClassifier	CDDD	F1 Score	0.56819
Secondary	PRR	Cred	4	XGBClassifier	CDDD	F1 Score	0.63517
Secondary	PRR	Cred	0	XGBClassifier	CDDD	F1 Score	0.62724
Secondary	PRR	Cred	2	XGBClassifier	CDDD	F1 Score	0.66982
Secondary	ROR	Cred	1	XGBClassifier	CDDD	F1 Score	0.52571
Secondary	ROR	Cred	3	XGBClassifier	CDDD	F1 Score	0.55353
Secondary	ROR	Cred	4	XGBClassifier	CDDD	F1 Score	0.56953
Secondary	ROR	Cred	0	XGBClassifier	CDDD	F1 Score	0.5182
Secondary	ROR	Cred	2	XGBClassifier	CDDD	F1 Score	0.6468
Secondary	IC	Cred	1	XGBClassifier	CDDD	F1 Score	0.68411
Secondary	IC	Cred	3	XGBClassifier	CDDD	F1 Score	0.65275
Secondary	IC	Cred	4	XGBClassifier	CDDD	F1 Score	0.67666
Secondary	IC	Cred	0	XGBClassifier	CDDD	F1 Score	0.69972
Secondary	IC	Cred	2	XGBClassifier	CDDD	F1 Score	0.73157
Secondary	PRR	Cred	1	XGBClassifier	CDDD	ROC AUC	0.56311
Secondary	PRR	Cred	3	XGBClassifier	CDDD	ROC AUC	0.54574
Secondary	PRR	Cred	4	XGBClassifier	CDDD	ROC AUC	0.5896
Secondary	PRR	Cred	0	XGBClassifier	CDDD	ROC AUC	0.58056
Secondary	PRR	Cred	2	XGBClassifier	CDDD	ROC AUC	0.59515
Secondary	ROR	Cred	1	XGBClassifier	CDDD	ROC AUC	0.55571
Secondary	ROR	Cred	3	XGBClassifier	CDDD	ROC AUC	0.53556
Secondary	ROR	Cred	4	XGBClassifier	CDDD	ROC AUC	0.57427
Secondary	ROR	Cred	0	XGBClassifier	CDDD	ROC AUC	0.5532
Secondary	ROR	Cred	2	XGBClassifier	CDDD	ROC AUC	0.55717
Secondary	IC	Cred	1	XGBClassifier	CDDD	ROC AUC	0.55707
Secondary	IC	Cred	3	XGBClassifier	CDDD	ROC AUC	0.54066
Secondary	IC	Cred	4	XGBClassifier	CDDD	ROC AUC	0.58722
Secondary	IC	Cred	0	XGBClassifier	CDDD	ROC AUC	0.57422
Secondary	IC	Cred	2	XGBClassifier	CDDD	ROC AUC	0.59789
Secondary	PRR	Cred	1	XGBClassifier	CDDD	MCC	0.08111
Secondary	PRR	Cred	3	XGBClassifier	CDDD	MCC	0.05117
Secondary	PRR	Cred	4	XGBClassifier	CDDD	MCC	0.1223
Secondary	PRR	Cred	0	XGBClassifier	CDDD	MCC	0.1267
Secondary	PRR	Cred	2	XGBClassifier	CDDD	MCC	0.11511
Secondary	ROR	Cred	1	XGBClassifier	CDDD	MCC	0.07113
Secondary	ROR	Cred	3	XGBClassifier	CDDD	MCC	0.05191
Secondary	ROR	Cred	4	XGBClassifier	CDDD	MCC	0.08581
Secondary	ROR	Cred	0	XGBClassifier	CDDD	MCC	0.07983
Secondary	ROR	Cred	2	XGBClassifier	CDDD	MCC	0.07297
Secondary	IC	Cred	1	XGBClassifier	CDDD	MCC	0.05331
Secondary	IC	Cred	3	XGBClassifier	CDDD	MCC	0.05276
Secondary	IC	Cred	4	XGBClassifier	CDDD	MCC	0.12396
Secondary	IC	Cred	0	XGBClassifier	CDDD	MCC	0.07082
Secondary	IC	Cred	2	XGBClassifier	CDDD	MCC	0.09956
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Accuracy	0.53374
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Accuracy	0.52857
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Accuracy	0.57129
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Accuracy	0.5704
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Accuracy	0.58603
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Accuracy	0.51239
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Accuracy	0.52514
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Accuracy	0.54374
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Accuracy	0.51423
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Accuracy	0.5627
Secondary	IC	Cred	1	XGBClassifier	CDDD	Accuracy	0.57616
Secondary	IC	Cred	3	XGBClassifier	CDDD	Accuracy	0.55319
Secondary	IC	Cred	4	XGBClassifier	CDDD	Accuracy	0.57818
Secondary	IC	Cred	0	XGBClassifier	CDDD	Accuracy	0.58808
Secondary	IC	Cred	2	XGBClassifier	CDDD	Accuracy	0.61487
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Recall	0.50822
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Recall	0.54626
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Recall	0.67946
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Recall	0.5894
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Recall	0.67286
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Recall	0.43668
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Recall	0.51843
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Recall	0.54954
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Recall	0.42599
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Recall	0.64159
Secondary	IC	Cred	1	XGBClassifier	CDDD	Recall	0.74161
Secondary	IC	Cred	3	XGBClassifier	CDDD	Recall	0.73962
Secondary	IC	Cred	4	XGBClassifier	CDDD	Recall	0.80361
Secondary	IC	Cred	0	XGBClassifier	CDDD	Recall	0.78261
Secondary	IC	Cred	2	XGBClassifier	CDDD	Recall	0.84096
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Specificity	0.57519
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Specificity	0.50533
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Specificity	0.43949
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Specificity	0.54028
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Specificity	0.4419
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Specificity	0.63534
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Specificity	0.53396
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Specificity	0.53667
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Specificity	0.65414
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Specificity	0.43174
Secondary	IC	Cred	1	XGBClassifier	CDDD	Specificity	0.30752
Secondary	IC	Cred	3	XGBClassifier	CDDD	Specificity	0.30825
Secondary	IC	Cred	4	XGBClassifier	CDDD	Specificity	0.30348
Secondary	IC	Cred	0	XGBClassifier	CDDD	Specificity	0.27963
Secondary	IC	Cred	2	XGBClassifier	CDDD	Specificity	0.23956
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Precision	0.66015
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Precision	0.59196
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Precision	0.5963
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Precision	0.67028
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Precision	0.66682
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Precision	0.66036
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Precision	0.59373
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Precision	0.59104
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Precision	0.66136
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Precision	0.65208
Secondary	IC	Cred	1	XGBClassifier	CDDD	Precision	0.63489
Secondary	IC	Cred	3	XGBClassifier	CDDD	Precision	0.58414
Secondary	IC	Cred	4	XGBClassifier	CDDD	Precision	0.58435
Secondary	IC	Cred	0	XGBClassifier	CDDD	Precision	0.6327
Secondary	IC	Cred	2	XGBClassifier	CDDD	Precision	0.64737
Secondary	PRR	Cred	1	XGBClassifier	CDDD	PRC AUC	0.67799
Secondary	PRR	Cred	3	XGBClassifier	CDDD	PRC AUC	0.60959
Secondary	PRR	Cred	4	XGBClassifier	CDDD	PRC AUC	0.61978
Secondary	PRR	Cred	0	XGBClassifier	CDDD	PRC AUC	0.67174
Secondary	PRR	Cred	2	XGBClassifier	CDDD	PRC AUC	0.7012
Secondary	ROR	Cred	1	XGBClassifier	CDDD	PRC AUC	0.66521
Secondary	ROR	Cred	3	XGBClassifier	CDDD	PRC AUC	0.6023
Secondary	ROR	Cred	4	XGBClassifier	CDDD	PRC AUC	0.62509
Secondary	ROR	Cred	0	XGBClassifier	CDDD	PRC AUC	0.64877
Secondary	ROR	Cred	2	XGBClassifier	CDDD	PRC AUC	0.67759
Secondary	IC	Cred	1	XGBClassifier	CDDD	PRC AUC	0.67674
Secondary	IC	Cred	3	XGBClassifier	CDDD	PRC AUC	0.60878
Secondary	IC	Cred	4	XGBClassifier	CDDD	PRC AUC	0.61861
Secondary	IC	Cred	0	XGBClassifier	CDDD	PRC AUC	0.67171
Secondary	IC	Cred	2	XGBClassifier	CDDD	PRC AUC	0.71116
