Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54487
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52177
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54663
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52124
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55583
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53139
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50596
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52502
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.48968
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51907
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54246
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51056
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51984
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49483
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54138
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.54485
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.51916
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.53093
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.5105
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.5502
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.52996
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.5021
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.5247
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.48702
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.51661
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.49196
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.43413
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.42053
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.40375
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.47564
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.54484
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.51657
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.51568
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.49998
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.54462
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.52854
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.49826
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.52438
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.48437
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.51417
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.44617
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.36914
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.34019
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.32944
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.41789
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.59478
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.58037
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.62788
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.62814
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.6511
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.56055
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.50059
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.53859
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.50763
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.60281
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.70298
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.66142
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.66829
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.68502
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.71681
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	ROC AUC	0.56095
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	ROC AUC	0.53
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	ROC AUC	0.55514
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	ROC AUC	0.53032
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	ROC AUC	0.58604
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	ROC AUC	0.56155
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	ROC AUC	0.51931
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	ROC AUC	0.5294
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	ROC AUC	0.4779
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	ROC AUC	0.53882
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	ROC AUC	0.56889
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	ROC AUC	0.52676
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	ROC AUC	0.56201
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	ROC AUC	0.53127
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	ROC AUC	0.58027
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	MCC	0.08717
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	MCC	0.0434
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	MCC	0.09637
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	MCC	0.04242
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	MCC	0.11009
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	MCC	0.0611
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	MCC	0.01191
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	MCC	0.04983
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	MCC	-0.02022
Secondary	ROR	Cred	2	XGBClassifier	ChemBERTa	MCC	0.03718
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	MCC	0.09387
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	MCC	0.02487
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	MCC	0.05008
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	MCC	-0.01227
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	MCC	0.0951
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	Accuracy	0.54392
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	Accuracy	0.52883
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	Accuracy	0.55944
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	Accuracy	0.54509
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	Accuracy	0.57543
Secondary	ROR	Cred	1	XGBClassifier	ChemBERTa	Accuracy	0.52214
Secondary	ROR	Cred	3	XGBClassifier	ChemBERTa	Accuracy	0.4975
Secondary	ROR	Cred	4	XGBClassifier	ChemBERTa	Accuracy	0.52321
Secondary	ROR	Cred	0	XGBClassifier	ChemBERTa	Accuracy	0.47813
