Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	4	LogisticRegression	ECFP	Balanced Accuracy	0.5895
Secondary	PRR	Cvas	3	LogisticRegression	ECFP	Balanced Accuracy	0.5087
Secondary	PRR	Cvas	1	LogisticRegression	ECFP	Balanced Accuracy	0.53212
Secondary	PRR	Cvas	0	LogisticRegression	ECFP	Balanced Accuracy	0.5676
Secondary	PRR	Cvas	2	LogisticRegression	ECFP	Balanced Accuracy	0.56111
Secondary	ROR	Cvas	4	LogisticRegression	ECFP	Balanced Accuracy	0.53233
Secondary	ROR	Cvas	3	LogisticRegression	ECFP	Balanced Accuracy	0.50035
Secondary	ROR	Cvas	1	LogisticRegression	ECFP	Balanced Accuracy	0.538
Secondary	ROR	Cvas	0	LogisticRegression	ECFP	Balanced Accuracy	0.54806
Secondary	ROR	Cvas	2	LogisticRegression	ECFP	Balanced Accuracy	0.5191
Secondary	IC	Cvas	4	LogisticRegression	ECFP	Balanced Accuracy	0.52104
Secondary	IC	Cvas	3	LogisticRegression	ECFP	Balanced Accuracy	0.4988
Secondary	IC	Cvas	1	LogisticRegression	ECFP	Balanced Accuracy	0.53621
Secondary	IC	Cvas	0	LogisticRegression	ECFP	Balanced Accuracy	0.55062
Secondary	IC	Cvas	2	LogisticRegression	ECFP	Balanced Accuracy	0.53545
Secondary	PRR	Cvas	4	LogisticRegression	ECFP	GeomRS	0.58644
Secondary	PRR	Cvas	3	LogisticRegression	ECFP	GeomRS	0.50832
Secondary	PRR	Cvas	1	LogisticRegression	ECFP	GeomRS	0.52549
Secondary	PRR	Cvas	0	LogisticRegression	ECFP	GeomRS	0.56729
Secondary	PRR	Cvas	2	LogisticRegression	ECFP	GeomRS	0.55953
Secondary	ROR	Cvas	4	LogisticRegression	ECFP	GeomRS	0.53187
Secondary	ROR	Cvas	3	LogisticRegression	ECFP	GeomRS	0.48821
Secondary	ROR	Cvas	1	LogisticRegression	ECFP	GeomRS	0.52201
Secondary	ROR	Cvas	0	LogisticRegression	ECFP	GeomRS	0.54021
Secondary	ROR	Cvas	2	LogisticRegression	ECFP	GeomRS	0.51535
Secondary	IC	Cvas	4	LogisticRegression	ECFP	GeomRS	0.51274
Secondary	IC	Cvas	3	LogisticRegression	ECFP	GeomRS	0.48326
Secondary	IC	Cvas	1	LogisticRegression	ECFP	GeomRS	0.52207
Secondary	IC	Cvas	0	LogisticRegression	ECFP	GeomRS	0.53473
