Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.5436
Mono	IC	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.4446
Mono	IC	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54636
Mono	IC	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.58482
Mono	IC	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.49069
Primary	IC	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.47895
Primary	IC	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.42814
Primary	IC	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54752
Primary	IC	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.55408
Primary	IC	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.47607
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54054
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.4504
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.48142
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.56472
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.46266
Mono	IC	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.52905
Mono	IC	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.43929
Mono	IC	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.54623
Mono	IC	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.56056
Mono	IC	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.48055
Primary	IC	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.47872
Primary	IC	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.42674
Primary	IC	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.54731
Primary	IC	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.51742
Primary	IC	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.46657
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.52895
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.44987
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.47045
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.54194
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.43308
Mono	IC	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.51489
Mono	IC	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.43404
Mono	IC	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.5461
Mono	IC	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.53731
Mono	IC	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.47063
Primary	IC	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.47848
Primary	IC	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.42534
Primary	IC	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.54709
Primary	IC	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.48319
Primary	IC	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.45726
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.51761
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.44933
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.45973
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.52008
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.40538
Mono	IC	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.67711
Mono	IC	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.55213
Mono	IC	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.61213
Mono	IC	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.72356
Mono	IC	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.60985
Primary	IC	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.55625
Primary	IC	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.51457
Primary	IC	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.61522
Primary	IC	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.71208
Primary	IC	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.59415
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.66775
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.52814
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.60227
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.70376
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.61863
Mono	IC	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.57868
Mono	IC	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.42916
Mono	IC	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.54609
Mono	IC	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.65474
Mono	IC	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.46437
Primary	IC	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.47486
Primary	IC	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.39154
Primary	IC	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.54707
Primary	IC	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.60495
Primary	IC	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.45138
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.58245
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.45154
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.45772
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.61247
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.45379
Mono	IC	Card	1	LogisticRegression	ChemBERTa	MCC	0.08627
Mono	IC	Card	4	LogisticRegression	ChemBERTa	MCC	-0.10673
Mono	IC	Card	3	LogisticRegression	ChemBERTa	MCC	0.0893
Mono	IC	Card	2	LogisticRegression	ChemBERTa	MCC	0.17605
Mono	IC	Card	0	LogisticRegression	ChemBERTa	MCC	-0.01824
Primary	IC	Card	1	LogisticRegression	ChemBERTa	MCC	-0.04002
Primary	IC	Card	4	LogisticRegression	ChemBERTa	MCC	-0.13772
Primary	IC	Card	3	LogisticRegression	ChemBERTa	MCC	0.09158
Primary	IC	Card	2	LogisticRegression	ChemBERTa	MCC	0.11475
Primary	IC	Card	0	LogisticRegression	ChemBERTa	MCC	-0.04671
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	MCC	0.07956
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	MCC	-0.09503
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	MCC	-0.03644
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	MCC	0.13278
Secondary	IC	Card	0	LogisticRegression	ChemBERTa	MCC	-0.07535
Mono	IC	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.58234
Mono	IC	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.46427
Mono	IC	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.54962
Mono	IC	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.63186
Mono	IC	Card	0	LogisticRegression	ChemBERTa	Accuracy	0.51815
Primary	IC	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.48364
Primary	IC	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.43808
Primary	IC	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.55174
Primary	IC	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.61
Primary	IC	Card	0	LogisticRegression	ChemBERTa	Accuracy	0.50227
Secondary	IC	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.57506
Secondary	IC	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.45672
Secondary	IC	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.50933
Secondary	IC	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.60952
