Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.48449
Mono	IC	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.52849
Mono	IC	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.48163
Mono	IC	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.5391
Mono	IC	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.51294
Primary	IC	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.50723
Primary	IC	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.5104
Primary	IC	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.52394
Primary	IC	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.54419
Primary	IC	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.52089
Secondary	IC	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.5237
Secondary	IC	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.50941
Secondary	IC	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.50676
Secondary	IC	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.53636
Secondary	IC	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.49883
Mono	IC	Card	1	LogisticRegression	MACCS	GeomRS	0.46394
Mono	IC	Card	4	LogisticRegression	MACCS	GeomRS	0.49918
Mono	IC	Card	3	LogisticRegression	MACCS	GeomRS	0.43848
Mono	IC	Card	2	LogisticRegression	MACCS	GeomRS	0.4561
Mono	IC	Card	0	LogisticRegression	MACCS	GeomRS	0.47474
Primary	IC	Card	1	LogisticRegression	MACCS	GeomRS	0.45354
Primary	IC	Card	4	LogisticRegression	MACCS	GeomRS	0.44208
Primary	IC	Card	3	LogisticRegression	MACCS	GeomRS	0.47194
Primary	IC	Card	2	LogisticRegression	MACCS	GeomRS	0.44436
Primary	IC	Card	0	LogisticRegression	MACCS	GeomRS	0.44318
Secondary	IC	Card	1	LogisticRegression	MACCS	GeomRS	0.4211
Secondary	IC	Card	4	LogisticRegression	MACCS	GeomRS	0.36292
Secondary	IC	Card	3	LogisticRegression	MACCS	GeomRS	0.42056
Secondary	IC	Card	2	LogisticRegression	MACCS	GeomRS	0.39841
Secondary	IC	Card	0	LogisticRegression	MACCS	GeomRS	0.34706
Mono	IC	Card	1	LogisticRegression	MACCS	HarmRS	0.44426
Mono	IC	Card	4	LogisticRegression	MACCS	HarmRS	0.47149
Mono	IC	Card	3	LogisticRegression	MACCS	HarmRS	0.3992
Mono	IC	Card	2	LogisticRegression	MACCS	HarmRS	0.38588
Mono	IC	Card	0	LogisticRegression	MACCS	HarmRS	0.43938
Primary	IC	Card	1	LogisticRegression	MACCS	HarmRS	0.40554
Primary	IC	Card	4	LogisticRegression	MACCS	HarmRS	0.38289
Primary	IC	Card	3	LogisticRegression	MACCS	HarmRS	0.42511
Primary	IC	Card	2	LogisticRegression	MACCS	HarmRS	0.36284
Primary	IC	Card	0	LogisticRegression	MACCS	HarmRS	0.37706
Secondary	IC	Card	1	LogisticRegression	MACCS	HarmRS	0.3386
Secondary	IC	Card	4	LogisticRegression	MACCS	HarmRS	0.25855
Secondary	IC	Card	3	LogisticRegression	MACCS	HarmRS	0.34903
Secondary	IC	Card	2	LogisticRegression	MACCS	HarmRS	0.29595
Secondary	IC	Card	0	LogisticRegression	MACCS	HarmRS	0.24147
Mono	IC	Card	1	LogisticRegression	MACCS	F1 Score	0.63391
Mono	IC	Card	4	LogisticRegression	MACCS	F1 Score	0.68185
