Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.54052
Mono	IC	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.60927
Mono	IC	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.49018
Mono	IC	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.5915
Mono	IC	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.54553
Primary	IC	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.55166
Primary	IC	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.57334
Primary	IC	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.47485
Primary	IC	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.61173
Primary	IC	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.5563
Secondary	IC	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.54411
Secondary	IC	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.55164
Secondary	IC	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.4533
Secondary	IC	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.59179
Secondary	IC	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.53117
Mono	IC	Card	1	XGBClassifier	ECFP	GeomRS	0.53932
Mono	IC	Card	4	XGBClassifier	ECFP	GeomRS	0.58963
Mono	IC	Card	3	XGBClassifier	ECFP	GeomRS	0.48291
Mono	IC	Card	2	XGBClassifier	ECFP	GeomRS	0.53456
Mono	IC	Card	0	XGBClassifier	ECFP	GeomRS	0.50379
Primary	IC	Card	1	XGBClassifier	ECFP	GeomRS	0.52053
Primary	IC	Card	4	XGBClassifier	ECFP	GeomRS	0.51558
Primary	IC	Card	3	XGBClassifier	ECFP	GeomRS	0.46758
Primary	IC	Card	2	XGBClassifier	ECFP	GeomRS	0.54586
Primary	IC	Card	0	XGBClassifier	ECFP	GeomRS	0.51253
Secondary	IC	Card	1	XGBClassifier	ECFP	GeomRS	0.45777
Secondary	IC	Card	4	XGBClassifier	ECFP	GeomRS	0.43051
Secondary	IC	Card	3	XGBClassifier	ECFP	GeomRS	0.39766
Secondary	IC	Card	2	XGBClassifier	ECFP	GeomRS	0.50473
Secondary	IC	Card	0	XGBClassifier	ECFP	GeomRS	0.44566
Mono	IC	Card	1	XGBClassifier	ECFP	HarmRS	0.53812
Mono	IC	Card	4	XGBClassifier	ECFP	HarmRS	0.57061
Mono	IC	Card	3	XGBClassifier	ECFP	HarmRS	0.47574
Mono	IC	Card	2	XGBClassifier	ECFP	HarmRS	0.48311
Mono	IC	Card	0	XGBClassifier	ECFP	HarmRS	0.46525
Primary	IC	Card	1	XGBClassifier	ECFP	HarmRS	0.49116
Primary	IC	Card	4	XGBClassifier	ECFP	HarmRS	0.46363
Primary	IC	Card	3	XGBClassifier	ECFP	HarmRS	0.46042
Primary	IC	Card	2	XGBClassifier	ECFP	HarmRS	0.48708
Primary	IC	Card	0	XGBClassifier	ECFP	HarmRS	0.47222
Secondary	IC	Card	1	XGBClassifier	ECFP	HarmRS	0.38513
Secondary	IC	Card	4	XGBClassifier	ECFP	HarmRS	0.33598
Secondary	IC	Card	3	XGBClassifier	ECFP	HarmRS	0.34885
Secondary	IC	Card	2	XGBClassifier	ECFP	HarmRS	0.43047
Secondary	IC	Card	0	XGBClassifier	ECFP	HarmRS	0.37392
Mono	IC	Card	1	XGBClassifier	ECFP	F1 Score	0.62754
Mono	IC	Card	4	XGBClassifier	ECFP	F1 Score	0.73906
Mono	IC	Card	3	XGBClassifier	ECFP	F1 Score	0.60028
Mono	IC	Card	2	XGBClassifier	ECFP	F1 Score	0.76265
Mono	IC	Card	0	XGBClassifier	ECFP	F1 Score	0.70847
Primary	IC	Card	1	XGBClassifier	ECFP	F1 Score	0.71067
Primary	IC	Card	4	XGBClassifier	ECFP	F1 Score	0.74945
Primary	IC	Card	3	XGBClassifier	ECFP	F1 Score	0.58552
Primary	IC	Card	2	XGBClassifier	ECFP	F1 Score	0.78579
Primary	IC	Card	0	XGBClassifier	ECFP	F1 Score	0.71987
Secondary	IC	Card	1	XGBClassifier	ECFP	F1 Score	0.75071
Secondary	IC	Card	4	XGBClassifier	ECFP	F1 Score	0.76764
Secondary	IC	Card	3	XGBClassifier	ECFP	F1 Score	0.63674
Secondary	IC	Card	2	XGBClassifier	ECFP	F1 Score	0.78249
Secondary	IC	Card	0	XGBClassifier	ECFP	F1 Score	0.72923
Mono	IC	Card	1	XGBClassifier	ECFP	ROC AUC	0.56207
Mono	IC	Card	4	XGBClassifier	ECFP	ROC AUC	0.66159
Mono	IC	Card	3	XGBClassifier	ECFP	ROC AUC	0.50734
Mono	IC	Card	2	XGBClassifier	ECFP	ROC AUC	0.6722
Mono	IC	Card	0	XGBClassifier	ECFP	ROC AUC	0.57417
Primary	IC	Card	1	XGBClassifier	ECFP	ROC AUC	0.58411
Primary	IC	Card	4	XGBClassifier	ECFP	ROC AUC	0.67641
Primary	IC	Card	3	XGBClassifier	ECFP	ROC AUC	0.5086
Primary	IC	Card	2	XGBClassifier	ECFP	ROC AUC	0.69952
Primary	IC	Card	0	XGBClassifier	ECFP	ROC AUC	0.61477
Secondary	IC	Card	1	XGBClassifier	ECFP	ROC AUC	0.59666
Secondary	IC	Card	4	XGBClassifier	ECFP	ROC AUC	0.69154
Secondary	IC	Card	3	XGBClassifier	ECFP	ROC AUC	0.49377
Secondary	IC	Card	2	XGBClassifier	ECFP	ROC AUC	0.6669
Secondary	IC	Card	0	XGBClassifier	ECFP	ROC AUC	0.58713
