Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Card	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.54269
Mono	PRR	Card	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.60045
Mono	PRR	Card	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.60269
Mono	PRR	Card	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.57207
Mono	PRR	Card	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.50323
Primary	PRR	Card	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.56848
Primary	PRR	Card	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.60877
Primary	PRR	Card	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.55621
Primary	PRR	Card	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.67089
Primary	PRR	Card	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.56711
Secondary	PRR	Card	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.59213
Secondary	PRR	Card	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.56839
Secondary	PRR	Card	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.54544
Secondary	PRR	Card	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.61849
Secondary	PRR	Card	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.57412
Mono	PRR	Card	1	RandomForestClassifier	ECFP	GeomRS	0.51744
Mono	PRR	Card	4	RandomForestClassifier	ECFP	GeomRS	0.5955
Mono	PRR	Card	3	RandomForestClassifier	ECFP	GeomRS	0.56381
Mono	PRR	Card	2	RandomForestClassifier	ECFP	GeomRS	0.56088
Mono	PRR	Card	0	RandomForestClassifier	ECFP	GeomRS	0.46469
Primary	PRR	Card	1	RandomForestClassifier	ECFP	GeomRS	0.55817
Primary	PRR	Card	4	RandomForestClassifier	ECFP	GeomRS	0.60778
Primary	PRR	Card	3	RandomForestClassifier	ECFP	GeomRS	0.55554
Primary	PRR	Card	2	RandomForestClassifier	ECFP	GeomRS	0.6703
Primary	PRR	Card	0	RandomForestClassifier	ECFP	GeomRS	0.56631
Secondary	PRR	Card	1	RandomForestClassifier	ECFP	GeomRS	0.59193
Secondary	PRR	Card	4	RandomForestClassifier	ECFP	GeomRS	0.51656
Secondary	PRR	Card	3	RandomForestClassifier	ECFP	GeomRS	0.54531
Secondary	PRR	Card	2	RandomForestClassifier	ECFP	GeomRS	0.61534
Secondary	PRR	Card	0	RandomForestClassifier	ECFP	GeomRS	0.56665
Mono	PRR	Card	1	RandomForestClassifier	ECFP	HarmRS	0.49336
Mono	PRR	Card	4	RandomForestClassifier	ECFP	HarmRS	0.59058
Mono	PRR	Card	3	RandomForestClassifier	ECFP	HarmRS	0.52745
Mono	PRR	Card	2	RandomForestClassifier	ECFP	HarmRS	0.5499
Mono	PRR	Card	0	RandomForestClassifier	ECFP	HarmRS	0.42911
Primary	PRR	Card	1	RandomForestClassifier	ECFP	HarmRS	0.54806
Primary	PRR	Card	4	RandomForestClassifier	ECFP	HarmRS	0.6068
Primary	PRR	Card	3	RandomForestClassifier	ECFP	HarmRS	0.55487
Primary	PRR	Card	2	RandomForestClassifier	ECFP	HarmRS	0.66971
Primary	PRR	Card	0	RandomForestClassifier	ECFP	HarmRS	0.56551
Secondary	PRR	Card	1	RandomForestClassifier	ECFP	HarmRS	0.59173
Secondary	PRR	Card	4	RandomForestClassifier	ECFP	HarmRS	0.46946
