Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.5802
Mono	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.60842
Mono	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.56814
Mono	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.592
Mono	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.61669
Primary	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.54552
Primary	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.6311
Primary	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.57446
Primary	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.57422
Primary	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.66571
Secondary	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.56775
Secondary	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.58096
Secondary	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.56826
Secondary	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.58324
Secondary	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.62816
Mono	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.56495
Mono	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.60644
Mono	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.56288
Mono	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.59141
Mono	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.61593
Primary	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.53345
Primary	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.63067
Primary	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.57286
Primary	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.57376
Primary	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.66545
Secondary	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.56703
Secondary	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.57135
Secondary	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.56757
Secondary	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.57642
Secondary	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.62008
Mono	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.55011
Mono	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.60446
Mono	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.55767
Mono	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.59081
Mono	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.61516
Primary	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.52165
Primary	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.63024
Primary	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.57127
Primary	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.5733
Primary	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.66518
Secondary	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.56631
Secondary	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.5619
Secondary	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.56688
Secondary	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.56969
Secondary	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.61211
Mono	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.56024
Mono	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.63959
Mono	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.57986
Mono	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.63473
Mono	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.68899
Primary	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.5357
Primary	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.69934
Primary	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.60754
Primary	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.6195
Primary	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.72735
Secondary	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.64856
Secondary	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.69435
Secondary	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.64158
Secondary	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.68627
Secondary	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.73108
Mono	PRR	Card	1	XGBClassifier	MACCS	ROC AUC	0.60312
Mono	PRR	Card	4	XGBClassifier	MACCS	ROC AUC	0.63564
Mono	PRR	Card	3	XGBClassifier	MACCS	ROC AUC	0.57896
Mono	PRR	Card	0	XGBClassifier	MACCS	ROC AUC	0.62377
Mono	PRR	Card	2	XGBClassifier	MACCS	ROC AUC	0.65118
Primary	PRR	Card	1	XGBClassifier	MACCS	ROC AUC	0.57152
Primary	PRR	Card	4	XGBClassifier	MACCS	ROC AUC	0.65747
Primary	PRR	Card	3	XGBClassifier	MACCS	ROC AUC	0.62231
Primary	PRR	Card	0	XGBClassifier	MACCS	ROC AUC	0.60777
Primary	PRR	Card	2	XGBClassifier	MACCS	ROC AUC	0.70431
Secondary	PRR	Card	1	XGBClassifier	MACCS	ROC AUC	0.60041
Secondary	PRR	Card	4	XGBClassifier	MACCS	ROC AUC	0.63059
Secondary	PRR	Card	3	XGBClassifier	MACCS	ROC AUC	0.59169
Secondary	PRR	Card	0	XGBClassifier	MACCS	ROC AUC	0.61964
Secondary	PRR	Card	2	XGBClassifier	MACCS	ROC AUC	0.67323
Mono	PRR	Card	1	XGBClassifier	MACCS	MCC	0.15613
