Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.54388
Mono	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.56373
Mono	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.5282
Mono	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.56741
Mono	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.53026
Primary	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.53024
Primary	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.51608
Primary	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.52378
Primary	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.64874
Primary	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.58806
Secondary	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.4954
Secondary	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.49701
Secondary	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51943
Secondary	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.52425
Secondary	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.57634
Mono	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.53823
Mono	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.5534
Mono	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.51274
Mono	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.55711
Mono	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.52994
Primary	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.51954
Primary	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.51166
Primary	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.50887
Primary	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.64771
Primary	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.58729
Secondary	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.48244
Secondary	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.49476
Secondary	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.51235
Secondary	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.52293
Secondary	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.5752
Mono	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.53263
Mono	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.54327
Mono	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.49773
Mono	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.547
Mono	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.52962
Primary	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.50905
Primary	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.50728
Primary	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.49437
Primary	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.64669
Primary	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.58653
Secondary	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.46982
Secondary	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.49252
Secondary	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.50536
Secondary	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.52161
Secondary	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.57406
Mono	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.52837
Mono	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.6432
Mono	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.4769
Mono	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.64342
Mono	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.55021
Primary	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.49616
Primary	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.58201
Primary	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.47374
Primary	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.68901
Primary	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.60221
Secondary	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.45281
Secondary	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.55395
Secondary	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.49405
Secondary	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.53212
Secondary	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.5872
Mono	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.57237
Mono	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.59273
Mono	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.52446
Mono	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.60102
Mono	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.53066
Primary	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.5433
Primary	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.48359
Primary	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.52312
Primary	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.67214
Primary	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.59134
Secondary	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.50197
Secondary	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.52469
Secondary	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.47839
Secondary	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.56365
Secondary	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.58135
Mono	ROR	Card	1	LogisticRegression	CDDD	MCC	0.08807
Mono	ROR	Card	4	LogisticRegression	CDDD	MCC	0.12985
