Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.565
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.43884
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51655
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.57851
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.46253
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51313
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.42526
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51573
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.58808
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.49673
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.55647
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.44909
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.4729
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.60423
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53146
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.55791
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.43864
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.50963
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.57699
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.45853
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.51128
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.42235
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.50326
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.58441
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.49167
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.55398
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.42798
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.47162
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.60415
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.53131
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.5509
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.43844
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.5028
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.57548
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.45457
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.50945
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.41947
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.49109
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.58076
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.48667
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.5515
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.40786
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.47034
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.60407
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.53116
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.54451
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.46154
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.49168
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.62558
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.45398
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.51667
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.42273
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.47232
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.64475
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.56428
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.6094
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.38402
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.47615
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.63567
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.55449
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.59359
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.43857
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.54512
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.62359
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.46106
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.5076
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.4051
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.50407
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.62247
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.50077
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	ROC AUC	0.62763
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	ROC AUC	0.40795
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	ROC AUC	0.44142
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	ROC AUC	0.65113
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	ROC AUC	0.55984
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	MCC	0.13081
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	MCC	-0.12134
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	MCC	0.03338
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	MCC	0.15668
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	MCC	-0.07497
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	MCC	0.02615
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	MCC	-0.14921
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	MCC	0.03211
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	MCC	0.17693
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	MCC	-0.00656
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	MCC	0.11293
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	MCC	-0.10531
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	MCC	-0.05407
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	MCC	0.20711
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	MCC	0.06241
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.5543
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.43709
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.50805
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.58359
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	Accuracy	0.45476
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.50792
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.41864
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.50437
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.59605
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	Accuracy	0.50577
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	Accuracy	0.56278
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	Accuracy	0.43094
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	Accuracy	0.4694
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	Accuracy	0.6054
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	Accuracy	0.52984
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	Recall	0.47576
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	Recall	0.42571
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	Recall	0.43227
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	Recall	0.62037
Mono	ROR	Card	0	LogisticRegression	ChemBERTa	Recall	0.40188
Primary	ROR	Card	1	LogisticRegression	ChemBERTa	Recall	0.4697
Primary	ROR	Card	4	LogisticRegression	ChemBERTa	Recall	0.37563
Primary	ROR	Card	3	LogisticRegression	ChemBERTa	Recall	0.40301
Primary	ROR	Card	2	LogisticRegression	ChemBERTa	Recall	0.6537
Primary	ROR	Card	0	LogisticRegression	ChemBERTa	Recall	0.56741
Secondary	ROR	Card	1	LogisticRegression	ChemBERTa	Recall	0.60909
Secondary	ROR	Card	4	LogisticRegression	ChemBERTa	Recall	0.31302
Secondary	ROR	Card	3	LogisticRegression	ChemBERTa	Recall	0.43813
Secondary	ROR	Card	2	LogisticRegression	ChemBERTa	Recall	0.61389
Secondary	ROR	Card	0	LogisticRegression	ChemBERTa	Recall	0.51877
Mono	ROR	Card	1	LogisticRegression	ChemBERTa	Specificity	0.65424
Mono	ROR	Card	4	LogisticRegression	ChemBERTa	Specificity	0.45197
Mono	ROR	Card	3	LogisticRegression	ChemBERTa	Specificity	0.60082
Mono	ROR	Card	2	LogisticRegression	ChemBERTa	Specificity	0.53664
