Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.56875
Mono	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.54951
Mono	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.59824
Mono	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.54367
Mono	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59963
Primary	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.55117
Primary	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.55003
Primary	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.56539
Primary	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.52396
Primary	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.66249
Secondary	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.58432
Secondary	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.55686
Secondary	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.57577
Secondary	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.58069
Secondary	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.63392
Mono	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.50233
Mono	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.54131
Mono	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.55486
Mono	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.51049
Mono	ROR	Card	2	RandomForestClassifier	Klek	GeomRS	0.5916
Primary	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.49712
Primary	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.54844
Primary	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.51186
Primary	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.51015
Primary	ROR	Card	2	RandomForestClassifier	Klek	GeomRS	0.64826
Secondary	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.54958
Secondary	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.55489
Secondary	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.57546
Secondary	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.56409
