Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.58505
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.55541
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.5761
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.52009
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59837
Primary	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.59536
Primary	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.5607
Primary	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.59931
Primary	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.54903
Primary	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.65183
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.58157
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.51934
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.5693
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.53069
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.61398
Mono	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.47456
Mono	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.54611
Mono	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.52859
Mono	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.48836
Mono	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.5698
Primary	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.54269
Primary	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.5605
Primary	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.59387
Primary	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.5442
Primary	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.63328
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.58151
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.49923
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.56775
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.52552
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.61376
Mono	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.38493
Mono	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.53696
Mono	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.48499
Mono	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.45857
Mono	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.54259
Primary	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.49468
Primary	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.5603
Primary	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.58848
Primary	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.53941
Primary	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.61526
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.58144
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.47989
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.5662
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.52041
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.61354
Mono	PRR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.37838
Mono	PRR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.55028
Mono	PRR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.47601
Mono	PRR	Cred	0	RandomForestClassifier	Klek	F1 Score	0.44992
Mono	PRR	Cred	2	RandomForestClassifier	Klek	F1 Score	0.53923
Primary	PRR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.48672
Primary	PRR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.62713
Primary	PRR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.60989
Primary	PRR	Cred	0	RandomForestClassifier	Klek	F1 Score	0.5614
Primary	PRR	Cred	2	RandomForestClassifier	Klek	F1 Score	0.61832
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	F1 Score	0.63542
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	F1 Score	0.65607
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	F1 Score	0.65013
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	F1 Score	0.62932
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	F1 Score	0.67704
Mono	PRR	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.59961
Mono	PRR	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.59928
Mono	PRR	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.57977
Mono	PRR	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.55515
Mono	PRR	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.63139
Primary	PRR	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.60625
Primary	PRR	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.58989
Primary	PRR	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.60759
Primary	PRR	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.6061
Primary	PRR	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.67674
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	ROC AUC	0.61086
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	ROC AUC	0.59455
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	ROC AUC	0.59782
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	ROC AUC	0.57627
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	ROC AUC	0.66559
Mono	PRR	Cred	1	RandomForestClassifier	Klek	MCC	0.21175
Mono	PRR	Cred	4	RandomForestClassifier	Klek	MCC	0.10827
Mono	PRR	Cred	3	RandomForestClassifier	Klek	MCC	0.161
Mono	PRR	Cred	0	RandomForestClassifier	Klek	MCC	0.04133
Mono	PRR	Cred	2	RandomForestClassifier	Klek	MCC	0.19946
Primary	PRR	Cred	1	RandomForestClassifier	Klek	MCC	0.20346
Primary	PRR	Cred	4	RandomForestClassifier	Klek	MCC	0.11705
Primary	PRR	Cred	3	RandomForestClassifier	Klek	MCC	0.19211
Primary	PRR	Cred	0	RandomForestClassifier	Klek	MCC	0.09529
Primary	PRR	Cred	2	RandomForestClassifier	Klek	MCC	0.30029
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	MCC	0.15667
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	MCC	0.03899
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	MCC	0.13429
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	MCC	0.06003
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	MCC	0.22052
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Accuracy	0.48918
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Accuracy	0.52789
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Accuracy	0.51328
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Accuracy	0.473
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Accuracy	0.54919
Primary	PRR	Cred	1	RandomForestClassifier	Klek	Accuracy	0.52677
Primary	PRR	Cred	4	RandomForestClassifier	Klek	Accuracy	0.56474
Primary	PRR	Cred	3	RandomForestClassifier	Klek	Accuracy	0.57722
Primary	PRR	Cred	0	RandomForestClassifier	Klek	Accuracy	0.52989
Primary	PRR	Cred	2	RandomForestClassifier	Klek	Accuracy	0.61027
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Accuracy	0.57916
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Accuracy	0.55827
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Accuracy	0.58082
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Accuracy	0.55014
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Accuracy	0.61838
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Recall	0.24288
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Recall	0.45419
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Recall	0.347
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Recall	0.34122
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Recall	0.41567
Primary	PRR	Cred	1	RandomForestClassifier	Klek	Recall	0.35053
Primary	PRR	Cred	4	RandomForestClassifier	Klek	Recall	0.57557
Primary	PRR	Cred	3	RandomForestClassifier	Klek	Recall	0.51873
Primary	PRR	Cred	0	RandomForestClassifier	Klek	Recall	0.47634
Primary	PRR	Cred	2	RandomForestClassifier	Klek	Recall	0.49744
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Recall	0.57295
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Recall	0.66249
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Recall	0.61131
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Recall	0.60458
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Recall	0.63032
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Specificity	0.92722
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Specificity	0.65663
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Specificity	0.80521
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Specificity	0.69895
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Specificity	0.78107
Primary	PRR	Cred	1	RandomForestClassifier	Klek	Specificity	0.84019
Primary	PRR	Cred	4	RandomForestClassifier	Klek	Specificity	0.54583
Primary	PRR	Cred	3	RandomForestClassifier	Klek	Specificity	0.6799
Primary	PRR	Cred	0	RandomForestClassifier	Klek	Specificity	0.62173
Primary	PRR	Cred	2	RandomForestClassifier	Klek	Specificity	0.80621
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Specificity	0.59019
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Specificity	0.3762
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Specificity	0.5273
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Specificity	0.45681
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Specificity	0.59763
Mono	PRR	Cred	1	RandomForestClassifier	Klek	Precision	0.8558
Mono	PRR	Cred	4	RandomForestClassifier	Klek	Precision	0.69795
Mono	PRR	Cred	3	RandomForestClassifier	Klek	Precision	0.75772
Mono	PRR	Cred	0	RandomForestClassifier	Klek	Precision	0.66027
Mono	PRR	Cred	2	RandomForestClassifier	Klek	Precision	0.7673
Primary	PRR	Cred	1	RandomForestClassifier	Klek	Precision	0.79596
Primary	PRR	Cred	4	RandomForestClassifier	Klek	Precision	0.68885
Primary	PRR	Cred	3	RandomForestClassifier	Klek	Precision	0.73992
Primary	PRR	Cred	0	RandomForestClassifier	Klek	Precision	0.68346
Primary	PRR	Cred	2	RandomForestClassifier	Klek	Precision	0.81678
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Precision	0.71318
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Precision	0.64977
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Precision	0.69422
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Precision	0.65617
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Precision	0.73123
Mono	PRR	Cred	1	RandomForestClassifier	Klek	PRC AUC	0.7569
