Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.54145
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.57039
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53877
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.62274
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.5819
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.56223
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.56408
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.5431
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.63646
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.57545
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.55448
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.55317
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53394
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.6162
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.58289
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.53071
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.56992
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.53866
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.62182
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.58115
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.52708
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.55897
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.53965
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.62864
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.55373
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.55428
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.53757
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.52831
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.60307
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.58239
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.52019
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.56944
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.53855
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.62089
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.5804
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.49412
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.55392
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.53622
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.62091
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.53284
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.55407
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.5224
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.52273
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.59021
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.5819
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.53217
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	F1 Score	0.64074
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	F1 Score	0.59168
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.69366
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	F1 Score	0.65308
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.48786
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	F1 Score	0.66207
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	F1 Score	0.56457
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.73501
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	F1 Score	0.70697
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.62287
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	F1 Score	0.67885
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	F1 Score	0.6365
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.7294
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	F1 Score	0.65111
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	ROC AUC	0.55188
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	ROC AUC	0.60142
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	ROC AUC	0.562
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	ROC AUC	0.66605
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	ROC AUC	0.61953
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	ROC AUC	0.57369
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	ROC AUC	0.60086
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	ROC AUC	0.58063
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	ROC AUC	0.70862
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	ROC AUC	0.63691
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	ROC AUC	0.58375
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	ROC AUC	0.61083
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	ROC AUC	0.5676
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	ROC AUC	0.68802
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	ROC AUC	0.61281
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	MCC	0.08108
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	MCC	0.13596
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	MCC	0.07457
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	MCC	0.23858
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	MCC	0.15886
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	MCC	0.12788
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	MCC	0.12552
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	MCC	0.0833
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	MCC	0.27319
Primary	PRR	Cred	0	RandomForestClassifier	MACCS	MCC	0.1556
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	MCC	0.10478
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	MCC	0.10693
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	MCC	0.06628
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	MCC	0.23589
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	MCC	0.1606
Mono	PRR	Cred	1	RandomForestClassifier	MACCS	Accuracy	0.51139
Mono	PRR	Cred	4	RandomForestClassifier	MACCS	Accuracy	0.57669
Mono	PRR	Cred	3	RandomForestClassifier	MACCS	Accuracy	0.53579
Mono	PRR	Cred	2	RandomForestClassifier	MACCS	Accuracy	0.63189
Mono	PRR	Cred	0	RandomForestClassifier	MACCS	Accuracy	0.58968
Primary	PRR	Cred	1	RandomForestClassifier	MACCS	Accuracy	0.5074
Primary	PRR	Cred	4	RandomForestClassifier	MACCS	Accuracy	0.58466
Primary	PRR	Cred	3	RandomForestClassifier	MACCS	Accuracy	0.52634
Primary	PRR	Cred	2	RandomForestClassifier	MACCS	Accuracy	0.66324
