Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.53221
Mono	PRR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.61777
Mono	PRR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.51646
Mono	PRR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.63631
Mono	PRR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.53331
Primary	PRR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.56828
Primary	PRR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.61127
Primary	PRR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.57851
Primary	PRR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.63409
Primary	PRR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.60596
Secondary	PRR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.56921
Secondary	PRR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.58927
Secondary	PRR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.47371
Secondary	PRR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.62335
Secondary	PRR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.56238
Mono	PRR	Cred	1	XGBClassifier	ECFP	GeomRS	0.50833
Mono	PRR	Cred	4	XGBClassifier	ECFP	GeomRS	0.61663
Mono	PRR	Cred	3	XGBClassifier	ECFP	GeomRS	0.50458
Mono	PRR	Cred	2	XGBClassifier	ECFP	GeomRS	0.63367
Mono	PRR	Cred	0	XGBClassifier	ECFP	GeomRS	0.52968
Primary	PRR	Cred	1	XGBClassifier	ECFP	GeomRS	0.56545
Primary	PRR	Cred	4	XGBClassifier	ECFP	GeomRS	0.61083
Primary	PRR	Cred	3	XGBClassifier	ECFP	GeomRS	0.57359
Primary	PRR	Cred	2	XGBClassifier	ECFP	GeomRS	0.62792
Primary	PRR	Cred	0	XGBClassifier	ECFP	GeomRS	0.60014
Secondary	PRR	Cred	1	XGBClassifier	ECFP	GeomRS	0.56873
Secondary	PRR	Cred	4	XGBClassifier	ECFP	GeomRS	0.57226
Secondary	PRR	Cred	3	XGBClassifier	ECFP	GeomRS	0.47369
Secondary	PRR	Cred	2	XGBClassifier	ECFP	GeomRS	0.62102
Secondary	PRR	Cred	0	XGBClassifier	ECFP	GeomRS	0.5601
Mono	PRR	Cred	1	XGBClassifier	ECFP	HarmRS	0.48551
Mono	PRR	Cred	4	XGBClassifier	ECFP	HarmRS	0.61549
Mono	PRR	Cred	3	XGBClassifier	ECFP	HarmRS	0.49299
Mono	PRR	Cred	2	XGBClassifier	ECFP	HarmRS	0.63104
Mono	PRR	Cred	0	XGBClassifier	ECFP	HarmRS	0.52608
Primary	PRR	Cred	1	XGBClassifier	ECFP	HarmRS	0.56262
Primary	PRR	Cred	4	XGBClassifier	ECFP	HarmRS	0.6104
Primary	PRR	Cred	3	XGBClassifier	ECFP	HarmRS	0.5687
Primary	PRR	Cred	2	XGBClassifier	ECFP	HarmRS	0.62181
Primary	PRR	Cred	0	XGBClassifier	ECFP	HarmRS	0.59437
Secondary	PRR	Cred	1	XGBClassifier	ECFP	HarmRS	0.56825
Secondary	PRR	Cred	4	XGBClassifier	ECFP	HarmRS	0.55574
Secondary	PRR	Cred	3	XGBClassifier	ECFP	HarmRS	0.47367
Secondary	PRR	Cred	2	XGBClassifier	ECFP	HarmRS	0.6187
Secondary	PRR	Cred	0	XGBClassifier	ECFP	HarmRS	0.55783
Mono	PRR	Cred	1	XGBClassifier	ECFP	F1 Score	0.48363
Mono	PRR	Cred	4	XGBClassifier	ECFP	F1 Score	0.65286
Mono	PRR	Cred	3	XGBClassifier	ECFP	F1 Score	0.50196
Mono	PRR	Cred	2	XGBClassifier	ECFP	F1 Score	0.7168
Mono	PRR	Cred	0	XGBClassifier	ECFP	F1 Score	0.6255
Primary	PRR	Cred	1	XGBClassifier	ECFP	F1 Score	0.59401
Primary	PRR	Cred	4	XGBClassifier	ECFP	F1 Score	0.67839
Primary	PRR	Cred	3	XGBClassifier	ECFP	F1 Score	0.59185
Primary	PRR	Cred	2	XGBClassifier	ECFP	F1 Score	0.72821
Primary	PRR	Cred	0	XGBClassifier	ECFP	F1 Score	0.61318
Secondary	PRR	Cred	1	XGBClassifier	ECFP	F1 Score	0.64131
Secondary	PRR	Cred	4	XGBClassifier	ECFP	F1 Score	0.71363
Secondary	PRR	Cred	3	XGBClassifier	ECFP	F1 Score	0.5373
Secondary	PRR	Cred	2	XGBClassifier	ECFP	F1 Score	0.70354
Secondary	PRR	Cred	0	XGBClassifier	ECFP	F1 Score	0.64602
Mono	PRR	Cred	1	XGBClassifier	ECFP	ROC AUC	0.5366
