Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	LogisticRegression	ECFP	Balanced Accuracy	0.54349
Mono	ROR	Cred	4	LogisticRegression	ECFP	Balanced Accuracy	0.51571
Mono	ROR	Cred	3	LogisticRegression	ECFP	Balanced Accuracy	0.45315
Mono	ROR	Cred	0	LogisticRegression	ECFP	Balanced Accuracy	0.54057
Mono	ROR	Cred	2	LogisticRegression	ECFP	Balanced Accuracy	0.60802
Primary	ROR	Cred	1	LogisticRegression	ECFP	Balanced Accuracy	0.5362
Primary	ROR	Cred	4	LogisticRegression	ECFP	Balanced Accuracy	0.6246
Primary	ROR	Cred	3	LogisticRegression	ECFP	Balanced Accuracy	0.43354
Primary	ROR	Cred	0	LogisticRegression	ECFP	Balanced Accuracy	0.61908
Primary	ROR	Cred	2	LogisticRegression	ECFP	Balanced Accuracy	0.59831
Secondary	ROR	Cred	1	LogisticRegression	ECFP	Balanced Accuracy	0.5206
Secondary	ROR	Cred	4	LogisticRegression	ECFP	Balanced Accuracy	0.61829
Secondary	ROR	Cred	3	LogisticRegression	ECFP	Balanced Accuracy	0.46775
Secondary	ROR	Cred	0	LogisticRegression	ECFP	Balanced Accuracy	0.55572
Secondary	ROR	Cred	2	LogisticRegression	ECFP	Balanced Accuracy	0.56337
Mono	ROR	Cred	1	LogisticRegression	ECFP	GeomRS	0.5278
Mono	ROR	Cred	4	LogisticRegression	ECFP	GeomRS	0.51537
Mono	ROR	Cred	3	LogisticRegression	ECFP	GeomRS	0.45315
Mono	ROR	Cred	0	LogisticRegression	ECFP	GeomRS	0.54057
Mono	ROR	Cred	2	LogisticRegression	ECFP	GeomRS	0.608
Primary	ROR	Cred	1	LogisticRegression	ECFP	GeomRS	0.52283
Primary	ROR	Cred	4	LogisticRegression	ECFP	GeomRS	0.62445
Primary	ROR	Cred	3	LogisticRegression	ECFP	GeomRS	0.43263
Primary	ROR	Cred	0	LogisticRegression	ECFP	GeomRS	0.61688
Primary	ROR	Cred	2	LogisticRegression	ECFP	GeomRS	0.59482
Secondary	ROR	Cred	1	LogisticRegression	ECFP	GeomRS	0.51662
Secondary	ROR	Cred	4	LogisticRegression	ECFP	GeomRS	0.61799
Secondary	ROR	Cred	3	LogisticRegression	ECFP	GeomRS	0.46698
Secondary	ROR	Cred	0	LogisticRegression	ECFP	GeomRS	0.55028
Secondary	ROR	Cred	2	LogisticRegression	ECFP	GeomRS	0.56035
Mono	ROR	Cred	1	LogisticRegression	ECFP	HarmRS	0.51257
Mono	ROR	Cred	4	LogisticRegression	ECFP	HarmRS	0.51503
Mono	ROR	Cred	3	LogisticRegression	ECFP	HarmRS	0.45315
Mono	ROR	Cred	0	LogisticRegression	ECFP	HarmRS	0.54057
Mono	ROR	Cred	2	LogisticRegression	ECFP	HarmRS	0.60797
Primary	ROR	Cred	1	LogisticRegression	ECFP	HarmRS	0.5098
Primary	ROR	Cred	4	LogisticRegression	ECFP	HarmRS	0.6243
Primary	ROR	Cred	3	LogisticRegression	ECFP	HarmRS	0.43171
Primary	ROR	Cred	0	LogisticRegression	ECFP	HarmRS	0.61469
Primary	ROR	Cred	2	LogisticRegression	ECFP	HarmRS	0.59136
Secondary	ROR	Cred	1	LogisticRegression	ECFP	HarmRS	0.51268
Secondary	ROR	Cred	4	LogisticRegression	ECFP	HarmRS	0.61769
Secondary	ROR	Cred	3	LogisticRegression	ECFP	HarmRS	0.46622
Secondary	ROR	Cred	0	LogisticRegression	ECFP	HarmRS	0.54489
Secondary	ROR	Cred	2	LogisticRegression	ECFP	HarmRS	0.55735
Mono	ROR	Cred	1	LogisticRegression	ECFP	F1 Score	0.493
Mono	ROR	Cred	4	LogisticRegression	ECFP	F1 Score	0.54783
Mono	ROR	Cred	3	LogisticRegression	ECFP	F1 Score	0.47974
Mono	ROR	Cred	0	LogisticRegression	ECFP	F1 Score	0.56924
Mono	ROR	Cred	2	LogisticRegression	ECFP	F1 Score	0.63588
Primary	ROR	Cred	1	LogisticRegression	ECFP	F1 Score	0.49176
Primary	ROR	Cred	4	LogisticRegression	ECFP	F1 Score	0.63959
Primary	ROR	Cred	3	LogisticRegression	ECFP	F1 Score	0.44244
Primary	ROR	Cred	0	LogisticRegression	ECFP	F1 Score	0.66787
Primary	ROR	Cred	2	LogisticRegression	ECFP	F1 Score	0.59238
Secondary	ROR	Cred	1	LogisticRegression	ECFP	F1 Score	0.50905
Secondary	ROR	Cred	4	LogisticRegression	ECFP	F1 Score	0.64738
Secondary	ROR	Cred	3	LogisticRegression	ECFP	F1 Score	0.47879
Secondary	ROR	Cred	0	LogisticRegression	ECFP	F1 Score	0.5418
Secondary	ROR	Cred	2	LogisticRegression	ECFP	F1 Score	0.55927
Mono	ROR	Cred	1	LogisticRegression	ECFP	ROC AUC	0.56793
Mono	ROR	Cred	4	LogisticRegression	ECFP	ROC AUC	0.59238
Mono	ROR	Cred	3	LogisticRegression	ECFP	ROC AUC	0.45472
Mono	ROR	Cred	0	LogisticRegression	ECFP	ROC AUC	0.57372
Mono	ROR	Cred	2	LogisticRegression	ECFP	ROC AUC	0.63127
Primary	ROR	Cred	1	LogisticRegression	ECFP	ROC AUC	0.5615
Primary	ROR	Cred	4	LogisticRegression	ECFP	ROC AUC	0.63353
Primary	ROR	Cred	3	LogisticRegression	ECFP	ROC AUC	0.42246
Primary	ROR	Cred	0	LogisticRegression	ECFP	ROC AUC	0.68233
Primary	ROR	Cred	2	LogisticRegression	ECFP	ROC AUC	0.62312
