Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.57228
Mono	ROR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54694
Mono	ROR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50504
Mono	ROR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54925
Mono	ROR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.59975
Primary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55125
Primary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51254
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53637
Primary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53207
Primary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.59271
Secondary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56042
Secondary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55232
Secondary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.43347
Secondary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54462
Secondary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.46235
Mono	ROR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.5719
Mono	ROR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.54198
Mono	ROR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.505
Mono	ROR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.53361
Mono	ROR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.58462
Primary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.5436
Primary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.51105
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.51443
Primary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.51524
Primary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.59237
Secondary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.55304
Secondary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.55232
Secondary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.43334
Secondary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.54379
Secondary	ROR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.46218
Mono	ROR	Cred	1	RandomForestClassifier	ChemBERTa	HarmRS	0.57152
Mono	ROR	Cred	4	RandomForestClassifier	ChemBERTa	HarmRS	0.53707
Mono	ROR	Cred	3	RandomForestClassifier	ChemBERTa	HarmRS	0.50497
Mono	ROR	Cred	0	RandomForestClassifier	ChemBERTa	HarmRS	0.51841
Mono	ROR	Cred	2	RandomForestClassifier	ChemBERTa	HarmRS	0.56988
Primary	ROR	Cred	1	RandomForestClassifier	ChemBERTa	HarmRS	0.53605
Primary	ROR	Cred	4	RandomForestClassifier	ChemBERTa	HarmRS	0.50956
Primary	ROR	Cred	3	RandomForestClassifier	ChemBERTa	HarmRS	0.49339
Primary	ROR	Cred	0	RandomForestClassifier	ChemBERTa	HarmRS	0.49894
