Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.56359
Mono	ROR	Cred	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.61389
Mono	ROR	Cred	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.56134
Mono	ROR	Cred	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.56425
Mono	ROR	Cred	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.55279
Primary	ROR	Cred	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.56122
Primary	ROR	Cred	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.59784
Primary	ROR	Cred	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.5989
Primary	ROR	Cred	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.58625
Primary	ROR	Cred	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.56947
Secondary	ROR	Cred	1	RandomForestClassifier	ECFP	Balanced Accuracy	0.54855
Secondary	ROR	Cred	4	RandomForestClassifier	ECFP	Balanced Accuracy	0.60686
Secondary	ROR	Cred	3	RandomForestClassifier	ECFP	Balanced Accuracy	0.5673
Secondary	ROR	Cred	2	RandomForestClassifier	ECFP	Balanced Accuracy	0.62824
Secondary	ROR	Cred	0	RandomForestClassifier	ECFP	Balanced Accuracy	0.58879
Mono	ROR	Cred	1	RandomForestClassifier	ECFP	GeomRS	0.50153
Mono	ROR	Cred	4	RandomForestClassifier	ECFP	GeomRS	0.60267
Mono	ROR	Cred	3	RandomForestClassifier	ECFP	GeomRS	0.52101
Mono	ROR	Cred	2	RandomForestClassifier	ECFP	GeomRS	0.52504
Mono	ROR	Cred	0	RandomForestClassifier	ECFP	GeomRS	0.48856
Primary	ROR	Cred	1	RandomForestClassifier	ECFP	GeomRS	0.49836
Primary	ROR	Cred	4	RandomForestClassifier	ECFP	GeomRS	0.57823
Primary	ROR	Cred	3	RandomForestClassifier	ECFP	GeomRS	0.5537
Primary	ROR	Cred	2	RandomForestClassifier	ECFP	GeomRS	0.54153
Primary	ROR	Cred	0	RandomForestClassifier	ECFP	GeomRS	0.48467
Secondary	ROR	Cred	1	RandomForestClassifier	ECFP	GeomRS	0.51008
Secondary	ROR	Cred	4	RandomForestClassifier	ECFP	GeomRS	0.60671
Secondary	ROR	Cred	3	RandomForestClassifier	ECFP	GeomRS	0.55898
Secondary	ROR	Cred	2	RandomForestClassifier	ECFP	GeomRS	0.60267
Secondary	ROR	Cred	0	RandomForestClassifier	ECFP	GeomRS	0.53968
Mono	ROR	Cred	1	RandomForestClassifier	ECFP	HarmRS	0.4463
Mono	ROR	Cred	4	RandomForestClassifier	ECFP	HarmRS	0.59165
Mono	ROR	Cred	3	RandomForestClassifier	ECFP	HarmRS	0.48359
Mono	ROR	Cred	2	RandomForestClassifier	ECFP	HarmRS	0.48855
Mono	ROR	Cred	0	RandomForestClassifier	ECFP	HarmRS	0.4318
Primary	ROR	Cred	1	RandomForestClassifier	ECFP	HarmRS	0.44253
Primary	ROR	Cred	4	RandomForestClassifier	ECFP	HarmRS	0.55926
Primary	ROR	Cred	3	RandomForestClassifier	ECFP	HarmRS	0.51192
Primary	ROR	Cred	2	RandomForestClassifier	ECFP	HarmRS	0.50022
Primary	ROR	Cred	0	RandomForestClassifier	ECFP	HarmRS	0.4125
Secondary	ROR	Cred	1	RandomForestClassifier	ECFP	HarmRS	0.47432
Secondary	ROR	Cred	4	RandomForestClassifier	ECFP	HarmRS	0.60656
Secondary	ROR	Cred	3	RandomForestClassifier	ECFP	HarmRS	0.55078
Secondary	ROR	Cred	2	RandomForestClassifier	ECFP	HarmRS	0.57814
Secondary	ROR	Cred	0	RandomForestClassifier	ECFP	HarmRS	0.49466
Mono	ROR	Cred	1	RandomForestClassifier	ECFP	F1 Score	0.42219
Mono	ROR	Cred	4	RandomForestClassifier	ECFP	F1 Score	0.57796
Mono	ROR	Cred	3	RandomForestClassifier	ECFP	F1 Score	0.45928
Mono	ROR	Cred	2	RandomForestClassifier	ECFP	F1 Score	0.4644
Mono	ROR	Cred	0	RandomForestClassifier	ECFP	F1 Score	0.40809
Primary	ROR	Cred	1	RandomForestClassifier	ECFP	F1 Score	0.41821
Primary	ROR	Cred	4	RandomForestClassifier	ECFP	F1 Score	0.53951
Primary	ROR	Cred	3	RandomForestClassifier	ECFP	F1 Score	0.49165
Primary	ROR	Cred	2	RandomForestClassifier	ECFP	F1 Score	0.47832
Primary	ROR	Cred	0	RandomForestClassifier	ECFP	F1 Score	0.3939
Secondary	ROR	Cred	1	RandomForestClassifier	ECFP	F1 Score	0.44765
Secondary	ROR	Cred	4	RandomForestClassifier	ECFP	F1 Score	0.62204
Secondary	ROR	Cred	3	RandomForestClassifier	ECFP	F1 Score	0.54173
