Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.57201
Mono	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.6379
Mono	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.60507
Mono	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.61567
Mono	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.58779
Primary	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.60966
Primary	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.62068
Primary	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.55351
Primary	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.632
Primary	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.57108
Secondary	ROR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.55096
Secondary	ROR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.60888
Secondary	ROR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.56164
Secondary	ROR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.61061
Secondary	ROR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.58829
Mono	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.56889
Mono	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.63347
Mono	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.60412
Mono	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.60084
Mono	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.58779
Primary	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.58829
Primary	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.6185
Primary	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.5535
Primary	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.62627
Primary	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.56172
Secondary	ROR	Cred	1	XGBClassifier	CDDD	GeomRS	0.52904
Secondary	ROR	Cred	4	XGBClassifier	CDDD	GeomRS	0.60818
Secondary	ROR	Cred	3	XGBClassifier	CDDD	GeomRS	0.55689
Secondary	ROR	Cred	2	XGBClassifier	CDDD	GeomRS	0.60177
Secondary	ROR	Cred	0	XGBClassifier	CDDD	GeomRS	0.57626
Mono	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.56578
Mono	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.62907
Mono	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.60317
Mono	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.58636
Mono	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.58779
Primary	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.56767
Primary	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.61634
Primary	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.5535
Primary	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.6206
Primary	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.55252
Secondary	ROR	Cred	1	XGBClassifier	CDDD	HarmRS	0.50799
Secondary	ROR	Cred	4	XGBClassifier	CDDD	HarmRS	0.60747
Secondary	ROR	Cred	3	XGBClassifier	CDDD	HarmRS	0.55217
Secondary	ROR	Cred	2	XGBClassifier	CDDD	HarmRS	0.59306
Secondary	ROR	Cred	0	XGBClassifier	CDDD	HarmRS	0.56448
Mono	ROR	Cred	1	XGBClassifier	CDDD	F1 Score	0.56578
Mono	ROR	Cred	4	XGBClassifier	CDDD	F1 Score	0.6252
Mono	ROR	Cred	3	XGBClassifier	CDDD	F1 Score	0.61495
Mono	ROR	Cred	2	XGBClassifier	CDDD	F1 Score	0.69351
Mono	ROR	Cred	0	XGBClassifier	CDDD	F1 Score	0.6148
Primary	ROR	Cred	1	XGBClassifier	CDDD	F1 Score	0.54956
Primary	ROR	Cred	4	XGBClassifier	CDDD	F1 Score	0.61826
Primary	ROR	Cred	3	XGBClassifier	CDDD	F1 Score	0.57912
Primary	ROR	Cred	2	XGBClassifier	CDDD	F1 Score	0.61734
Primary	ROR	Cred	0	XGBClassifier	CDDD	F1 Score	0.54334
Secondary	ROR	Cred	1	XGBClassifier	CDDD	F1 Score	0.4853
Secondary	ROR	Cred	4	XGBClassifier	CDDD	F1 Score	0.61683
Secondary	ROR	Cred	3	XGBClassifier	CDDD	F1 Score	0.54954
Secondary	ROR	Cred	2	XGBClassifier	CDDD	F1 Score	0.67802
Secondary	ROR	Cred	0	XGBClassifier	CDDD	F1 Score	0.55305
Mono	ROR	Cred	1	XGBClassifier	CDDD	ROC AUC	0.57884
Mono	ROR	Cred	4	XGBClassifier	CDDD	ROC AUC	0.68598
Mono	ROR	Cred	3	XGBClassifier	CDDD	ROC AUC	0.62891
Mono	ROR	Cred	2	XGBClassifier	CDDD	ROC AUC	0.68768
Mono	ROR	Cred	0	XGBClassifier	CDDD	ROC AUC	0.62715
Primary	ROR	Cred	1	XGBClassifier	CDDD	ROC AUC	0.63074
Primary	ROR	Cred	4	XGBClassifier	CDDD	ROC AUC	0.65238
