Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.5531
Mono	ROR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.6387
Mono	ROR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.53022
Mono	ROR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.65953
Mono	ROR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.58228
Primary	ROR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.55281
Primary	ROR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.63002
Primary	ROR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.56355
Primary	ROR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.61645
Primary	ROR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.61547
Secondary	ROR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.55364
Secondary	ROR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.64453
Secondary	ROR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.4984
Secondary	ROR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.57897
Secondary	ROR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.62261
Mono	ROR	Cred	1	XGBClassifier	ECFP	GeomRS	0.53381
Mono	ROR	Cred	4	XGBClassifier	ECFP	GeomRS	0.63852
Mono	ROR	Cred	3	XGBClassifier	ECFP	GeomRS	0.53012
Mono	ROR	Cred	2	XGBClassifier	ECFP	GeomRS	0.65767
Mono	ROR	Cred	0	XGBClassifier	ECFP	GeomRS	0.58182
Primary	ROR	Cred	1	XGBClassifier	ECFP	GeomRS	0.54245
Primary	ROR	Cred	4	XGBClassifier	ECFP	GeomRS	0.6253
Primary	ROR	Cred	3	XGBClassifier	ECFP	GeomRS	0.56034
Primary	ROR	Cred	2	XGBClassifier	ECFP	GeomRS	0.6158
Primary	ROR	Cred	0	XGBClassifier	ECFP	GeomRS	0.60383
Secondary	ROR	Cred	1	XGBClassifier	ECFP	GeomRS	0.52762
Secondary	ROR	Cred	4	XGBClassifier	ECFP	GeomRS	0.64447
Secondary	ROR	Cred	3	XGBClassifier	ECFP	GeomRS	0.49076
Secondary	ROR	Cred	2	XGBClassifier	ECFP	GeomRS	0.5782
Secondary	ROR	Cred	0	XGBClassifier	ECFP	GeomRS	0.60147
Mono	ROR	Cred	1	XGBClassifier	ECFP	HarmRS	0.51518
Mono	ROR	Cred	4	XGBClassifier	ECFP	HarmRS	0.63835
Mono	ROR	Cred	3	XGBClassifier	ECFP	HarmRS	0.53002
Mono	ROR	Cred	2	XGBClassifier	ECFP	HarmRS	0.65581
Mono	ROR	Cred	0	XGBClassifier	ECFP	HarmRS	0.58136
Primary	ROR	Cred	1	XGBClassifier	ECFP	HarmRS	0.53229
Primary	ROR	Cred	4	XGBClassifier	ECFP	HarmRS	0.62062
Primary	ROR	Cred	3	XGBClassifier	ECFP	HarmRS	0.55715
Primary	ROR	Cred	2	XGBClassifier	ECFP	HarmRS	0.61515
Primary	ROR	Cred	0	XGBClassifier	ECFP	HarmRS	0.59242
Secondary	ROR	Cred	1	XGBClassifier	ECFP	HarmRS	0.50282
Secondary	ROR	Cred	4	XGBClassifier	ECFP	HarmRS	0.64442
Secondary	ROR	Cred	3	XGBClassifier	ECFP	HarmRS	0.48323
Secondary	ROR	Cred	2	XGBClassifier	ECFP	HarmRS	0.57743
Secondary	ROR	Cred	0	XGBClassifier	ECFP	HarmRS	0.58105
Mono	ROR	Cred	1	XGBClassifier	ECFP	F1 Score	0.49391
Mono	ROR	Cred	4	XGBClassifier	ECFP	F1 Score	0.65296
Mono	ROR	Cred	3	XGBClassifier	ECFP	F1 Score	0.55182
