Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.50845
Mono	IC	Cvas	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.47055
Mono	IC	Cvas	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54544
Mono	IC	Cvas	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.57125
Mono	IC	Cvas	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.48072
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51267
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.47714
Primary	IC	Cvas	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.58089
Primary	IC	Cvas	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51101
Primary	IC	Cvas	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.49531
Secondary	IC	Cvas	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54724
Secondary	IC	Cvas	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.4907
Secondary	IC	Cvas	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.49666
Secondary	IC	Cvas	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51992
Secondary	IC	Cvas	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.50967
Mono	IC	Cvas	1	LogisticRegression	ChemBERTa	GeomRS	0.50389
Mono	IC	Cvas	4	LogisticRegression	ChemBERTa	GeomRS	0.46864
Mono	IC	Cvas	3	LogisticRegression	ChemBERTa	GeomRS	0.54432
Mono	IC	Cvas	2	LogisticRegression	ChemBERTa	GeomRS	0.53219
Mono	IC	Cvas	0	LogisticRegression	ChemBERTa	GeomRS	0.4632
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	GeomRS	0.50997
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	GeomRS	0.46996
Primary	IC	Cvas	3	LogisticRegression	ChemBERTa	GeomRS	0.57458
Primary	IC	Cvas	2	LogisticRegression	ChemBERTa	GeomRS	0.4846
Primary	IC	Cvas	0	LogisticRegression	ChemBERTa	GeomRS	0.45806
Secondary	IC	Cvas	1	LogisticRegression	ChemBERTa	GeomRS	0.53894
Secondary	IC	Cvas	4	LogisticRegression	ChemBERTa	GeomRS	0.4867
Secondary	IC	Cvas	3	LogisticRegression	ChemBERTa	GeomRS	0.47759
Secondary	IC	Cvas	2	LogisticRegression	ChemBERTa	GeomRS	0.49018
Secondary	IC	Cvas	0	LogisticRegression	ChemBERTa	GeomRS	0.45736
Mono	IC	Cvas	1	LogisticRegression	ChemBERTa	HarmRS	0.49938
Mono	IC	Cvas	4	LogisticRegression	ChemBERTa	HarmRS	0.46673
Mono	IC	Cvas	3	LogisticRegression	ChemBERTa	HarmRS	0.5432
Mono	IC	Cvas	2	LogisticRegression	ChemBERTa	HarmRS	0.49579
Mono	IC	Cvas	0	LogisticRegression	ChemBERTa	HarmRS	0.44631
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	HarmRS	0.50729
