Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.46634
Mono	IC	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.56491
Mono	IC	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.53522
Mono	IC	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.48856
Mono	IC	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.53755
Primary	IC	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.51921
Primary	IC	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.55024
Primary	IC	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.55131
Primary	IC	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.52212
Primary	IC	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.53384
Secondary	IC	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.52106
Secondary	IC	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.53739
Secondary	IC	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.53479
Secondary	IC	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.50643
Secondary	IC	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.50653
Mono	IC	Cvas	1	LogisticRegression	MACCS	GeomRS	0.42018
Mono	IC	Cvas	4	LogisticRegression	MACCS	GeomRS	0.53308
Mono	IC	Cvas	3	LogisticRegression	MACCS	GeomRS	0.4814
Mono	IC	Cvas	0	LogisticRegression	MACCS	GeomRS	0.43263
Mono	IC	Cvas	2	LogisticRegression	MACCS	GeomRS	0.46714
Primary	IC	Cvas	1	LogisticRegression	MACCS	GeomRS	0.4969
Primary	IC	Cvas	4	LogisticRegression	MACCS	GeomRS	0.49504
Primary	IC	Cvas	3	LogisticRegression	MACCS	GeomRS	0.51718
Primary	IC	Cvas	0	LogisticRegression	MACCS	GeomRS	0.44991
Primary	IC	Cvas	2	LogisticRegression	MACCS	GeomRS	0.48475
Secondary	IC	Cvas	1	LogisticRegression	MACCS	GeomRS	0.43656
Secondary	IC	Cvas	4	LogisticRegression	MACCS	GeomRS	0.42127
