Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51478
Mono	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55901
Mono	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5591
Mono	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53559
Mono	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53789
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52877
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55741
Primary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.57611
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.57987
Primary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50787
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50934
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53154
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51956
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52788
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52048
Mono	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.49511
Mono	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49803
Mono	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.46961
Mono	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.48451
Mono	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.48833
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.51445
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49452
Primary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.5355
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.53422
Primary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.3711
