Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.51445
Mono	IC	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.59961
Mono	IC	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.5585
Mono	IC	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.56121
Mono	IC	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.56685
Primary	IC	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.53973
Primary	IC	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.59728
Primary	IC	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.59862
Primary	IC	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.60105
Primary	IC	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.60907
Secondary	IC	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.55788
Secondary	IC	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.56473
Secondary	IC	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.55609
Secondary	IC	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.5583
Secondary	IC	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.58005
Mono	IC	Cvas	1	XGBClassifier	MACCS	GeomRS	0.49632
Mono	IC	Cvas	4	XGBClassifier	MACCS	GeomRS	0.55907
Mono	IC	Cvas	3	XGBClassifier	MACCS	GeomRS	0.51581
Mono	IC	Cvas	0	XGBClassifier	MACCS	GeomRS	0.52592
Mono	IC	Cvas	2	XGBClassifier	MACCS	GeomRS	0.51888
Primary	IC	Cvas	1	XGBClassifier	MACCS	GeomRS	0.51879
Primary	IC	Cvas	4	XGBClassifier	MACCS	GeomRS	0.56499
Primary	IC	Cvas	3	XGBClassifier	MACCS	GeomRS	0.57241
Primary	IC	Cvas	0	XGBClassifier	MACCS	GeomRS	0.55243
Primary	IC	Cvas	2	XGBClassifier	MACCS	GeomRS	0.58201
Secondary	IC	Cvas	1	XGBClassifier	MACCS	GeomRS	0.51731
Secondary	IC	Cvas	4	XGBClassifier	MACCS	GeomRS	0.48273
Secondary	IC	Cvas	3	XGBClassifier	MACCS	GeomRS	0.49883
Secondary	IC	Cvas	0	XGBClassifier	MACCS	GeomRS	0.45834
Secondary	IC	Cvas	2	XGBClassifier	MACCS	GeomRS	0.51227
Mono	IC	Cvas	1	XGBClassifier	MACCS	HarmRS	0.47883
Mono	IC	Cvas	4	XGBClassifier	MACCS	HarmRS	0.52127
Mono	IC	Cvas	3	XGBClassifier	MACCS	HarmRS	0.47638
Mono	IC	Cvas	0	XGBClassifier	MACCS	HarmRS	0.49285
Mono	IC	Cvas	2	XGBClassifier	MACCS	HarmRS	0.47497
Primary	IC	Cvas	1	XGBClassifier	MACCS	HarmRS	0.49866
Primary	IC	Cvas	4	XGBClassifier	MACCS	HarmRS	0.53444
Primary	IC	Cvas	3	XGBClassifier	MACCS	HarmRS	0.54735
Primary	IC	Cvas	0	XGBClassifier	MACCS	HarmRS	0.50775
Primary	IC	Cvas	2	XGBClassifier	MACCS	HarmRS	0.55615
Secondary	IC	Cvas	1	XGBClassifier	MACCS	HarmRS	0.47969
Secondary	IC	Cvas	4	XGBClassifier	MACCS	HarmRS	0.41263
Secondary	IC	Cvas	3	XGBClassifier	MACCS	HarmRS	0.44746
Secondary	IC	Cvas	0	XGBClassifier	MACCS	HarmRS	0.37628
Secondary	IC	Cvas	2	XGBClassifier	MACCS	HarmRS	0.45241
Mono	IC	Cvas	1	XGBClassifier	MACCS	F1 Score	0.67377
Mono	IC	Cvas	4	XGBClassifier	MACCS	F1 Score	0.74987
Mono	IC	Cvas	3	XGBClassifier	MACCS	F1 Score	0.71692
Mono	IC	Cvas	0	XGBClassifier	MACCS	F1 Score	0.72486
Mono	IC	Cvas	2	XGBClassifier	MACCS	F1 Score	0.73194
Primary	IC	Cvas	1	XGBClassifier	MACCS	F1 Score	0.7018
Primary	IC	Cvas	4	XGBClassifier	MACCS	F1 Score	0.73931
Primary	IC	Cvas	3	XGBClassifier	MACCS	F1 Score	0.73331
Primary	IC	Cvas	0	XGBClassifier	MACCS	F1 Score	0.77214
Primary	IC	Cvas	2	XGBClassifier	MACCS	F1 Score	0.74601
Secondary	IC	Cvas	1	XGBClassifier	MACCS	F1 Score	0.74465
Secondary	IC	Cvas	4	XGBClassifier	MACCS	F1 Score	0.7512
Secondary	IC	Cvas	3	XGBClassifier	MACCS	F1 Score	0.72747
Secondary	IC	Cvas	0	XGBClassifier	MACCS	F1 Score	0.77118
Secondary	IC	Cvas	2	XGBClassifier	MACCS	F1 Score	0.75844
Mono	IC	Cvas	1	XGBClassifier	MACCS	ROC AUC	0.53904
