Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.50697
Mono	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.59132
Mono	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.48383
Mono	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.51051
Mono	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.51048
Primary	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.52004
Primary	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.5801
Primary	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.54437
Primary	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.57219
Primary	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.53001
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.50783
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.59349
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.5083
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.56671
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.59064
Mono	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.50675
Mono	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.58754
Mono	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.47688
Mono	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.5077
Mono	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.49984
Primary	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.51385
Primary	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.57674
Primary	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.53787
Primary	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.57126
Primary	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.51522
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.50737
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.59003
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.50637
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.56544
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.58529
Mono	PRR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.50654
Mono	PRR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.58379
Mono	PRR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.47003
Mono	PRR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.50491
Mono	PRR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.48943
Primary	PRR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.50774
Primary	PRR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.57339
Primary	PRR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.53144
Primary	PRR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.57033
Primary	PRR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.50085
Secondary	PRR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.50691
Secondary	PRR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.5866
Secondary	PRR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.50445
Secondary	PRR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.56416
Secondary	PRR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.58
Mono	PRR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.57674
Mono	PRR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.67975
Mono	PRR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.4857
Mono	PRR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.54247
