Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	0	LogisticRegression	Morgan	Balanced Accuracy	0.58429
Primary	PRR	Card	1	LogisticRegression	Morgan	Balanced Accuracy	0.58073
Primary	PRR	Card	2	LogisticRegression	Morgan	Balanced Accuracy	0.6051
Primary	PRR	Card	3	LogisticRegression	Morgan	Balanced Accuracy	0.52426
Primary	PRR	Card	4	LogisticRegression	Morgan	Balanced Accuracy	0.57216
Secondary	PRR	Card	0	LogisticRegression	Morgan	Balanced Accuracy	0.57821
Secondary	PRR	Card	1	LogisticRegression	Morgan	Balanced Accuracy	0.58084
Secondary	PRR	Card	2	LogisticRegression	Morgan	Balanced Accuracy	0.55921
Secondary	PRR	Card	3	LogisticRegression	Morgan	Balanced Accuracy	0.55322
Secondary	PRR	Card	4	LogisticRegression	Morgan	Balanced Accuracy	0.55152
Primary	PRR	Card	0	LogisticRegression	Morgan	GeomRS	0.57658
Primary	PRR	Card	1	LogisticRegression	Morgan	GeomRS	0.56629
Primary	PRR	Card	2	LogisticRegression	Morgan	GeomRS	0.59667
Primary	PRR	Card	3	LogisticRegression	Morgan	GeomRS	0.52425
Primary	PRR	Card	4	LogisticRegression	Morgan	GeomRS	0.5719
Secondary	PRR	Card	0	LogisticRegression	Morgan	GeomRS	0.56015
Secondary	PRR	Card	1	LogisticRegression	Morgan	GeomRS	0.57099
Secondary	PRR	Card	2	LogisticRegression	Morgan	GeomRS	0.55873
Secondary	PRR	Card	3	LogisticRegression	Morgan	GeomRS	0.54996
Secondary	PRR	Card	4	LogisticRegression	Morgan	GeomRS	0.54149
Primary	PRR	Card	0	LogisticRegression	Morgan	HarmRS	0.56896
Primary	PRR	Card	1	LogisticRegression	Morgan	HarmRS	0.5522
Primary	PRR	Card	2	LogisticRegression	Morgan	HarmRS	0.58835
Primary	PRR	Card	3	LogisticRegression	Morgan	HarmRS	0.52424
Primary	PRR	Card	4	LogisticRegression	Morgan	HarmRS	0.57164
Secondary	PRR	Card	0	LogisticRegression	Morgan	HarmRS	0.54266
Secondary	PRR	Card	1	LogisticRegression	Morgan	HarmRS	0.56131
Secondary	PRR	Card	2	LogisticRegression	Morgan	HarmRS	0.55825
Secondary	PRR	Card	3	LogisticRegression	Morgan	HarmRS	0.54671
Secondary	PRR	Card	4	LogisticRegression	Morgan	HarmRS	0.53165
Primary	PRR	Card	0	LogisticRegression	Morgan	F1 Score	0.64592
Primary	PRR	Card	1	LogisticRegression	Morgan	F1 Score	0.5553
Primary	PRR	Card	2	LogisticRegression	Morgan	F1 Score	0.60504
Primary	PRR	Card	3	LogisticRegression	Morgan	F1 Score	0.56749
Primary	PRR	Card	4	LogisticRegression	Morgan	F1 Score	0.60108
Secondary	PRR	Card	0	LogisticRegression	Morgan	F1 Score	0.65889
Secondary	PRR	Card	1	LogisticRegression	Morgan	F1 Score	0.57021
Secondary	PRR	Card	2	LogisticRegression	Morgan	F1 Score	0.60655
Secondary	PRR	Card	3	LogisticRegression	Morgan	F1 Score	0.62832
Secondary	PRR	Card	4	LogisticRegression	Morgan	F1 Score	0.64048
Primary	PRR	Card	0	LogisticRegression	Morgan	ROC AUC	0.62569
Primary	PRR	Card	1	LogisticRegression	Morgan	ROC AUC	0.6094
Primary	PRR	Card	2	LogisticRegression	Morgan	ROC AUC	0.65878
Primary	PRR	Card	3	LogisticRegression	Morgan	ROC AUC	0.55071
Primary	PRR	Card	4	LogisticRegression	Morgan	ROC AUC	0.61285
Secondary	PRR	Card	0	LogisticRegression	Morgan	ROC AUC	0.6264
Secondary	PRR	Card	1	LogisticRegression	Morgan	ROC AUC	0.61385
Secondary	PRR	Card	2	LogisticRegression	Morgan	ROC AUC	0.59518
Secondary	PRR	Card	3	LogisticRegression	Morgan	ROC AUC	0.57617
Secondary	PRR	Card	4	LogisticRegression	Morgan	ROC AUC	0.58555
Primary	PRR	Card	0	LogisticRegression	Morgan	MCC	0.17148
Primary	PRR	Card	1	LogisticRegression	Morgan	MCC	0.16037
Primary	PRR	Card	2	LogisticRegression	Morgan	MCC	0.20339
Primary	PRR	Card	3	LogisticRegression	Morgan	MCC	0.04754
Primary	PRR	Card	4	LogisticRegression	Morgan	MCC	0.14224
Secondary	PRR	Card	0	LogisticRegression	Morgan	MCC	0.16333
Secondary	PRR	Card	1	LogisticRegression	Morgan	MCC	0.15913
Secondary	PRR	Card	2	LogisticRegression	Morgan	MCC	0.11345
Secondary	PRR	Card	3	LogisticRegression	Morgan	MCC	0.10538
Secondary	PRR	Card	4	LogisticRegression	Morgan	MCC	0.10426
Primary	PRR	Card	0	LogisticRegression	Morgan	Accuracy	0.59312
Primary	PRR	Card	1	LogisticRegression	Morgan	Accuracy	0.54912
Primary	PRR	Card	2	LogisticRegression	Morgan	Accuracy	0.57622
Primary	PRR	Card	3	LogisticRegression	Morgan	Accuracy	0.52368
Primary	PRR	Card	4	LogisticRegression	Morgan	Accuracy	0.56925
Secondary	PRR	Card	0	LogisticRegression	Morgan	Accuracy	0.59159
Secondary	PRR	Card	1	LogisticRegression	Morgan	Accuracy	0.55468
Secondary	PRR	Card	2	LogisticRegression	Morgan	Accuracy	0.55255
Secondary	PRR	Card	3	LogisticRegression	Morgan	Accuracy	0.56515
Secondary	PRR	Card	4	LogisticRegression	Morgan	Accuracy	0.56925
Primary	PRR	Card	0	LogisticRegression	Morgan	Recall	0.67891
Primary	PRR	Card	1	LogisticRegression	Morgan	Recall	0.45201
Primary	PRR	Card	2	LogisticRegression	Morgan	Recall	0.50444
Primary	PRR	Card	3	LogisticRegression	Morgan	Recall	0.52136
Primary	PRR	Card	4	LogisticRegression	Morgan	Recall	0.555
Secondary	PRR	Card	0	LogisticRegression	Morgan	Recall	0.72158
Secondary	PRR	Card	1	LogisticRegression	Morgan	Recall	0.47433
Secondary	PRR	Card	2	LogisticRegression	Morgan	Recall	0.53601
Secondary	PRR	Card	3	LogisticRegression	Morgan	Recall	0.61323
Secondary	PRR	Card	4	LogisticRegression	Morgan	Recall	0.65619
Primary	PRR	Card	0	LogisticRegression	Morgan	Specificity	0.48967
Primary	PRR	Card	1	LogisticRegression	Morgan	Specificity	0.70946
Primary	PRR	Card	2	LogisticRegression	Morgan	Specificity	0.70575
Primary	PRR	Card	3	LogisticRegression	Morgan	Specificity	0.52715
Primary	PRR	Card	4	LogisticRegression	Morgan	Specificity	0.58931
Secondary	PRR	Card	0	LogisticRegression	Morgan	Specificity	0.43484
