Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.53758
Primary	PRR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.55747
Primary	PRR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.55199
Primary	PRR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.57162
Primary	PRR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.59855
Secondary	PRR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.62784
Secondary	PRR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.55716
Secondary	PRR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.55005
Secondary	PRR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.57097
Secondary	PRR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.6088
Primary	PRR	Card	0	LogisticRegression	RDKit	GeomRS	0.53541
Primary	PRR	Card	1	LogisticRegression	RDKit	GeomRS	0.54545
Primary	PRR	Card	2	LogisticRegression	RDKit	GeomRS	0.55039
Primary	PRR	Card	3	LogisticRegression	RDKit	GeomRS	0.564
Primary	PRR	Card	4	LogisticRegression	RDKit	GeomRS	0.5984
Secondary	PRR	Card	0	LogisticRegression	RDKit	GeomRS	0.62682
Secondary	PRR	Card	1	LogisticRegression	RDKit	GeomRS	0.5537
Secondary	PRR	Card	2	LogisticRegression	RDKit	GeomRS	0.54986
Secondary	PRR	Card	3	LogisticRegression	RDKit	GeomRS	0.56509
Secondary	PRR	Card	4	LogisticRegression	RDKit	GeomRS	0.60055
Primary	PRR	Card	0	LogisticRegression	RDKit	HarmRS	0.53325
Primary	PRR	Card	1	LogisticRegression	RDKit	HarmRS	0.53369
Primary	PRR	Card	2	LogisticRegression	RDKit	HarmRS	0.54879
Primary	PRR	Card	3	LogisticRegression	RDKit	HarmRS	0.55649
Primary	PRR	Card	4	LogisticRegression	RDKit	HarmRS	0.59825
Secondary	PRR	Card	0	LogisticRegression	RDKit	HarmRS	0.62581
Secondary	PRR	Card	1	LogisticRegression	RDKit	HarmRS	0.55026
Secondary	PRR	Card	2	LogisticRegression	RDKit	HarmRS	0.54966
Secondary	PRR	Card	3	LogisticRegression	RDKit	HarmRS	0.55927
