Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.59826
Primary	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.58931
Primary	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.54731
Primary	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.5527
Primary	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.53691
Secondary	ROR	Card	2	RandomForestClassifier	Klek	Balanced Accuracy	0.58715
Secondary	ROR	Card	0	RandomForestClassifier	Klek	Balanced Accuracy	0.60256
Secondary	ROR	Card	1	RandomForestClassifier	Klek	Balanced Accuracy	0.54074
Secondary	ROR	Card	4	RandomForestClassifier	Klek	Balanced Accuracy	0.56476
Secondary	ROR	Card	3	RandomForestClassifier	Klek	Balanced Accuracy	0.53861
Primary	ROR	Card	2	RandomForestClassifier	Klek	GeomRS	0.579
Primary	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.58846
Primary	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.51569
Primary	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.54102
Primary	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.50116
Secondary	ROR	Card	2	RandomForestClassifier	Klek	GeomRS	0.56723
Secondary	ROR	Card	0	RandomForestClassifier	Klek	GeomRS	0.49045
Secondary	ROR	Card	1	RandomForestClassifier	Klek	GeomRS	0.51829
Secondary	ROR	Card	4	RandomForestClassifier	Klek	GeomRS	0.56124
Secondary	ROR	Card	3	RandomForestClassifier	Klek	GeomRS	0.52156
Primary	ROR	Card	2	RandomForestClassifier	Klek	HarmRS	0.56035
Primary	ROR	Card	0	RandomForestClassifier	Klek	HarmRS	0.58762
Primary	ROR	Card	1	RandomForestClassifier	Klek	HarmRS	0.48591
Primary	ROR	Card	4	RandomForestClassifier	Klek	HarmRS	0.5296
Primary	ROR	Card	3	RandomForestClassifier	Klek	HarmRS	0.46779
Secondary	ROR	Card	2	RandomForestClassifier	Klek	HarmRS	0.54799
Secondary	ROR	Card	0	RandomForestClassifier	Klek	HarmRS	0.39921
Secondary	ROR	Card	1	RandomForestClassifier	Klek	HarmRS	0.49677
Secondary	ROR	Card	4	RandomForestClassifier	Klek	HarmRS	0.55775
Secondary	ROR	Card	3	RandomForestClassifier	Klek	HarmRS	0.50506
Primary	ROR	Card	2	RandomForestClassifier	Klek	F1 Score	0.55077
Primary	ROR	Card	0	RandomForestClassifier	Klek	F1 Score	0.56729
Primary	ROR	Card	1	RandomForestClassifier	Klek	F1 Score	0.46264
Primary	ROR	Card	4	RandomForestClassifier	Klek	F1 Score	0.50337
Primary	ROR	Card	3	RandomForestClassifier	Klek	F1 Score	0.43694
Secondary	ROR	Card	2	RandomForestClassifier	Klek	F1 Score	0.53748
Secondary	ROR	Card	0	RandomForestClassifier	Klek	F1 Score	0.38741
Secondary	ROR	Card	1	RandomForestClassifier	Klek	F1 Score	0.47609
Secondary	ROR	Card	4	RandomForestClassifier	Klek	F1 Score	0.54425
Secondary	ROR	Card	3	RandomForestClassifier	Klek	F1 Score	0.47998
Primary	ROR	Card	2	RandomForestClassifier	Klek	ROC AUC	0.62295
Primary	ROR	Card	0	RandomForestClassifier	Klek	ROC AUC	0.61412
Primary	ROR	Card	1	RandomForestClassifier	Klek	ROC AUC	0.57747
Primary	ROR	Card	4	RandomForestClassifier	Klek	ROC AUC	0.58055
Primary	ROR	Card	3	RandomForestClassifier	Klek	ROC AUC	0.57491
Secondary	ROR	Card	2	RandomForestClassifier	Klek	ROC AUC	0.62751
Secondary	ROR	Card	0	RandomForestClassifier	Klek	ROC AUC	0.62471
Secondary	ROR	Card	1	RandomForestClassifier	Klek	ROC AUC	0.56505
Secondary	ROR	Card	4	RandomForestClassifier	Klek	ROC AUC	0.58134
Secondary	ROR	Card	3	RandomForestClassifier	Klek	ROC AUC	0.56373
Primary	ROR	Card	2	RandomForestClassifier	Klek	MCC	0.20098
Primary	ROR	Card	0	RandomForestClassifier	Klek	MCC	0.17892
Primary	ROR	Card	1	RandomForestClassifier	Klek	MCC	0.1004
Primary	ROR	Card	4	RandomForestClassifier	Klek	MCC	0.10798
Primary	ROR	Card	3	RandomForestClassifier	Klek	MCC	0.07954
Secondary	ROR	Card	2	RandomForestClassifier	Klek	MCC	0.17854
