Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.59216
Primary	ROR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.60507
Primary	ROR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.56352
Primary	ROR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.56646
Primary	ROR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.58281
Secondary	ROR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.59964
Secondary	ROR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.5756
Secondary	ROR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.55503
Secondary	ROR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.54424
Secondary	ROR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.58329
Primary	ROR	Card	0	XGBClassifier	MACCS	GeomRS	0.59147
Primary	ROR	Card	2	XGBClassifier	MACCS	GeomRS	0.58186
Primary	ROR	Card	1	XGBClassifier	MACCS	GeomRS	0.55382
Primary	ROR	Card	3	XGBClassifier	MACCS	GeomRS	0.53081
Primary	ROR	Card	4	XGBClassifier	MACCS	GeomRS	0.57003
Secondary	ROR	Card	0	XGBClassifier	MACCS	GeomRS	0.5905
Secondary	ROR	Card	2	XGBClassifier	MACCS	GeomRS	0.56811
Secondary	ROR	Card	1	XGBClassifier	MACCS	GeomRS	0.54818
Secondary	ROR	Card	3	XGBClassifier	MACCS	GeomRS	0.52614
Secondary	ROR	Card	4	XGBClassifier	MACCS	GeomRS	0.57664
Primary	ROR	Card	0	XGBClassifier	MACCS	HarmRS	0.59079
Primary	ROR	Card	2	XGBClassifier	MACCS	HarmRS	0.55954
Primary	ROR	Card	1	XGBClassifier	MACCS	HarmRS	0.54429
Primary	ROR	Card	3	XGBClassifier	MACCS	HarmRS	0.4974
Primary	ROR	Card	4	XGBClassifier	MACCS	HarmRS	0.55754
Secondary	ROR	Card	0	XGBClassifier	MACCS	HarmRS	0.5815
Secondary	ROR	Card	2	XGBClassifier	MACCS	HarmRS	0.56072
Secondary	ROR	Card	1	XGBClassifier	MACCS	HarmRS	0.54142
Secondary	ROR	Card	3	XGBClassifier	MACCS	HarmRS	0.50865
Secondary	ROR	Card	4	XGBClassifier	MACCS	HarmRS	0.57006
Primary	ROR	Card	0	XGBClassifier	MACCS	F1 Score	0.59363
Primary	ROR	Card	2	XGBClassifier	MACCS	F1 Score	0.54842
Primary	ROR	Card	1	XGBClassifier	MACCS	F1 Score	0.53485
Primary	ROR	Card	3	XGBClassifier	MACCS	F1 Score	0.46949
Primary	ROR	Card	4	XGBClassifier	MACCS	F1 Score	0.53243
Secondary	ROR	Card	0	XGBClassifier	MACCS	F1 Score	0.6263
Secondary	ROR	Card	2	XGBClassifier	MACCS	F1 Score	0.56228
Secondary	ROR	Card	1	XGBClassifier	MACCS	F1 Score	0.53602
Secondary	ROR	Card	3	XGBClassifier	MACCS	F1 Score	0.48332
Secondary	ROR	Card	4	XGBClassifier	MACCS	F1 Score	0.55119
Primary	ROR	Card	0	XGBClassifier	MACCS	ROC AUC	0.6316
Primary	ROR	Card	2	XGBClassifier	MACCS	ROC AUC	0.61741
Primary	ROR	Card	1	XGBClassifier	MACCS	ROC AUC	0.58707
Primary	ROR	Card	3	XGBClassifier	MACCS	ROC AUC	0.58703
Primary	ROR	Card	4	XGBClassifier	MACCS	ROC AUC	0.6352
Secondary	ROR	Card	0	XGBClassifier	MACCS	ROC AUC	0.65184
Secondary	ROR	Card	2	XGBClassifier	MACCS	ROC AUC	0.61086
Secondary	ROR	Card	1	XGBClassifier	MACCS	ROC AUC	0.56178
Secondary	ROR	Card	3	XGBClassifier	MACCS	ROC AUC	0.56681
Secondary	ROR	Card	4	XGBClassifier	MACCS	ROC AUC	0.61821
Primary	ROR	Card	0	XGBClassifier	MACCS	MCC	0.18442
Primary	ROR	Card	2	XGBClassifier	MACCS	MCC	0.21678
Primary	ROR	Card	1	XGBClassifier	MACCS	MCC	0.12843
Primary	ROR	Card	3	XGBClassifier	MACCS	MCC	0.14361
Primary	ROR	Card	4	XGBClassifier	MACCS	MCC	0.17026
Secondary	ROR	Card	0	XGBClassifier	MACCS	MCC	0.20329
Secondary	ROR	Card	2	XGBClassifier	MACCS	MCC	0.15092
Secondary	ROR	Card	1	XGBClassifier	MACCS	MCC	0.11062
Secondary	ROR	Card	3	XGBClassifier	MACCS	MCC	0.09165
Secondary	ROR	Card	4	XGBClassifier	MACCS	MCC	0.16884
Primary	ROR	Card	0	XGBClassifier	MACCS	Accuracy	0.59109
Primary	ROR	Card	2	XGBClassifier	MACCS	Accuracy	0.57675
Primary	ROR	Card	1	XGBClassifier	MACCS	Accuracy	0.55051
Primary	ROR	Card	3	XGBClassifier	MACCS	Accuracy	0.55115
Primary	ROR	Card	4	XGBClassifier	MACCS	Accuracy	0.5777
Secondary	ROR	Card	0	XGBClassifier	MACCS	Accuracy	0.59573
Secondary	ROR	Card	2	XGBClassifier	MACCS	Accuracy	0.55981
Secondary	ROR	Card	1	XGBClassifier	MACCS	Accuracy	0.54417
Secondary	ROR	Card	3	XGBClassifier	MACCS	Accuracy	0.53346
Secondary	ROR	Card	4	XGBClassifier	MACCS	Accuracy	0.57959
Primary	ROR	Card	0	XGBClassifier	MACCS	Recall	0.6206
Primary	ROR	Card	2	XGBClassifier	MACCS	Recall	0.43909
Primary	ROR	Card	1	XGBClassifier	MACCS	Recall	0.45944
Primary	ROR	Card	3	XGBClassifier	MACCS	Recall	0.36868
Primary	ROR	Card	4	XGBClassifier	MACCS	Recall	0.46147
Secondary	ROR	Card	0	XGBClassifier	MACCS	Recall	0.70394
Secondary	ROR	Card	2	XGBClassifier	MACCS	Recall	0.48303
