Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.57284
Primary	PRR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.5188
Primary	PRR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.53209
Primary	PRR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.57775
Primary	PRR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.56308
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.58122
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.50842
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.55133
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.58786
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.5711
Primary	PRR	Cred	0	LogisticRegression	MACCS	GeomRS	0.56967
Primary	PRR	Cred	1	LogisticRegression	MACCS	GeomRS	0.51448
Primary	PRR	Cred	2	LogisticRegression	MACCS	GeomRS	0.5183
Primary	PRR	Cred	3	LogisticRegression	MACCS	GeomRS	0.57084
Primary	PRR	Cred	4	LogisticRegression	MACCS	GeomRS	0.55579
Secondary	PRR	Cred	0	LogisticRegression	MACCS	GeomRS	0.57839
Secondary	PRR	Cred	1	LogisticRegression	MACCS	GeomRS	0.50426
Secondary	PRR	Cred	2	LogisticRegression	MACCS	GeomRS	0.54809
Secondary	PRR	Cred	3	LogisticRegression	MACCS	GeomRS	0.58767
Secondary	PRR	Cred	4	LogisticRegression	MACCS	GeomRS	0.571
Primary	PRR	Cred	0	LogisticRegression	MACCS	HarmRS	0.56653
Primary	PRR	Cred	1	LogisticRegression	MACCS	HarmRS	0.51019
Primary	PRR	Cred	2	LogisticRegression	MACCS	HarmRS	0.50486
Primary	PRR	Cred	3	LogisticRegression	MACCS	HarmRS	0.564
Primary	PRR	Cred	4	LogisticRegression	MACCS	HarmRS	0.54859
Secondary	PRR	Cred	0	LogisticRegression	MACCS	HarmRS	0.57557
Secondary	PRR	Cred	1	LogisticRegression	MACCS	HarmRS	0.50014
Secondary	PRR	Cred	2	LogisticRegression	MACCS	HarmRS	0.54487
Secondary	PRR	Cred	3	LogisticRegression	MACCS	HarmRS	0.58749
Secondary	PRR	Cred	4	LogisticRegression	MACCS	HarmRS	0.5709
Primary	PRR	Cred	0	LogisticRegression	MACCS	F1 Score	0.56141
Primary	PRR	Cred	1	LogisticRegression	MACCS	F1 Score	0.52904
Primary	PRR	Cred	2	LogisticRegression	MACCS	F1 Score	0.51148
Primary	PRR	Cred	3	LogisticRegression	MACCS	F1 Score	0.5662
Primary	PRR	Cred	4	LogisticRegression	MACCS	F1 Score	0.54682
Secondary	PRR	Cred	0	LogisticRegression	MACCS	F1 Score	0.62431
Secondary	PRR	Cred	1	LogisticRegression	MACCS	F1 Score	0.51941
Secondary	PRR	Cred	2	LogisticRegression	MACCS	F1 Score	0.57387
Secondary	PRR	Cred	3	LogisticRegression	MACCS	F1 Score	0.61755
Secondary	PRR	Cred	4	LogisticRegression	MACCS	F1 Score	0.61021
Primary	PRR	Cred	0	LogisticRegression	MACCS	ROC AUC	0.5887
Primary	PRR	Cred	1	LogisticRegression	MACCS	ROC AUC	0.53061
Primary	PRR	Cred	2	LogisticRegression	MACCS	ROC AUC	0.53199
Primary	PRR	Cred	3	LogisticRegression	MACCS	ROC AUC	0.59538
Primary	PRR	Cred	4	LogisticRegression	MACCS	ROC AUC	0.59297
Secondary	PRR	Cred	0	LogisticRegression	MACCS	ROC AUC	0.61194
Secondary	PRR	Cred	1	LogisticRegression	MACCS	ROC AUC	0.52879
Secondary	PRR	Cred	2	LogisticRegression	MACCS	ROC AUC	0.57546
Secondary	PRR	Cred	3	LogisticRegression	MACCS	ROC AUC	0.58627
Secondary	PRR	Cred	4	LogisticRegression	MACCS	ROC AUC	0.60063
Primary	PRR	Cred	0	LogisticRegression	MACCS	MCC	0.1461
Primary	PRR	Cred	1	LogisticRegression	MACCS	MCC	0.03683
Primary	PRR	Cred	2	LogisticRegression	MACCS	MCC	0.06333
Primary	PRR	Cred	3	LogisticRegression	MACCS	MCC	0.1551
Primary	PRR	Cred	4	LogisticRegression	MACCS	MCC	0.12641
Secondary	PRR	Cred	0	LogisticRegression	MACCS	MCC	0.16328
Secondary	PRR	Cred	1	LogisticRegression	MACCS	MCC	0.01649
Secondary	PRR	Cred	2	LogisticRegression	MACCS	MCC	0.09915
Secondary	PRR	Cred	3	LogisticRegression	MACCS	MCC	0.17322
Secondary	PRR	Cred	4	LogisticRegression	MACCS	MCC	0.14073
Primary	PRR	Cred	0	LogisticRegression	MACCS	Accuracy	0.56814
Primary	PRR	Cred	1	LogisticRegression	MACCS	Accuracy	0.5031
Primary	PRR	Cred	2	LogisticRegression	MACCS	Accuracy	0.49915
Primary	PRR	Cred	3	LogisticRegression	MACCS	Accuracy	0.56279
Primary	PRR	Cred	4	LogisticRegression	MACCS	Accuracy	0.54955
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Accuracy	0.58571
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Accuracy	0.49318
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Accuracy	0.535
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Accuracy	0.5854
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Accuracy	0.5727
Primary	PRR	Cred	0	LogisticRegression	MACCS	Recall	0.51273
Primary	PRR	Cred	1	LogisticRegression	MACCS	Recall	0.45199
Primary	PRR	Cred	2	LogisticRegression	MACCS	Recall	0.41173
Primary	PRR	Cred	3	LogisticRegression	MACCS	Recall	0.48864
Primary	PRR	Cred	4	LogisticRegression	MACCS	Recall	0.47273
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Recall	0.63858
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Recall	0.44355
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Recall	0.49167
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Recall	0.57323
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Recall	0.5818
Primary	PRR	Cred	0	LogisticRegression	MACCS	Specificity	0.63294
Primary	PRR	Cred	1	LogisticRegression	MACCS	Specificity	0.5856
Primary	PRR	Cred	2	LogisticRegression	MACCS	Specificity	0.65245
Primary	PRR	Cred	3	LogisticRegression	MACCS	Specificity	0.66686
Primary	PRR	Cred	4	LogisticRegression	MACCS	Specificity	0.65343
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Specificity	0.52387
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Specificity	0.57328
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Specificity	0.61098
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Specificity	0.60248
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Specificity	0.56041
Primary	PRR	Cred	0	LogisticRegression	MACCS	Precision	0.6203
Primary	PRR	Cred	1	LogisticRegression	MACCS	Precision	0.63776
Primary	PRR	Cred	2	LogisticRegression	MACCS	Precision	0.67504
Primary	PRR	Cred	3	LogisticRegression	MACCS	Precision	0.67304
Primary	PRR	Cred	4	LogisticRegression	MACCS	Precision	0.64845
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Precision	0.61067
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Precision	0.62656
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Precision	0.68908
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Precision	0.66929
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Precision	0.64154
