Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	0	LogisticRegression	Morgan	Balanced Accuracy	0.60654
Primary	PRR	Cred	1	LogisticRegression	Morgan	Balanced Accuracy	0.55625
Primary	PRR	Cred	2	LogisticRegression	Morgan	Balanced Accuracy	0.61151
Primary	PRR	Cred	3	LogisticRegression	Morgan	Balanced Accuracy	0.53693
Primary	PRR	Cred	4	LogisticRegression	Morgan	Balanced Accuracy	0.57383
Secondary	PRR	Cred	0	LogisticRegression	Morgan	Balanced Accuracy	0.59415
Secondary	PRR	Cred	1	LogisticRegression	Morgan	Balanced Accuracy	0.58579
Secondary	PRR	Cred	2	LogisticRegression	Morgan	Balanced Accuracy	0.57502
Secondary	PRR	Cred	3	LogisticRegression	Morgan	Balanced Accuracy	0.5518
Secondary	PRR	Cred	4	LogisticRegression	Morgan	Balanced Accuracy	0.53858
Primary	PRR	Cred	0	LogisticRegression	Morgan	GeomRS	0.60391
Primary	PRR	Cred	1	LogisticRegression	Morgan	GeomRS	0.54438
Primary	PRR	Cred	2	LogisticRegression	Morgan	GeomRS	0.60358
Primary	PRR	Cred	3	LogisticRegression	Morgan	GeomRS	0.53615
Primary	PRR	Cred	4	LogisticRegression	Morgan	GeomRS	0.56728
Secondary	PRR	Cred	0	LogisticRegression	Morgan	GeomRS	0.58149
Secondary	PRR	Cred	1	LogisticRegression	Morgan	GeomRS	0.5704
Secondary	PRR	Cred	2	LogisticRegression	Morgan	GeomRS	0.57032
Secondary	PRR	Cred	3	LogisticRegression	Morgan	GeomRS	0.5502
Secondary	PRR	Cred	4	LogisticRegression	Morgan	GeomRS	0.53714
Primary	PRR	Cred	0	LogisticRegression	Morgan	HarmRS	0.6013
Primary	PRR	Cred	1	LogisticRegression	Morgan	HarmRS	0.53276
Primary	PRR	Cred	2	LogisticRegression	Morgan	HarmRS	0.59575
Primary	PRR	Cred	3	LogisticRegression	Morgan	HarmRS	0.53537
Primary	PRR	Cred	4	LogisticRegression	Morgan	HarmRS	0.56081
Secondary	PRR	Cred	0	LogisticRegression	Morgan	HarmRS	0.56911
Secondary	PRR	Cred	1	LogisticRegression	Morgan	HarmRS	0.55541
Secondary	PRR	Cred	2	LogisticRegression	Morgan	HarmRS	0.56566
Secondary	PRR	Cred	3	LogisticRegression	Morgan	HarmRS	0.5486
Secondary	PRR	Cred	4	LogisticRegression	Morgan	HarmRS	0.5357
Primary	PRR	Cred	0	LogisticRegression	Morgan	F1 Score	0.64752
Primary	PRR	Cred	1	LogisticRegression	Morgan	F1 Score	0.53698
Primary	PRR	Cred	2	LogisticRegression	Morgan	F1 Score	0.61151
Primary	PRR	Cred	3	LogisticRegression	Morgan	F1 Score	0.55906
Primary	PRR	Cred	4	LogisticRegression	Morgan	F1 Score	0.56068
Secondary	PRR	Cred	0	LogisticRegression	Morgan	F1 Score	0.66079
Secondary	PRR	Cred	1	LogisticRegression	Morgan	F1 Score	0.55632
Secondary	PRR	Cred	2	LogisticRegression	Morgan	F1 Score	0.58943
Secondary	PRR	Cred	3	LogisticRegression	Morgan	F1 Score	0.61122
Secondary	PRR	Cred	4	LogisticRegression	Morgan	F1 Score	0.59333
Primary	PRR	Cred	0	LogisticRegression	Morgan	ROC AUC	0.64167
Primary	PRR	Cred	1	LogisticRegression	Morgan	ROC AUC	0.5709
Primary	PRR	Cred	2	LogisticRegression	Morgan	ROC AUC	0.66569
Primary	PRR	Cred	3	LogisticRegression	Morgan	ROC AUC	0.56123
Primary	PRR	Cred	4	LogisticRegression	Morgan	ROC AUC	0.60647
Secondary	PRR	Cred	0	LogisticRegression	Morgan	ROC AUC	0.64269
Secondary	PRR	Cred	1	LogisticRegression	Morgan	ROC AUC	0.61371
Secondary	PRR	Cred	2	LogisticRegression	Morgan	ROC AUC	0.60392
Secondary	PRR	Cred	3	LogisticRegression	Morgan	ROC AUC	0.57587
