Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.56099
Primary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.5167
Primary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.58486
Primary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.56124
Primary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.54514
Secondary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.56511
Secondary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.51297
Secondary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.56474
Secondary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.54935
Secondary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.5366
Primary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.5455
Primary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.51544
Primary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.57606
Primary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.55947
Primary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51776
Secondary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.5443
Secondary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.50478
Secondary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.53381
Secondary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.53951
Secondary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51426
Primary	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.53043
Primary	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.51418
Primary	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.56738
Primary	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.5577
Primary	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.49175
Secondary	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.52425
Secondary	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.49672
Secondary	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.50458
Secondary	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.52984
Secondary	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.49284
Primary	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.65098
Primary	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.59976
Primary	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.68067
Primary	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.62215
Primary	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.65831
Secondary	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.66279
Secondary	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.62691
Secondary	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.69855
Secondary	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.63862
Secondary	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.64407
Primary	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.56303
