Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56837
Primary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.57597
Primary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53616
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55989
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55372
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52742
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5194
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51891
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52044
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53616
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.56272
Primary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.54289
Primary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.43976
Primary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.52453
Primary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.47012
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.47195
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.36946
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.32944
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.38097
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.36913
Primary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.55714
