Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.59556
Primary	IC	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.55202
Primary	IC	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.5504
Primary	IC	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.54545
Primary	IC	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.56054
Secondary	IC	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.59146
Secondary	IC	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.53489
Secondary	IC	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.58378
Secondary	IC	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.52828
Secondary	IC	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.54138
Primary	IC	Cvas	2	XGBClassifier	Klek	GeomRS	0.57339
Primary	IC	Cvas	1	XGBClassifier	Klek	GeomRS	0.54182
Primary	IC	Cvas	0	XGBClassifier	Klek	GeomRS	0.51115
Primary	IC	Cvas	3	XGBClassifier	Klek	GeomRS	0.50806
Primary	IC	Cvas	4	XGBClassifier	Klek	GeomRS	0.53407
Secondary	IC	Cvas	2	XGBClassifier	Klek	GeomRS	0.54567
Secondary	IC	Cvas	1	XGBClassifier	Klek	GeomRS	0.51132
Secondary	IC	Cvas	0	XGBClassifier	Klek	GeomRS	0.53762
Secondary	IC	Cvas	3	XGBClassifier	Klek	GeomRS	0.47288
Secondary	IC	Cvas	4	XGBClassifier	Klek	GeomRS	0.49936
Primary	IC	Cvas	2	XGBClassifier	Klek	HarmRS	0.55204
Primary	IC	Cvas	1	XGBClassifier	Klek	HarmRS	0.5318
Primary	IC	Cvas	0	XGBClassifier	Klek	HarmRS	0.4747
Primary	IC	Cvas	3	XGBClassifier	Klek	HarmRS	0.47322
Primary	IC	Cvas	4	XGBClassifier	Klek	HarmRS	0.50886
Secondary	IC	Cvas	2	XGBClassifier	Klek	HarmRS	0.50342
Secondary	IC	Cvas	1	XGBClassifier	Klek	HarmRS	0.4888
Secondary	IC	Cvas	0	XGBClassifier	Klek	HarmRS	0.49511
Secondary	IC	Cvas	3	XGBClassifier	Klek	HarmRS	0.42329
Secondary	IC	Cvas	4	XGBClassifier	Klek	HarmRS	0.46059
Primary	IC	Cvas	2	XGBClassifier	Klek	F1 Score	0.71456
Primary	IC	Cvas	1	XGBClassifier	Klek	F1 Score	0.66858
Primary	IC	Cvas	0	XGBClassifier	Klek	F1 Score	0.67004
Primary	IC	Cvas	3	XGBClassifier	Klek	F1 Score	0.67459
Primary	IC	Cvas	4	XGBClassifier	Klek	F1 Score	0.67105
Secondary	IC	Cvas	2	XGBClassifier	Klek	F1 Score	0.73638
Secondary	IC	Cvas	1	XGBClassifier	Klek	F1 Score	0.67837
Secondary	IC	Cvas	0	XGBClassifier	Klek	F1 Score	0.70506
Secondary	IC	Cvas	3	XGBClassifier	Klek	F1 Score	0.67478
Secondary	IC	Cvas	4	XGBClassifier	Klek	F1 Score	0.67001
Primary	IC	Cvas	2	XGBClassifier	Klek	ROC AUC	0.65568
Primary	IC	Cvas	1	XGBClassifier	Klek	ROC AUC	0.58893
Primary	IC	Cvas	0	XGBClassifier	Klek	ROC AUC	0.60303
Primary	IC	Cvas	3	XGBClassifier	Klek	ROC AUC	0.59579
Primary	IC	Cvas	4	XGBClassifier	Klek	ROC AUC	0.62043
