Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.58791
Primary	IC	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.57248
Primary	IC	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.58841
Primary	IC	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.57213
Primary	IC	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.59501
Secondary	IC	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.56797
Secondary	IC	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.54462
Secondary	IC	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.59509
Secondary	IC	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.5233
Secondary	IC	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.56483
Primary	IC	Cvas	0	XGBClassifier	Morgan	GeomRS	0.54405
Primary	IC	Cvas	1	XGBClassifier	Morgan	GeomRS	0.55765
Primary	IC	Cvas	2	XGBClassifier	Morgan	GeomRS	0.56274
Primary	IC	Cvas	3	XGBClassifier	Morgan	GeomRS	0.54049
Primary	IC	Cvas	4	XGBClassifier	Morgan	GeomRS	0.5732
Secondary	IC	Cvas	0	XGBClassifier	Morgan	GeomRS	0.51011
Secondary	IC	Cvas	1	XGBClassifier	Morgan	GeomRS	0.50923
Secondary	IC	Cvas	2	XGBClassifier	Morgan	GeomRS	0.56415
Secondary	IC	Cvas	3	XGBClassifier	Morgan	GeomRS	0.4403
Secondary	IC	Cvas	4	XGBClassifier	Morgan	GeomRS	0.52119
Primary	IC	Cvas	0	XGBClassifier	Morgan	HarmRS	0.50347
Primary	IC	Cvas	1	XGBClassifier	Morgan	HarmRS	0.5432
Primary	IC	Cvas	2	XGBClassifier	Morgan	HarmRS	0.53819
Primary	IC	Cvas	3	XGBClassifier	Morgan	HarmRS	0.5106
Primary	IC	Cvas	4	XGBClassifier	Morgan	HarmRS	0.5522
Secondary	IC	Cvas	0	XGBClassifier	Morgan	HarmRS	0.45815
Secondary	IC	Cvas	1	XGBClassifier	Morgan	HarmRS	0.47613
Secondary	IC	Cvas	2	XGBClassifier	Morgan	HarmRS	0.53481
Secondary	IC	Cvas	3	XGBClassifier	Morgan	HarmRS	0.37047
Secondary	IC	Cvas	4	XGBClassifier	Morgan	HarmRS	0.48092
Primary	IC	Cvas	0	XGBClassifier	Morgan	F1 Score	0.7068
Primary	IC	Cvas	1	XGBClassifier	Morgan	F1 Score	0.69724
Primary	IC	Cvas	2	XGBClassifier	Morgan	F1 Score	0.71295
Primary	IC	Cvas	3	XGBClassifier	Morgan	F1 Score	0.69228
Primary	IC	Cvas	4	XGBClassifier	Morgan	F1 Score	0.6959
Secondary	IC	Cvas	0	XGBClassifier	Morgan	F1 Score	0.69989
Secondary	IC	Cvas	1	XGBClassifier	Morgan	F1 Score	0.70245
Secondary	IC	Cvas	2	XGBClassifier	Morgan	F1 Score	0.72507
Secondary	IC	Cvas	3	XGBClassifier	Morgan	F1 Score	0.68808
Secondary	IC	Cvas	4	XGBClassifier	Morgan	F1 Score	0.69209
Primary	IC	Cvas	0	XGBClassifier	Morgan	ROC AUC	0.65369
Primary	IC	Cvas	1	XGBClassifier	Morgan	ROC AUC	0.62221
Primary	IC	Cvas	2	XGBClassifier	Morgan	ROC AUC	0.63409
Primary	IC	Cvas	3	XGBClassifier	Morgan	ROC AUC	0.63068
