Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.5797
Primary	PRR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.56628
Primary	PRR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.58674
Primary	PRR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.61083
Primary	PRR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.58184
Secondary	PRR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.59158
Secondary	PRR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.55028
Secondary	PRR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.60053
Secondary	PRR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.57855
Secondary	PRR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.55224
Primary	PRR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.57211
Primary	PRR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.55478
Primary	PRR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.58414
Primary	PRR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.6104
Primary	PRR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.56035
Secondary	PRR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.59112
Secondary	PRR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.49966
Secondary	PRR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.59597
Secondary	PRR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.53827
Secondary	PRR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.48599
Primary	PRR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.56461
Primary	PRR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.54351
Primary	PRR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.58156
Primary	PRR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.60997
Primary	PRR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.53966
Secondary	PRR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.59066
Secondary	PRR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.45371
Secondary	PRR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.59144
Secondary	PRR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.50079
Secondary	PRR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.42768
Primary	PRR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.58261
Primary	PRR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.64852
