Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.56625
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.55377
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.58956
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.60266
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.55272
Secondary	PRR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.58026
Secondary	PRR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.56227
Secondary	PRR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.5624
Secondary	PRR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.58231
Secondary	PRR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.59967
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.56125
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.54343
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.57828
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.59346
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.5353
Secondary	PRR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.50845
Secondary	PRR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.56026
Secondary	PRR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.52537
Secondary	PRR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.58025
Secondary	PRR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.57718
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.55629
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.53327
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.56722
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.5844
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.51844
Secondary	PRR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.44552
Secondary	PRR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.55825
Secondary	PRR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.49077
Secondary	PRR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.5782
Secondary	PRR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.55553
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	F1 Score	0.63666
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	F1 Score	0.54633
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	F1 Score	0.67865
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	F1 Score	0.69773
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	F1 Score	0.64648
Secondary	PRR	Cvas	4	RandomForestClassifier	RDKit	F1 Score	0.72471
Secondary	PRR	Cvas	1	RandomForestClassifier	RDKit	F1 Score	0.59406
Secondary	PRR	Cvas	3	RandomForestClassifier	RDKit	F1 Score	0.68923
Secondary	PRR	Cvas	2	RandomForestClassifier	RDKit	F1 Score	0.65442
Secondary	PRR	Cvas	0	RandomForestClassifier	RDKit	F1 Score	0.69587
