Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.59175
Primary	PRR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.59176
Primary	PRR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.57829
Primary	PRR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.57635
Primary	PRR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.61219
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.59736
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.56417
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.5956
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.57345
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.60304
Primary	PRR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.59174
Primary	PRR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.59163
Primary	PRR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.57746
Primary	PRR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.56706
Primary	PRR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.61208
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.59297
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.56023
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.59103
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.57007
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.60261
Primary	PRR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.59173
Primary	PRR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.59149
Primary	PRR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.57663
Primary	PRR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.55793
Primary	PRR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.61197
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.58862
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.55632
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.58648
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.56672
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.60218
Primary	PRR	Cvas	4	XGBClassifier	RDKit	F1 Score	0.62698
Primary	PRR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.62303
Primary	PRR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.62363
Primary	PRR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.57279
Primary	PRR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.66401
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	F1 Score	0.66363
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.63519
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.65832
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.59623
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.66089
Primary	PRR	Cvas	4	XGBClassifier	RDKit	ROC AUC	0.62162
Primary	PRR	Cvas	3	XGBClassifier	RDKit	ROC AUC	0.62446
Primary	PRR	Cvas	0	XGBClassifier	RDKit	ROC AUC	0.61631
Primary	PRR	Cvas	1	XGBClassifier	RDKit	ROC AUC	0.59739
Primary	PRR	Cvas	2	XGBClassifier	RDKit	ROC AUC	0.66
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	ROC AUC	0.64607
