Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.54337
Primary	ROR	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.53219
Primary	ROR	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.55126
Primary	ROR	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.54761
Primary	ROR	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.51415
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.56631
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.5165
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.52208
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.54655
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.51398
Primary	ROR	Cvas	0	LogisticRegression	MACCS	GeomRS	0.52332
Primary	ROR	Cvas	1	LogisticRegression	MACCS	GeomRS	0.50084
Primary	ROR	Cvas	2	LogisticRegression	MACCS	GeomRS	0.50752
Primary	ROR	Cvas	3	LogisticRegression	MACCS	GeomRS	0.51016
Primary	ROR	Cvas	4	LogisticRegression	MACCS	GeomRS	0.47055
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	GeomRS	0.54866
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	GeomRS	0.44949
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	GeomRS	0.46659
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	GeomRS	0.48961
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	GeomRS	0.44503
Primary	ROR	Cvas	0	LogisticRegression	MACCS	HarmRS	0.50402
Primary	ROR	Cvas	1	LogisticRegression	MACCS	HarmRS	0.47133
Primary	ROR	Cvas	2	LogisticRegression	MACCS	HarmRS	0.46726
Primary	ROR	Cvas	3	LogisticRegression	MACCS	HarmRS	0.47527
Primary	ROR	Cvas	4	LogisticRegression	MACCS	HarmRS	0.43066
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	HarmRS	0.53156
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	HarmRS	0.39117
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	HarmRS	0.417
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	HarmRS	0.4386
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	HarmRS	0.38533
Primary	ROR	Cvas	0	LogisticRegression	MACCS	F1 Score	0.46291
Primary	ROR	Cvas	1	LogisticRegression	MACCS	F1 Score	0.4481
Primary	ROR	Cvas	2	LogisticRegression	MACCS	F1 Score	0.43855
Primary	ROR	Cvas	3	LogisticRegression	MACCS	F1 Score	0.44022
Primary	ROR	Cvas	4	LogisticRegression	MACCS	F1 Score	0.38786
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	F1 Score	0.49329
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	F1 Score	0.36474
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	F1 Score	0.38562
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	F1 Score	0.40514
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	F1 Score	0.34627
Primary	ROR	Cvas	0	LogisticRegression	MACCS	ROC AUC	0.52937
Primary	ROR	Cvas	1	LogisticRegression	MACCS	ROC AUC	0.53379
Primary	ROR	Cvas	2	LogisticRegression	MACCS	ROC AUC	0.54411
Primary	ROR	Cvas	3	LogisticRegression	MACCS	ROC AUC	0.56496
Primary	ROR	Cvas	4	LogisticRegression	MACCS	ROC AUC	0.54767
Secondary	ROR	Cvas	0	LogisticRegression	MACCS	ROC AUC	0.59019
Secondary	ROR	Cvas	1	LogisticRegression	MACCS	ROC AUC	0.53044
Secondary	ROR	Cvas	2	LogisticRegression	MACCS	ROC AUC	0.51762
Secondary	ROR	Cvas	3	LogisticRegression	MACCS	ROC AUC	0.5722
Secondary	ROR	Cvas	4	LogisticRegression	MACCS	ROC AUC	0.52171
Primary	ROR	Cvas	0	LogisticRegression	MACCS	MCC	0.09072
