Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cvas	2	LogisticRegression	Morgan	Balanced Accuracy	0.59356
Primary	ROR	Cvas	1	LogisticRegression	Morgan	Balanced Accuracy	0.55374
Primary	ROR	Cvas	3	LogisticRegression	Morgan	Balanced Accuracy	0.50216
Primary	ROR	Cvas	4	LogisticRegression	Morgan	Balanced Accuracy	0.53582
Primary	ROR	Cvas	0	LogisticRegression	Morgan	Balanced Accuracy	0.56589
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	Balanced Accuracy	0.55025
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	Balanced Accuracy	0.53472
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	Balanced Accuracy	0.51674
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	Balanced Accuracy	0.53321
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	Balanced Accuracy	0.53593
Primary	ROR	Cvas	2	LogisticRegression	Morgan	GeomRS	0.58964
Primary	ROR	Cvas	1	LogisticRegression	Morgan	GeomRS	0.55022
Primary	ROR	Cvas	3	LogisticRegression	Morgan	GeomRS	0.49798
Primary	ROR	Cvas	4	LogisticRegression	Morgan	GeomRS	0.53581
Primary	ROR	Cvas	0	LogisticRegression	Morgan	GeomRS	0.56327
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	GeomRS	0.54031
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	GeomRS	0.5345
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	GeomRS	0.51613
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	GeomRS	0.52937
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	GeomRS	0.52825
Primary	ROR	Cvas	2	LogisticRegression	Morgan	HarmRS	0.58575
Primary	ROR	Cvas	1	LogisticRegression	Morgan	HarmRS	0.54673
Primary	ROR	Cvas	3	LogisticRegression	Morgan	HarmRS	0.49384
Primary	ROR	Cvas	4	LogisticRegression	Morgan	HarmRS	0.53579
Primary	ROR	Cvas	0	LogisticRegression	Morgan	HarmRS	0.56065
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	HarmRS	0.53056
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	HarmRS	0.53428
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	HarmRS	0.51552
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	HarmRS	0.52556
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	HarmRS	0.52067
Primary	ROR	Cvas	2	LogisticRegression	Morgan	F1 Score	0.58055
Primary	ROR	Cvas	1	LogisticRegression	Morgan	F1 Score	0.55072
Primary	ROR	Cvas	3	LogisticRegression	Morgan	F1 Score	0.54273
Primary	ROR	Cvas	4	LogisticRegression	Morgan	F1 Score	0.53522
Primary	ROR	Cvas	0	LogisticRegression	Morgan	F1 Score	0.58468
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	F1 Score	0.51368
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	F1 Score	0.57381
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	F1 Score	0.53825
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	F1 Score	0.50244
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	F1 Score	0.57055
Primary	ROR	Cvas	2	LogisticRegression	Morgan	ROC AUC	0.60123
Primary	ROR	Cvas	1	LogisticRegression	Morgan	ROC AUC	0.55372
Primary	ROR	Cvas	3	LogisticRegression	Morgan	ROC AUC	0.50546
Primary	ROR	Cvas	4	LogisticRegression	Morgan	ROC AUC	0.56952
Primary	ROR	Cvas	0	LogisticRegression	Morgan	ROC AUC	0.57294
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	ROC AUC	0.60692
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	ROC AUC	0.55926
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	ROC AUC	0.52281
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	ROC AUC	0.55631
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	ROC AUC	0.53616
Primary	ROR	Cvas	2	LogisticRegression	Morgan	MCC	0.18779
Primary	ROR	Cvas	1	LogisticRegression	Morgan	MCC	0.10716
Primary	ROR	Cvas	3	LogisticRegression	Morgan	MCC	0.00435
Primary	ROR	Cvas	4	LogisticRegression	Morgan	MCC	0.07165
Primary	ROR	Cvas	0	LogisticRegression	Morgan	MCC	0.13253
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	MCC	0.10218
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	MCC	0.06887
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	MCC	0.03351
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	MCC	0.06696
Secondary	ROR	Cvas	0	LogisticRegression	Morgan	MCC	0.07305
Primary	ROR	Cvas	2	LogisticRegression	Morgan	Accuracy	0.58771
Primary	ROR	Cvas	1	LogisticRegression	Morgan	Accuracy	0.5454
Primary	ROR	Cvas	3	LogisticRegression	Morgan	Accuracy	0.50458
Primary	ROR	Cvas	4	LogisticRegression	Morgan	Accuracy	0.5358
Primary	ROR	Cvas	0	LogisticRegression	Morgan	Accuracy	0.56517
Secondary	ROR	Cvas	2	LogisticRegression	Morgan	Accuracy	0.5413
Secondary	ROR	Cvas	1	LogisticRegression	Morgan	Accuracy	0.53677
Secondary	ROR	Cvas	3	LogisticRegression	Morgan	Accuracy	0.51769
Secondary	ROR	Cvas	4	LogisticRegression	Morgan	Accuracy	0.53289
