Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.58289
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.5832
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.58655
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.57075
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.58562
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.54178
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.57461
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.52468
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.53702
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.56726
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.55886
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.58277
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.58651
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.56878
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.57328
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.53789
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.57151
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.51898
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.5081
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.56697
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.53583
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.58235
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.58646
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.56682
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.56121
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.53403
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.56843
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.51334
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.48074
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.56668
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.51855
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	F1 Score	0.61312
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.58631
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	F1 Score	0.59148
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	F1 Score	0.6409
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.5367
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	F1 Score	0.62102
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.5549
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	F1 Score	0.60722
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	F1 Score	0.56793
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	ROC AUC	0.59857
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	ROC AUC	0.60254
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	ROC AUC	0.59257
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	ROC AUC	0.61456
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	ROC AUC	0.64016
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	ROC AUC	0.56235
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	ROC AUC	0.60933
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	ROC AUC	0.54679
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	ROC AUC	0.57348
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	ROC AUC	0.59429
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	MCC	0.17274
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	MCC	0.16607
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	MCC	0.1731
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	MCC	0.14214
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	MCC	0.17652
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	MCC	0.08339
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	MCC	0.14998
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	MCC	0.04994
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	MCC	0.07897
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	MCC	0.1345
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Accuracy	0.56071
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Accuracy	0.58511
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Accuracy	0.58646
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Accuracy	0.57098
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Accuracy	0.5901
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Accuracy	0.5331
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Accuracy	0.57973
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Accuracy	0.52366
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Accuracy	0.53789
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Accuracy	0.56658
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Recall	0.41727
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Recall	0.60547
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Recall	0.59394
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Recall	0.61806
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Recall	0.70517
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Recall	0.47699
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Recall	0.63419
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Recall	0.60178
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Recall	0.71085
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Recall	0.54914
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Specificity	0.74851
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Specificity	0.56093
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Specificity	0.57917
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Specificity	0.52343
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Specificity	0.46606
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Specificity	0.60657
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Specificity	0.51503
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Specificity	0.44757
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Specificity	0.36318
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Specificity	0.58539
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Precision	0.68477
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Precision	0.62097
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Precision	0.57887
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Precision	0.56708
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Precision	0.58737
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Precision	0.6135
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Precision	0.6084
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Precision	0.51479
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Precision	0.52996
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Precision	0.58806
