Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52097
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56812
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.58123
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5466
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54988
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50147
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52078
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55535
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.46807
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54117
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.51859
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.56807
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.57958
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.54428
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.54963
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.49534
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.51661
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.55229
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.46114
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.52419
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	HarmRS	0.51621
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	HarmRS	0.56802
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.57794
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	HarmRS	0.54197
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	HarmRS	0.54939
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	HarmRS	0.48927
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	HarmRS	0.51248
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.54925
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	HarmRS	0.45431
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	HarmRS	0.50775
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	F1 Score	0.54006
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	F1 Score	0.58467
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	F1 Score	0.58936
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	F1 Score	0.57831
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	F1 Score	0.55842
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	F1 Score	0.53381
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	F1 Score	0.50474
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	F1 Score	0.55475
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	F1 Score	0.5182
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	F1 Score	0.59711
Primary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.53483
Primary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.59119
Primary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.59315
Primary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.5664
Primary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.57215
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.49872
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.53659
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.5619
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.48105
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.55834
