Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.54578
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.56043
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54152
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52376
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.54958
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.53768
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.56493
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.56587
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52916
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.53828
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.46644
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.51674
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.49259
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.47827
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.4857
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.51985
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.48532
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.51619
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.50125
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.47967
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.39863
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.47644
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.44808
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.43674
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.42925
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.50261
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.41692
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.47087
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.47481
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.42744
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.36499
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.45388
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.41844
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	F1 Score	0.39515
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	F1 Score	0.39738
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.46176
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.39759
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.44409
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	F1 Score	0.43378
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	F1 Score	0.39313
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	ROC AUC	0.5395
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	ROC AUC	0.591
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	ROC AUC	0.5859
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	ROC AUC	0.55534
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	ROC AUC	0.58352
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	ROC AUC	0.55266
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	ROC AUC	0.60599
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	ROC AUC	0.63088
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	ROC AUC	0.53966
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	ROC AUC	0.56636
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	MCC	0.11123
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	MCC	0.13183
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	MCC	0.09226
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	MCC	0.05253
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	MCC	0.11525
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	MCC	0.07839
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	MCC	0.15544
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	MCC	0.14718
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	MCC	0.06198
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	MCC	0.08752
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	Accuracy	0.54952
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	Accuracy	0.53138
