Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.50427
Primary	PRR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.54222
Primary	PRR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.53117
Primary	PRR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.5117
Primary	PRR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.53806
Primary	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.50059
Primary	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.54068
Primary	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.60651
Primary	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.50512
Primary	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.54024
Primary	IC	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.49696
Primary	IC	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.53755
Primary	IC	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.54498
Primary	IC	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.49886
Primary	IC	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.52969
Primary	PRR	Card	0	LogisticRegression	CDDD	GeomRS	0.49797
Primary	PRR	Card	1	LogisticRegression	CDDD	GeomRS	0.53862
Primary	PRR	Card	2	LogisticRegression	CDDD	GeomRS	0.53026
Primary	PRR	Card	3	LogisticRegression	CDDD	GeomRS	0.51141
Primary	PRR	Card	4	LogisticRegression	CDDD	GeomRS	0.53747
Primary	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.50042
Primary	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.53061
Primary	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.60638
Primary	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.5043
Primary	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.53831
Primary	IC	Card	0	LogisticRegression	CDDD	GeomRS	0.49175
Primary	IC	Card	1	LogisticRegression	CDDD	GeomRS	0.53432
Primary	IC	Card	2	LogisticRegression	CDDD	GeomRS	0.53777
Primary	IC	Card	3	LogisticRegression	CDDD	GeomRS	0.48819
