Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.5179
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.54588
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.5556
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.5592
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.5775
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.52845
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.5458
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.55405
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.55347
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.56428
Primary	IC	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.53252
Primary	IC	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.55358
Primary	IC	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51926
Primary	IC	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.55563
Primary	IC	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.55513
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.51457
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.54426
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.55538
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.55381
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.5743
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.52566
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.51205
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.52566
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.55347
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.56408
Primary	IC	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.4728
Primary	IC	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.55357
Primary	IC	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.44829
Primary	IC	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.54177
Primary	IC	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.50117
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.51125
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.54264
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.55516
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.54847
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.57112
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.52288
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.48039
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.49872
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.55346
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.56387
Primary	IC	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.41978
Primary	IC	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.55356
Primary	IC	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.38703
Primary	IC	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.52827
Primary	IC	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.45247
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.55058
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.56246
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.59098
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.64295
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.63255
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.55863
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.46282
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.65759
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.60003
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.59939
Primary	IC	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.63218
Primary	IC	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.59154
Primary	IC	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.66058
Primary	IC	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.66061
Primary	IC	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.68112
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.55221
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.57618
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.59263
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.59859
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.61013
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.56424
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.58343
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.60109
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.58873
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.59586
Primary	IC	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.59209
Primary	IC	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.58172
Primary	IC	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.56135
Primary	IC	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.58625
Primary	IC	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.61824
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	MCC	0.03605
Primary	PRR	Cred	1	RandomForestClassifier	CDDD	MCC	0.0905
Primary	PRR	Cred	3	RandomForestClassifier	CDDD	MCC	0.1105
Primary	PRR	Cred	2	RandomForestClassifier	CDDD	MCC	0.11785
Primary	PRR	Cred	4	RandomForestClassifier	CDDD	MCC	0.15542
Primary	ROR	Cred	0	RandomForestClassifier	CDDD	MCC	0.05724
Primary	ROR	Cred	1	RandomForestClassifier	CDDD	MCC	0.09668
Primary	ROR	Cred	3	RandomForestClassifier	CDDD	MCC	0.11519
Primary	ROR	Cred	2	RandomForestClassifier	CDDD	MCC	0.10478
Primary	ROR	Cred	4	RandomForestClassifier	CDDD	MCC	0.12778
Primary	IC	Cred	0	RandomForestClassifier	CDDD	MCC	0.07467
Primary	IC	Cred	1	RandomForestClassifier	CDDD	MCC	0.10547
Primary	IC	Cred	3	RandomForestClassifier	CDDD	MCC	0.04506
Primary	IC	Cred	2	RandomForestClassifier	CDDD	MCC	0.11312
Primary	IC	Cred	4	RandomForestClassifier	CDDD	MCC	0.12562
Primary	PRR	Cred	0	RandomForestClassifier	CDDD	Accuracy	0.51917
