Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.58309
Primary	PRR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.57291
Primary	PRR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.57535
Primary	PRR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.5681
Primary	PRR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.53414
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.54987
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.53546
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.55827
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.53751
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52397
Primary	IC	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.55948
Primary	IC	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.54444
Primary	IC	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.53326
Primary	IC	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54531
Primary	IC	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52262
Primary	PRR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.58209
Primary	PRR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.49669
Primary	PRR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.53182
Primary	PRR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.55868
Primary	PRR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.52832
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.51424
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.41935
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.49411
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.50637
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.50516
Primary	IC	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.48912
Primary	IC	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.53826
Primary	IC	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.49815
Primary	IC	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.52806
Primary	IC	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.46268
Primary	PRR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.5811
Primary	PRR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.43062
Primary	PRR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.49158
Primary	PRR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.54942
Primary	PRR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.52256
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.48093
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.32842
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.43733
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.47704
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.48703
Primary	IC	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.42761
Primary	IC	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.53214
Primary	IC	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.46535
Primary	IC	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.51135
Primary	IC	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.40961
