Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.56691
Primary	PRR	Cvas	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.53359
Primary	PRR	Cvas	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.58858
Primary	PRR	Cvas	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.54459
Primary	PRR	Cvas	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.52851
Primary	ROR	Cvas	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.55787
Primary	ROR	Cvas	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.55459
Primary	ROR	Cvas	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.59968
Primary	ROR	Cvas	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.54591
Primary	ROR	Cvas	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.54253
Primary	IC	Cvas	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.5464
Primary	IC	Cvas	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.54507
Primary	IC	Cvas	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.58033
Primary	IC	Cvas	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53223
Primary	IC	Cvas	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.55293
Primary	PRR	Cvas	0	RandomForestClassifier	MACCS	GeomRS	0.5471
Primary	PRR	Cvas	1	RandomForestClassifier	MACCS	GeomRS	0.53279
Primary	PRR	Cvas	2	RandomForestClassifier	MACCS	GeomRS	0.58696
Primary	PRR	Cvas	3	RandomForestClassifier	MACCS	GeomRS	0.53641
Primary	PRR	Cvas	4	RandomForestClassifier	MACCS	GeomRS	0.5284
Primary	ROR	Cvas	0	RandomForestClassifier	MACCS	GeomRS	0.55176
Primary	ROR	Cvas	1	RandomForestClassifier	MACCS	GeomRS	0.55166
Primary	ROR	Cvas	2	RandomForestClassifier	MACCS	GeomRS	0.59767
Primary	ROR	Cvas	3	RandomForestClassifier	MACCS	GeomRS	0.54479
Primary	ROR	Cvas	4	RandomForestClassifier	MACCS	GeomRS	0.53911
Primary	IC	Cvas	0	RandomForestClassifier	MACCS	GeomRS	0.50429
Primary	IC	Cvas	1	RandomForestClassifier	MACCS	GeomRS	0.53929
